Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","5100","Africa","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","7228875.64","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5100","Africa","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","4298893.98","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5203","Northern America","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","15087436.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5203","Northern America","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","14413493.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5204","Central America","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","254458.17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5204","Central America","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1836568.79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5206","Caribbean","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","681218.88","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5206","Caribbean","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","154429.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5207","South America","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1850335.94","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5207","South America","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","8169349.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","69551378.82","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5300","Asia","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","63052987.43","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","24434214.43","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5400","Europe","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","14827326.31","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5510","Production","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","527400","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RFN","Fertilizers by Nutrient","5500","Oceania","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","1904946.97","A","Aggregate, may include official, semi-official, estimated or calculated data"
