,kingdom,assessment,number
0,animalia,extinct,762
1,animalia,extinct_in_wild,38
2,animalia,probably_extinct,608
3,animalia,probably_extinct_in_wild,10
4,chromista,extinct,0
5,chromista,extinct_in_wild,0
6,chromista,probably_extinct,4
7,chromista,probably_extinct_in_wild,0
8,fungi,extinct,0
9,fungi,extinct_in_wild,0
10,fungi,probably_extinct,1
11,fungi,probably_extinct_in_wild,0
12,plantae,extinct,120
13,plantae,extinct_in_wild,39
14,plantae,probably_extinct,324
15,plantae,probably_extinct_in_wild,39
