kingdom,class_order,assessment,number
animalia,ACTINOPTERYGII,extinct,64
animalia,AMPHIBIA,extinct,35
animalia,ANTHOZOA,extinct,0
animalia,ARACHNIDA,extinct,9
animalia,AVES,extinct,159
animalia,BIVALVIA,extinct,32
animalia,BRANCHIOPODA,extinct,0
animalia,CEPHALASPIDOMORPHI,extinct,1
animalia,CEPHALOPODA,extinct,0
animalia,CHILOPODA,extinct,0
animalia,CHONDRICHTHYES,extinct,0
animalia,CLITELLATA,extinct,2
animalia,DIPLOPODA,extinct,3
animalia,ECHINOIDEA,extinct,0
animalia,ENOPLA,extinct,1
animalia,ENTOGNATHA,extinct,0
animalia,GASTROPODA,extinct,267
animalia,HOLOTHUROIDEA,extinct,0
animalia,HYDROZOA,extinct,0
animalia,INSECTA,extinct,63
animalia,MALACOSTRACA,extinct,7
animalia,MAMMALIA,extinct,84
animalia,MAXILLOPODA,extinct,2
animalia,MEROSTOMATA,extinct,0
animalia,MYXINI,extinct,0
animalia,ONYCHOPHORA,extinct,0
animalia,OSTRACODA,extinct,2
animalia,POLYCHAETA,extinct,0
animalia,REPTILIA,extinct,30
animalia,SARCOPTERYGII,extinct,0
animalia,TURBELLARIA,extinct,1
chromista,PHAEOPHYCEAE,extinct,0
fungi,AGARICOMYCETES,extinct,0
fungi,ARTHONIOMYCETES,extinct,0
fungi,EUROTIOMYCETES,extinct,0
fungi,GEOGLOSSOMYCETES,extinct,0
fungi,LECANOROMYCETES,extinct,0
fungi,LEOTIOMYCETES,extinct,0
fungi,NOT ASSIGNED,extinct,0
fungi,PEZIZOMYCETES,extinct,0
fungi,SORDARIOMYCETES,extinct,0
fungi,USTILAGINOMYCETES,extinct,0
plantae,ANDREAEOPSIDA,extinct,0
plantae,ANTHOCEROTOPSIDA,extinct,0
plantae,BRYOPSIDA,extinct,4
plantae,CHAROPHYACEAE,extinct,0
plantae,CHLOROPHYCEAE,extinct,0
plantae,CYCADOPSIDA,extinct,0
plantae,FLORIDEOPHYCEAE,extinct,1
plantae,GINKGOOPSIDA,extinct,0
plantae,GNETOPSIDA,extinct,0
plantae,JUNGERMANNIOPSIDA,extinct,0
