year,value,units
1994,7.26E+11,kg
1995,7.52E+11,kg
1996,7.58E+11,kg
1997,7.95E+11,kg
1998,7.81E+11,kg
1999,7.86E+11,kg
2000,8.45E+11,kg
2001,8.51E+11,kg
2002,9.04E+11,kg
2003,9.62E+11,kg
2004,1.05E+12,kg
2005,1.13E+12,kg
2006,1.17E+12,kg
2007,1.34E+12,kg
2008,1.33E+12,kg
2009,1.24E+12,kg
2010,1.41E+12,kg
2011,1.52E+12,kg
2012,1.55E+12,kg
2013,1.62E+12,kg
2014,1.65E+12,kg
2015,1.61E+12,kg
2016,1.61E+12,kg
2017,1.69E+12,kg
2018,1.81E+12,kg
2019,1.86E+12,kg
2020,1.79E+12,kg
2021,1.90E+12,kg
