crop,year,mass_t
Agave fibres nes,1961,34600
Agave fibres nes,1962,32950
Agave fibres nes,1963,35000
Agave fibres nes,1964,35124
Agave fibres nes,1965,35721
Agave fibres nes,1966,36562
Agave fibres nes,1967,38548
Agave fibres nes,1968,39648
Agave fibres nes,1969,39436
Agave fibres nes,1970,40703
Agave fibres nes,1971,41831
Agave fibres nes,1972,45181
Agave fibres nes,1973,49018
Agave fibres nes,1974,53000
Agave fibres nes,1975,69731
Agave fibres nes,1976,62790
Agave fibres nes,1977,65344
Agave fibres nes,1978,62365
Agave fibres nes,1979,62951
Agave fibres nes,1980,69684
Agave fibres nes,1981,63213
Agave fibres nes,1982,65416
Agave fibres nes,1983,65092
Agave fibres nes,1984,56571
Agave fibres nes,1985,55123
Agave fibres nes,1986,56844
Agave fibres nes,1987,58814
Agave fibres nes,1988,58253
Agave fibres nes,1989,65407
Agave fibres nes,1990,58904
Agave fibres nes,1991,78452
Agave fibres nes,1992,59083
Agave fibres nes,1993,64868
Agave fibres nes,1994,64787
Agave fibres nes,1995,56965
Agave fibres nes,1996,66321
Agave fibres nes,1997,68454
Agave fibres nes,1998,54970
Agave fibres nes,1999,51595
Agave fibres nes,2000,50163
Agave fibres nes,2001,48669
Agave fibres nes,2002,49855
Agave fibres nes,2003,50063
Agave fibres nes,2004,53302
Agave fibres nes,2005,51980
Agave fibres nes,2006,48914
Agave fibres nes,2007,48225
Agave fibres nes,2008,46867
Agave fibres nes,2009,45847
Agave fibres nes,2010,44703
Agave fibres nes,2011,43753
Agave fibres nes,2012,40965
Agave fibres nes,2013,41465
Agave fibres nes,2014,41748
Agave fibres nes,2015,41098
Agave fibres nes,2016,41017
Agave fibres nes,2017,40601
Agave fibres nes,2018,40239
"Almonds, with shell",1961,756588
"Almonds, with shell",1962,436538
"Almonds, with shell",1963,577518
"Almonds, with shell",1964,631599
"Almonds, with shell",1965,605077
"Almonds, with shell",1966,606315
"Almonds, with shell",1967,719378
"Almonds, with shell",1968,709540
"Almonds, with shell",1969,566655
"Almonds, with shell",1970,676749
"Almonds, with shell",1971,580612
"Almonds, with shell",1972,700004
"Almonds, with shell",1973,621331
"Almonds, with shell",1974,855554
"Almonds, with shell",1975,752361
"Almonds, with shell",1976,930057
"Almonds, with shell",1977,812282
"Almonds, with shell",1978,904525
"Almonds, with shell",1979,833748
"Almonds, with shell",1980,919655
"Almonds, with shell",1981,1231227
"Almonds, with shell",1982,1045648
"Almonds, with shell",1983,846642
"Almonds, with shell",1984,1165867
"Almonds, with shell",1985,1145592
"Almonds, with shell",1986,976832
"Almonds, with shell",1987,1251975
"Almonds, with shell",1988,1141283
"Almonds, with shell",1989,1273584
"Almonds, with shell",1990,1315419
"Almonds, with shell",1991,1287291
"Almonds, with shell",1992,1318116
"Almonds, with shell",1993,1275182
"Almonds, with shell",1994,1384321
"Almonds, with shell",1995,1047570
"Almonds, with shell",1996,1292076
"Almonds, with shell",1997,1592740
"Almonds, with shell",1998,1310894
"Almonds, with shell",1999,1657150
"Almonds, with shell",2000,1452206
"Almonds, with shell",2001,1541913
"Almonds, with shell",2002,1839124
"Almonds, with shell",2003,1759987
"Almonds, with shell",2004,1594305
"Almonds, with shell",2005,1824627
"Almonds, with shell",2006,2062078
"Almonds, with shell",2007,2249552
"Almonds, with shell",2008,2482861
"Almonds, with shell",2009,2345221
"Almonds, with shell",2010,2569793
"Almonds, with shell",2011,3020210
"Almonds, with shell",2012,2824871
"Almonds, with shell",2013,2838962
"Almonds, with shell",2014,2637275
"Almonds, with shell",2015,2447193
"Almonds, with shell",2016,2493303
"Almonds, with shell",2017,2687810
"Almonds, with shell",2018,3182902
"Anise, badian, fennel, coriander",1961,82455
"Anise, badian, fennel, coriander",1962,90662
"Anise, badian, fennel, coriander",1963,93901
"Anise, badian, fennel, coriander",1964,89070
"Anise, badian, fennel, coriander",1965,97260
"Anise, badian, fennel, coriander",1966,94085
"Anise, badian, fennel, coriander",1967,97590
"Anise, badian, fennel, coriander",1968,116324
"Anise, badian, fennel, coriander",1969,100479
"Anise, badian, fennel, coriander",1970,93886
"Anise, badian, fennel, coriander",1971,106783
"Anise, badian, fennel, coriander",1972,108417
"Anise, badian, fennel, coriander",1973,98420
"Anise, badian, fennel, coriander",1974,107431
"Anise, badian, fennel, coriander",1975,109487
"Anise, badian, fennel, coriander",1976,135436
"Anise, badian, fennel, coriander",1977,175047
"Anise, badian, fennel, coriander",1978,166284
"Anise, badian, fennel, coriander",1979,152468
"Anise, badian, fennel, coriander",1980,173185
"Anise, badian, fennel, coriander",1981,131810
"Anise, badian, fennel, coriander",1982,157865
"Anise, badian, fennel, coriander",1983,206165
"Anise, badian, fennel, coriander",1984,164176
"Anise, badian, fennel, coriander",1985,141664
"Anise, badian, fennel, coriander",1986,170785
"Anise, badian, fennel, coriander",1987,180891
"Anise, badian, fennel, coriander",1988,276234
"Anise, badian, fennel, coriander",1989,220249
"Anise, badian, fennel, coriander",1990,232302
"Anise, badian, fennel, coriander",1991,237787
"Anise, badian, fennel, coriander",1992,429133
"Anise, badian, fennel, coriander",1993,407779
"Anise, badian, fennel, coriander",1994,299502
"Anise, badian, fennel, coriander",1995,306850
"Anise, badian, fennel, coriander",1996,333121
"Anise, badian, fennel, coriander",1997,368682
"Anise, badian, fennel, coriander",1998,436936
"Anise, badian, fennel, coriander",1999,406010
"Anise, badian, fennel, coriander",2000,382767
"Anise, badian, fennel, coriander",2001,479369
"Anise, badian, fennel, coriander",2002,495211
"Anise, badian, fennel, coriander",2003,569992
"Anise, badian, fennel, coriander",2004,568128
"Anise, badian, fennel, coriander",2005,556979
"Anise, badian, fennel, coriander",2006,587024
"Anise, badian, fennel, coriander",2007,698265
"Anise, badian, fennel, coriander",2008,714714
"Anise, badian, fennel, coriander",2009,728206
"Anise, badian, fennel, coriander",2010,827246
"Anise, badian, fennel, coriander",2011,953480
"Anise, badian, fennel, coriander",2012,924025
"Anise, badian, fennel, coriander",2013,907375
"Anise, badian, fennel, coriander",2014,1000735
"Anise, badian, fennel, coriander",2015,1076816
"Anise, badian, fennel, coriander",2016,1156679
"Anise, badian, fennel, coriander",2017,1172591
"Anise, badian, fennel, coriander",2018,1146610
Apples,1961,17053651
Apples,1962,21694110
Apples,1963,21009272
Apples,1964,22231724
Apples,1965,21323988
Apples,1966,21762455
Apples,1967,25370910
Apples,1968,24087398
Apples,1969,26778974
Apples,1970,27005728
Apples,1971,26580791
Apples,1972,24759595
Apples,1973,29138481
Apples,1974,27121411
Apples,1975,31135523
Apples,1976,31406940
Apples,1977,30490589
Apples,1978,32486840
Apples,1979,36556334
Apples,1980,33942609
Apples,1981,32667138
Apples,1982,40496873
Apples,1983,39795515
Apples,1984,39814942
Apples,1985,38908542
Apples,1986,42595784
Apples,1987,38462837
Apples,1988,42688532
Apples,1989,42464226
Apples,1990,41045985
Apples,1991,35992511
Apples,1992,44265125
Apples,1993,47728624
Apples,1994,46469873
Apples,1995,48853754
Apples,1996,54339163
Apples,1997,56005416
Apples,1998,54929371
Apples,1999,56992187
Apples,2000,59132499
Apples,2001,57101395
Apples,2002,55303952
Apples,2003,58104050
Apples,2004,62242493
Apples,2005,61908488
Apples,2006,63251447
Apples,2007,65665515
Apples,2008,69041332
Apples,2009,71641156
Apples,2010,71190840
Apples,2011,77073691
Apples,2012,78600228
Apples,2013,82829058
Apples,2014,85485079
Apples,2015,82556084
Apples,2016,84743988
Apples,2017,83000398
Apples,2018,86142197
Apricots,1961,1317607
Apricots,1962,1087534
Apricots,1963,1318117
Apricots,1964,1291201
Apricots,1965,1362005
Apricots,1966,1268849
Apricots,1967,1562896
Apricots,1968,1532289
Apricots,1969,1618039
Apricots,1970,1630277
Apricots,1971,1475632
Apricots,1972,1508780
Apricots,1973,1701975
Apricots,1974,1719960
Apricots,1975,1546572
Apricots,1976,1790840
Apricots,1977,1517020
Apricots,1978,1534821
Apricots,1979,1505945
Apricots,1980,1734556
Apricots,1981,1860438
Apricots,1982,1869665
Apricots,1983,2003532
Apricots,1984,1987417
Apricots,1985,2028885
Apricots,1986,2079897
Apricots,1987,1895085
Apricots,1988,2221037
Apricots,1989,2401631
Apricots,1990,2189110
Apricots,1991,2027541
Apricots,1992,2482843
Apricots,1993,2296009
Apricots,1994,2516532
Apricots,1995,2088708
Apricots,1996,2563254
Apricots,1997,2404556
Apricots,1998,2500418
Apricots,1999,2641407
Apricots,2000,2863010
Apricots,2001,2641009
Apricots,2002,2616307
Apricots,2003,2891452
Apricots,2004,2784214
Apricots,2005,3625968
Apricots,2006,3462297
Apricots,2007,3294176
Apricots,2008,3685150
Apricots,2009,3756435
Apricots,2010,3303477
Apricots,2011,3812012
Apricots,2012,3861793
Apricots,2013,4089834
Apricots,2014,3336174
Apricots,2015,3934400
Apricots,2016,4925675
Apricots,2017,4768977
Apricots,2018,3838523
Areca nuts,1961,214214
Areca nuts,1962,205239
Areca nuts,1963,210234
Areca nuts,1964,211752
Areca nuts,1965,201733
Areca nuts,1966,185192
Areca nuts,1967,200225
Areca nuts,1968,207901
Areca nuts,1969,209511
Areca nuts,1970,207580
Areca nuts,1971,211648
Areca nuts,1972,223661
Areca nuts,1973,220945
Areca nuts,1974,244178
Areca nuts,1975,242230
Areca nuts,1976,240472
Areca nuts,1977,250555
Areca nuts,1978,265912
Areca nuts,1979,270588
Areca nuts,1980,271277
Areca nuts,1981,291621
Areca nuts,1982,290417
Areca nuts,1983,327106
Areca nuts,1984,315358
Areca nuts,1985,364563
Areca nuts,1986,368325
Areca nuts,1987,370146
Areca nuts,1988,406774
Areca nuts,1989,448705
Areca nuts,1990,502795
Areca nuts,1991,496844
Areca nuts,1992,506560
Areca nuts,1993,541246
Areca nuts,1994,574684
Areca nuts,1995,622813
Areca nuts,1996,635873
Areca nuts,1997,648151
Areca nuts,1998,710553
Areca nuts,1999,698689
Areca nuts,2000,727453
Areca nuts,2001,767094
Areca nuts,2002,832938
Areca nuts,2003,874014
Areca nuts,2004,916245
Areca nuts,2005,956756
Areca nuts,2006,1025100
Areca nuts,2007,1056485
Areca nuts,2008,1074442
Areca nuts,2009,1102135
Areca nuts,2010,1081506
Areca nuts,2011,1096126
Areca nuts,2012,1340932
Areca nuts,2013,1246137
Areca nuts,2014,1277301
Areca nuts,2015,1447198
Areca nuts,2016,1397351
Areca nuts,2017,1414764
Areca nuts,2018,1428617
Artichokes,1961,855442
Artichokes,1962,762372
Artichokes,1963,708759
Artichokes,1964,945747
Artichokes,1965,1063352
Artichokes,1966,1093257
Artichokes,1967,1127804
Artichokes,1968,1053363
Artichokes,1969,1126999
Artichokes,1970,1276057
Artichokes,1971,1368640
Artichokes,1972,1403474
Artichokes,1973,1368111
Artichokes,1974,1397116
Artichokes,1975,1280066
Artichokes,1976,1245582
Artichokes,1977,1155025
Artichokes,1978,1335607
Artichokes,1979,1090391
Artichokes,1980,1254405
Artichokes,1981,1164973
Artichokes,1982,1184349
Artichokes,1983,1119356
Artichokes,1984,1142460
Artichokes,1985,1016894
Artichokes,1986,1189494
Artichokes,1987,1130040
Artichokes,1988,1268859
Artichokes,1989,1348239
Artichokes,1990,1333471
Artichokes,1991,1328720
Artichokes,1992,1249380
Artichokes,1993,1170459
Artichokes,1994,1207993
Artichokes,1995,1161779
Artichokes,1996,1135840
Artichokes,1997,1256438
Artichokes,1998,1250775
Artichokes,1999,1245907
Artichokes,2000,1330461
Artichokes,2001,1259163
Artichokes,2002,1278280
Artichokes,2003,1279446
Artichokes,2004,1368945
Artichokes,2005,1283432
Artichokes,2006,1422836
Artichokes,2007,1495017
Artichokes,2008,1500901
Artichokes,2009,1524162
Artichokes,2010,1480369
Artichokes,2011,1528101
Artichokes,2012,1615475
Artichokes,2013,1609045
Artichokes,2014,1575163
Artichokes,2015,1454847
Artichokes,2016,1418886
Artichokes,2017,1670861
Artichokes,2018,1678872
Asparagus,1961,1695701
Asparagus,1962,1379606
Asparagus,1963,1291043
Asparagus,1964,1207568
Asparagus,1965,1228842
Asparagus,1966,1247071
Asparagus,1967,1222070
Asparagus,1968,1328756
Asparagus,1969,1398664
Asparagus,1970,1113572
Asparagus,1971,1231942
Asparagus,1972,1147798
Asparagus,1973,1233105
Asparagus,1974,1252871
Asparagus,1975,1223169
Asparagus,1976,1258216
Asparagus,1977,1272569
Asparagus,1978,1264951
Asparagus,1979,1306260
Asparagus,1980,1252898
Asparagus,1981,1354656
Asparagus,1982,1389783
Asparagus,1983,1395671
Asparagus,1984,1435224
Asparagus,1985,1486065
Asparagus,1986,1592985
Asparagus,1987,1733698
Asparagus,1988,1758617
Asparagus,1989,1837078
Asparagus,1990,2012820
Asparagus,1991,2139182
Asparagus,1992,2228652
Asparagus,1993,2699509
Asparagus,1994,2921780
Asparagus,1995,3005813
Asparagus,1996,3321796
Asparagus,1997,3501495
Asparagus,1998,3654791
Asparagus,1999,3960944
Asparagus,2000,4640819
Asparagus,2001,4966942
Asparagus,2002,5751719
Asparagus,2003,6271954
Asparagus,2004,6621192
Asparagus,2005,6706236
Asparagus,2006,6931585
Asparagus,2007,7093029
Asparagus,2008,7215947
Asparagus,2009,7364497
Asparagus,2010,7487645
Asparagus,2011,8190796
Asparagus,2012,8282937
Asparagus,2013,7935254
Asparagus,2014,7877021
Asparagus,2015,8572960
Asparagus,2016,8754094
Asparagus,2017,8951427
Asparagus,2018,9108203
Avocados,1961,716369
Avocados,1962,747313
Avocados,1963,787325
Avocados,1964,788533
Avocados,1965,857205
Avocados,1966,884538
Avocados,1967,945039
Avocados,1968,960429
Avocados,1969,1005431
Avocados,1970,1029652
Avocados,1971,1086788
Avocados,1972,1124014
Avocados,1973,1168953
Avocados,1974,1180214
Avocados,1975,1243263
Avocados,1976,1280301
Avocados,1977,1347811
Avocados,1978,1409040
Avocados,1979,1348701
Avocados,1980,1577867
Avocados,1981,1544663
Avocados,1982,1664432
Avocados,1983,1676100
Avocados,1984,1662042
Avocados,1985,1752917
Avocados,1986,1961163
Avocados,1987,1825118
Avocados,1988,1907343
Avocados,1989,1676416
Avocados,1990,1849931
Avocados,1991,2135162
Avocados,1992,2222604
Avocados,1993,2056007
Avocados,1994,2167749
Avocados,1995,2217521
Avocados,1996,2316028
Avocados,1997,2280964
Avocados,1998,2452878
Avocados,1999,2550656
Avocados,2000,2783400
Avocados,2001,2839704
Avocados,2002,3019862
Avocados,2003,3197199
