crop,year,mass_t
"Cereals, Total",1961,876874886
"Cereals, Total",1962,933373275
"Cereals, Total",1963,949346114
"Cereals, Total",1964,1001214296
"Cereals, Total",1965,998593157
"Cereals, Total",1966,1078340254
"Cereals, Total",1967,1124081414
"Cereals, Total",1968,1160679900
"Cereals, Total",1969,1170999674
"Cereals, Total",1970,1192508666
"Cereals, Total",1971,1299668757
"Cereals, Total",1972,1258479748
"Cereals, Total",1973,1357016286
"Cereals, Total",1974,1326550611
"Cereals, Total",1975,1359805195
"Cereals, Total",1976,1463712449
"Cereals, Total",1977,1456345570
"Cereals, Total",1978,1582021186
"Cereals, Total",1979,1537503183
"Cereals, Total",1980,1549913848
"Cereals, Total",1981,1632383821
"Cereals, Total",1982,1692541673
"Cereals, Total",1983,1626948118
"Cereals, Total",1984,1786797441
"Cereals, Total",1985,1821242843
"Cereals, Total",1986,1834024516
"Cereals, Total",1987,1771531205
"Cereals, Total",1988,1727629727
"Cereals, Total",1989,1871357887
"Cereals, Total",1990,1951726485
"Cereals, Total",1991,1890305162
"Cereals, Total",1992,1973487014
"Cereals, Total",1993,1904066292
"Cereals, Total",1994,1953808068
"Cereals, Total",1995,1899298028
"Cereals, Total",1996,2061307344
"Cereals, Total",1997,2095651561
"Cereals, Total",1998,2085358529
"Cereals, Total",1999,2082499742
"Cereals, Total",2000,2058656324
"Cereals, Total",2001,2104835699
"Cereals, Total",2002,2053589942
"Cereals, Total",2003,2073648730
"Cereals, Total",2004,2285848176
"Cereals, Total",2005,2266278097
"Cereals, Total",2006,2255537646
"Cereals, Total",2007,2347715774
"Cereals, Total",2008,2520953249
"Cereals, Total",2009,2491795662
"Cereals, Total",2010,2467415058
"Cereals, Total",2011,2588162195
"Cereals, Total",2012,2564336618
"Cereals, Total",2013,2769038293
"Cereals, Total",2014,2820447235
"Cereals, Total",2015,2849840878
"Cereals, Total",2016,2938515394
"Cereals, Total",2017,3020299421
"Cereals, Total",2018,2962867626
"Citrus Fruit, Total",1961,25066043
"Citrus Fruit, Total",1962,25787294
"Citrus Fruit, Total",1963,25810552
"Citrus Fruit, Total",1964,26608275
"Citrus Fruit, Total",1965,29193453
"Citrus Fruit, Total",1966,32503098
"Citrus Fruit, Total",1967,35703197
"Citrus Fruit, Total",1968,34892643
"Citrus Fruit, Total",1969,38518163
"Citrus Fruit, Total",1970,39618187
"Citrus Fruit, Total",1971,42076509
"Citrus Fruit, Total",1972,45015225
"Citrus Fruit, Total",1973,48515891
"Citrus Fruit, Total",1974,49680881
"Citrus Fruit, Total",1975,51482999
"Citrus Fruit, Total",1976,52544280
"Citrus Fruit, Total",1977,53851249
"Citrus Fruit, Total",1978,53496528
"Citrus Fruit, Total",1979,55338311
"Citrus Fruit, Total",1980,61133948
"Citrus Fruit, Total",1981,61410780
"Citrus Fruit, Total",1982,60596328
"Citrus Fruit, Total",1983,64819333
"Citrus Fruit, Total",1984,60196613
"Citrus Fruit, Total",1985,64258934
"Citrus Fruit, Total",1986,66880609
"Citrus Fruit, Total",1987,70505846
"Citrus Fruit, Total",1988,72156800
