product,year,production_quantity_Mt,area_harvested_ha
Agave fibres nes,1961,0.0346,32100
Agave fibres nes,1962,0.03295,32990
Agave fibres nes,1963,0.035,34110
Agave fibres nes,1964,0.035124,33620
Agave fibres nes,1965,0.035721,34320
Agave fibres nes,1966,0.036562,35010
Agave fibres nes,1967,0.038548,36140
Agave fibres nes,1968,0.039648,36950
Agave fibres nes,1969,0.039436,36951
Agave fibres nes,1970,0.040703,38010
Agave fibres nes,1971,0.041831,39105
Agave fibres nes,1972,0.045181,41005
Agave fibres nes,1973,0.049018,42730
Agave fibres nes,1974,0.053,44737
Agave fibres nes,1975,0.069731,59064
Agave fibres nes,1976,0.06279,53444
Agave fibres nes,1977,0.065344,53636
Agave fibres nes,1978,0.062365,53191
Agave fibres nes,1979,0.062951,53879
Agave fibres nes,1980,0.069684,55510
Agave fibres nes,1981,0.063213,54105
Agave fibres nes,1982,0.065416,57118
Agave fibres nes,1983,0.065092,57841
Agave fibres nes,1984,0.056571,49833
Agave fibres nes,1985,0.055123,48143
Agave fibres nes,1986,0.056844,50510
Agave fibres nes,1987,0.058814,54285
Agave fibres nes,1988,0.058253,54699
Agave fibres nes,1989,0.065407,62121
Agave fibres nes,1990,0.058904,55943
Agave fibres nes,1991,0.078452,70822
Agave fibres nes,1992,0.059083,61851
Agave fibres nes,1993,0.064868,67060
Agave fibres nes,1994,0.064787,67307
Agave fibres nes,1995,0.056965,54786
Agave fibres nes,1996,0.066321,63441
Agave fibres nes,1997,0.068454,61228
Agave fibres nes,1998,0.05497,59200
Agave fibres nes,1999,0.051595,57333
Agave fibres nes,2000,0.050163,58653
Agave fibres nes,2001,0.048669,56868
Agave fibres nes,2002,0.049855,57875
Agave fibres nes,2003,0.050063,57349
Agave fibres nes,2004,0.053302,57380
Agave fibres nes,2005,0.05198,57552
Agave fibres nes,2006,0.048914,56706
Agave fibres nes,2007,0.048225,56339
Agave fibres nes,2008,0.046867,56441
Agave fibres nes,2009,0.045847,56543
Agave fibres nes,2010,0.044703,56321
Agave fibres nes,2011,0.043753,56434
Agave fibres nes,2012,0.040965,54840
Agave fibres nes,2013,0.041465,54880
Agave fibres nes,2014,0.041748,56995
Agave fibres nes,2015,0.041098,58064
Agave fibres nes,2016,0.041017,57142
Agave fibres nes,2017,0.040601,57396
Agave fibres nes,2018,0.040239,57551
"Almonds, with shell",1961,0.756588,734703
"Almonds, with shell",1962,0.436538,753026
"Almonds, with shell",1963,0.577518,738654
"Almonds, with shell",1964,0.631599,781827
"Almonds, with shell",1965,0.605077,789828
"Almonds, with shell",1966,0.606315,799071
"Almonds, with shell",1967,0.719378,776295
"Almonds, with shell",1968,0.70954,860649
"Almonds, with shell",1969,0.566655,771639
"Almonds, with shell",1970,0.676749,917991
"Almonds, with shell",1971,0.580612,913680
"Almonds, with shell",1972,0.700004,965564
"Almonds, with shell",1973,0.621331,1019631
"Almonds, with shell",1974,0.855554,1071585
"Almonds, with shell",1975,0.752361,1093050
"Almonds, with shell",1976,0.930057,1124258
"Almonds, with shell",1977,0.812282,1133109
"Almonds, with shell",1978,0.904525,1154579
"Almonds, with shell",1979,0.833748,1193170
"Almonds, with shell",1980,0.919655,1221982
"Almonds, with shell",1981,1.231227,1265223
"Almonds, with shell",1982,1.045648,1258794
"Almonds, with shell",1983,0.846642,1298798
"Almonds, with shell",1984,1.165867,1360432
"Almonds, with shell",1985,1.145592,1349136
"Almonds, with shell",1986,0.976832,1378410
"Almonds, with shell",1987,1.251975,1405497
"Almonds, with shell",1988,1.141283,1405081
"Almonds, with shell",1989,1.273584,1436184
"Almonds, with shell",1990,1.315419,1446720
"Almonds, with shell",1991,1.287291,1453784
"Almonds, with shell",1992,1.318116,1449984
"Almonds, with shell",1993,1.275182,1456345
"Almonds, with shell",1994,1.384321,1481091
"Almonds, with shell",1995,1.04757,1486886
"Almonds, with shell",1996,1.292076,1514710
"Almonds, with shell",1997,1.59274,1548286
"Almonds, with shell",1998,1.310894,1568847
"Almonds, with shell",1999,1.65715,1587260
"Almonds, with shell",2000,1.452206,1649709
"Almonds, with shell",2001,1.541913,1664635
