product,year,harvested_t,area_harvested_ha,yield_t_per_ha
"Cereals, Total",2014,2775.658079777778,719879486.5555556,3.8524654508699308
Sugar cane,2014,1844.8693289999999,26088196.0,70.72289443572907
Vegetables Primary,2014,1021.6912728888888,55147997.222222224,18.516287641123853
Maize,2014,1017.7748700000001,185009761.33333334,5.4857876063123925
"Rice, paddy",2014,744.2989416666667,163937005.7777778,4.539465448732235
Wheat,2014,716.4571416666666,218632579.2222222,3.2767502039249243
Potatoes,2014,361.91199922222216,18092502.555555556,20.016622292497672
Soybeans,2014,301.41200533333335,114678202.44444445,2.6184647421108735
"Vegetables, fresh nes",2014,281.1879818888889,19824513.777777776,14.184400932740203
Cassava,2014,275.2022366666667,24126267.888888888,11.447379625261838
Sugar beet,2014,266.6677543333333,4667592.555555556,57.146251198896636
Oil palm fruit,2014,264.1487458888889,18583023.666666668,14.193299356947762
Tomatoes,2014,170.4695318888889,4776721.555555556,35.67708585537147
Barley,2014,140.12065355555558,48798367.666666664,2.8713711792555134
Bananas,2014,112.26782366666667,5435923.333333333,20.659460722417876
Watermelons,2014,99.06117222222223,3186349.5555555555,31.08883551602626
Sweet potatoes,2014,93.68022933333333,7955449.111111111,11.780943963576327
"Onions, dry",2014,89.0442241111111,4713056.333333333,18.88837934771385
Apples,2014,81.29128477777778,5043938.666666667,16.116516284475132
Cucumbers and gherkins,2014,73.50245522222221,2081531.111111111,35.320410153825435
Grapes,2014,73.01525944444445,7001078.333333333,10.425640152326645
Seed cotton,2014,72.90737677777777,32976418.222222224,2.2100055891333152
Oranges,2014,72.53324733333332,4075009.6666666665,17.823039015969094
Cabbages and other brassicas,2014,69.22628922222222,2405631.777777778,28.774874556322416
Rapeseed,2014,69.178688,34868599.44444445,1.9822475648117635
Yams,2014,64.27307144444445,7376907.222222222,8.805888844285548
Sorghum,2014,61.24631088888889,42674924.11111111,1.4354204118892904
Coconuts,2014,60.87705377777778,12019178.0,5.065842699584568
"Oil, palm",2014,57.361976111111126,,
Eggplants (aubergines),2014,49.26059222222222,1811999.111111111,27.16736206988468
"Mangoes, mangosteens, guavas",2014,46.66141155555555,5527743.888888889,8.42261335322961
"Groundnuts, with shell",2014,44.50390566666667,26862902.444444444,1.6565839458324325
Cottonseed,2014,44.34730344444444,,
Sunflower seed,2014,43.079066555555556,25569075.666666668,1.6786519762891243
Carrots and turnips,2014,38.86437844444444,1161048.2222222222,33.50710636453212
Plantains and others,2014,37.09725233333333,5357523.0,6.920545624298319
"Chillies and peppers, green",2014,32.759295666666674,1927714.3333333333,16.98332272025414
