product,year,variable,value,units
Agave fibres nes,1961,production_quantity,0.0346,megatonnes
Agave fibres nes,1962,production_quantity,0.03295,megatonnes
Agave fibres nes,1963,production_quantity,0.035,megatonnes
Agave fibres nes,1964,production_quantity,0.035124,megatonnes
Agave fibres nes,1965,production_quantity,0.035720999999999996,megatonnes
Agave fibres nes,1966,production_quantity,0.036562,megatonnes
Agave fibres nes,1967,production_quantity,0.038548,megatonnes
Agave fibres nes,1968,production_quantity,0.039648,megatonnes
Agave fibres nes,1969,production_quantity,0.039436,megatonnes
Agave fibres nes,1970,production_quantity,0.040702999999999996,megatonnes
Agave fibres nes,1971,production_quantity,0.041831,megatonnes
Agave fibres nes,1972,production_quantity,0.045181,megatonnes
Agave fibres nes,1973,production_quantity,0.049018,megatonnes
Agave fibres nes,1974,production_quantity,0.053,megatonnes
Agave fibres nes,1975,production_quantity,0.069731,megatonnes
Agave fibres nes,1976,production_quantity,0.06279,megatonnes
Agave fibres nes,1977,production_quantity,0.065344,megatonnes
Agave fibres nes,1978,production_quantity,0.062365,megatonnes
Agave fibres nes,1979,production_quantity,0.062951,megatonnes
Agave fibres nes,1980,production_quantity,0.06968400000000001,megatonnes
Agave fibres nes,1981,production_quantity,0.063213,megatonnes
Agave fibres nes,1982,production_quantity,0.065416,megatonnes
Agave fibres nes,1983,production_quantity,0.065092,megatonnes
Agave fibres nes,1984,production_quantity,0.056571,megatonnes
Agave fibres nes,1985,production_quantity,0.055123,megatonnes
Agave fibres nes,1986,production_quantity,0.056844000000000006,megatonnes
Agave fibres nes,1987,production_quantity,0.058814,megatonnes
Agave fibres nes,1988,production_quantity,0.058253,megatonnes
Agave fibres nes,1989,production_quantity,0.065407,megatonnes
Agave fibres nes,1990,production_quantity,0.058904,megatonnes
Agave fibres nes,1991,production_quantity,0.078452,megatonnes
Agave fibres nes,1992,production_quantity,0.059083000000000004,megatonnes
Agave fibres nes,1993,production_quantity,0.064868,megatonnes
Agave fibres nes,1994,production_quantity,0.064787,megatonnes
Agave fibres nes,1995,production_quantity,0.056964999999999995,megatonnes
Agave fibres nes,1996,production_quantity,0.066321,megatonnes
Agave fibres nes,1997,production_quantity,0.068454,megatonnes
Agave fibres nes,1998,production_quantity,0.054970000000000005,megatonnes
Agave fibres nes,1999,production_quantity,0.051595,megatonnes
Agave fibres nes,2000,production_quantity,0.050163,megatonnes
Agave fibres nes,2001,production_quantity,0.048669,megatonnes
Agave fibres nes,2002,production_quantity,0.049855000000000003,megatonnes
Agave fibres nes,2003,production_quantity,0.050062999999999996,megatonnes
Agave fibres nes,2004,production_quantity,0.053301999999999995,megatonnes
Agave fibres nes,2005,production_quantity,0.05198,megatonnes
Agave fibres nes,2006,production_quantity,0.048914,megatonnes
Agave fibres nes,2007,production_quantity,0.048225,megatonnes
Agave fibres nes,2008,production_quantity,0.046867,megatonnes
Agave fibres nes,2009,production_quantity,0.045847000000000006,megatonnes
Agave fibres nes,2010,production_quantity,0.044703,megatonnes
Agave fibres nes,2011,production_quantity,0.043753,megatonnes
Agave fibres nes,2012,production_quantity,0.040964999999999994,megatonnes
Agave fibres nes,2013,production_quantity,0.041464999999999995,megatonnes
Agave fibres nes,2014,production_quantity,0.041748,megatonnes
Agave fibres nes,2015,production_quantity,0.041098,megatonnes
Agave fibres nes,2016,production_quantity,0.041017000000000005,megatonnes
Agave fibres nes,2017,production_quantity,0.040601,megatonnes
Agave fibres nes,2018,production_quantity,0.040239,megatonnes
"Almonds, with shell",1961,production_quantity,0.756588,megatonnes
"Almonds, with shell",1962,production_quantity,0.43653800000000004,megatonnes
"Almonds, with shell",1963,production_quantity,0.577518,megatonnes
"Almonds, with shell",1964,production_quantity,0.631599,megatonnes
"Almonds, with shell",1965,production_quantity,0.6050770000000001,megatonnes
"Almonds, with shell",1966,production_quantity,0.6063149999999999,megatonnes
"Almonds, with shell",1967,production_quantity,0.719378,megatonnes
"Almonds, with shell",1968,production_quantity,0.70954,megatonnes
"Almonds, with shell",1969,production_quantity,0.566655,megatonnes
"Almonds, with shell",1970,production_quantity,0.6767489999999999,megatonnes
"Almonds, with shell",1971,production_quantity,0.580612,megatonnes
"Almonds, with shell",1972,production_quantity,0.700004,megatonnes
"Almonds, with shell",1973,production_quantity,0.6213310000000001,megatonnes
"Almonds, with shell",1974,production_quantity,0.855554,megatonnes
"Almonds, with shell",1975,production_quantity,0.752361,megatonnes
"Almonds, with shell",1976,production_quantity,0.930057,megatonnes
"Almonds, with shell",1977,production_quantity,0.812282,megatonnes
"Almonds, with shell",1978,production_quantity,0.904525,megatonnes
"Almonds, with shell",1979,production_quantity,0.8337479999999999,megatonnes
"Almonds, with shell",1980,production_quantity,0.9196549999999999,megatonnes
"Almonds, with shell",1981,production_quantity,1.231227,megatonnes
"Almonds, with shell",1982,production_quantity,1.045648,megatonnes
"Almonds, with shell",1983,production_quantity,0.846642,megatonnes
"Almonds, with shell",1984,production_quantity,1.165867,megatonnes
"Almonds, with shell",1985,production_quantity,1.145592,megatonnes
"Almonds, with shell",1986,production_quantity,0.9768319999999999,megatonnes
