product,year,variable,harvested_t,units,area_harvested_ha,yield_t_per_ha
"Cereals, Total",1978,production_quantity,1582.021186,megatonnes,714994525.0,2.2126339862532514
"Cereals, Total",1980,production_quantity,1549.913848,megatonnes,717196316.0,2.1610733538681477
"Cereals, Total",1979,production_quantity,1537.503183,megatonnes,706551009.0,2.176068200901826
"Cereals, Total",1976,production_quantity,1463.712449,megatonnes,722486986.0,2.025936075476936
"Cereals, Total",1977,production_quantity,1456.34557,megatonnes,719087171.0,2.0252698542441387
Sugar cane,2006,production_quantity,1417.376025,megatonnes,20558598.0,68.94322390077377
Sugar cane,2003,production_quantity,1371.880978,megatonnes,20546437.0,66.76977511964726
"Cereals, Total",1975,production_quantity,1359.805195,megatonnes,710956023.0,1.9126431889022761
"Cereals, Total",1973,production_quantity,1357.016286,megatonnes,699336463.0,1.940434051127118
Sugar cane,2004,production_quantity,1333.138427,megatonnes,20114699.0,66.27682706064853
Sugar cane,2002,production_quantity,1326.773955,megatonnes,20249637.0,65.52087600385133
"Cereals, Total",1974,production_quantity,1326.550611,megatonnes,700900537.0,1.892637458487209
Sugar cane,2005,production_quantity,1306.307695,megatonnes,19667440.0,66.4198134073372
"Cereals, Total",1971,production_quantity,1299.668757,megatonnes,686871628.0,1.892156705881583
Sugar cane,1999,production_quantity,1282.128475,megatonnes,19589963.0,65.44823361840959
Sugar cane,1998,production_quantity,1263.674263,megatonnes,19574559.0,64.5569722924537
"Cereals, Total",1972,production_quantity,1258.479748,megatonnes,677271966.0,1.8581601058030506
Sugar cane,2001,production_quantity,1257.665353,megatonnes,19589930.0,64.19958381678751
Sugar cane,2000,production_quantity,1252.668856,megatonnes,19383431.0,64.62575464581064
Sugar cane,1997,production_quantity,1246.42531,megatonnes,19539508.0,63.790004845567246
Sugar cane,1996,production_quantity,1218.890125,megatonnes,19392088.0,62.8550223678853
"Cereals, Total",1970,production_quantity,1192.508666,megatonnes,675465050.0,1.7654631664510252
"Cereals, Total",1969,production_quantity,1170.999674,megatonnes,685280485.0,1.7087888822632968
Maize,2017,production_quantity,1164.400832,megatonnes,197465862.0,5.896719666916401
Sugar cane,1995,production_quantity,1163.366858,megatonnes,18506346.0,62.8631312739965
"Cereals, Total",1968,production_quantity,1160.6799,megatonnes,684205776.0,1.6963900930295566
Maize,2018,production_quantity,1147.621938,megatonnes,193733568.0,5.923712394539701
Maize,2016,production_quantity,1126.990585,megatonnes,195604568.0,5.761576002662678
"Cereals, Total",1967,production_quantity,1124.081414,megatonnes,679891019.0,1.6533258751576478
Sugar cane,1992,production_quantity,1107.576853,megatonnes,18073064.0,61.28329169862952
Vegetables Primary,2018,production_quantity,1088.839427,megatonnes,57883608.0,18.81084238909226
Sugar cane,1991,production_quantity,1086.955621,megatonnes,17696670.0,61.42147765653086
Sugar cane,1994,production_quantity,1084.097363,megatonnes,17602185.0,61.588794970624384
Vegetables Primary,2017,production_quantity,1083.464124,megatonnes,57375777.0,18.88365056912432
"Cereals, Total",1966,production_quantity,1078.340254,megatonnes,669679038.0,1.610234444877458
Vegetables Primary,2016,production_quantity,1073.489024,megatonnes,57075509.0,18.80822515310376
Vegetables Primary,2015,production_quantity,1054.772908,megatonnes,56776521.0,18.577624860107225
Sugar cane,1990,production_quantity,1052.997497,megatonnes,17079401.0,61.65306950753133
Maize,2015,production_quantity,1052.127378,megatonnes,190575736.0,5.5207834957541495
Maize,2014,production_quantity,1039.2266550000004,megatonnes,185736210.0,5.595175302651003
Vegetables Primary,2014,production_quantity,1032.600421,megatonnes,55324328.0,18.66449098125512
Sugar cane,1993,production_quantity,1020.881319,megatonnes,17297242.0,59.019889933898135
Sugar cane,1989,production_quantity,1017.998783,megatonnes,16535904.0,61.5629349928495
Maize,2013,production_quantity,1016.207182,megatonnes,186957444.0,5.435499973994082
"Cereals, Total",1964,production_quantity,1001.214296,megatonnes,670231996.0,1.4938324370894402
Vegetables Primary,2013,production_quantity,1000.022339,megatonnes,54830796.0,18.23833341759255
"Cereals, Total",1965,production_quantity,998.593157,megatonnes,667195256.0,1.4967030236198202
Sugar cane,1988,production_quantity,992.982513,megatonnes,16390040.0,60.5845082135248
Sugar cane,1987,production_quantity,990.319251,megatonnes,16310476.0,60.716759645763865
Vegetables Primary,2012,production_quantity,980.777558,megatonnes,53787819.0,18.23419458595263
Vegetables Primary,2011,production_quantity,957.214274,megatonnes,52366802.0,18.279028648722907
"Cereals, Total",1963,production_quantity,949.346114,megatonnes,659234590.0,1.4400732734609694
Sugar cane,1986,production_quantity,934.719186,megatonnes,15826297.0,59.06114272972383
"Cereals, Total",1962,production_quantity,933.373275,megatonnes,653839707.0,1.4275261428868835
Sugar cane,1985,production_quantity,933.213589,megatonnes,15947852.0,58.516569441452056
Sugar cane,1984,production_quantity,929.768246,megatonnes,15635479.0,59.46528699248677
Vegetables Primary,2010,production_quantity,924.041381,megatonnes,50910815.0,18.150198165163925
Sugar cane,1982,production_quantity,907.06788,megatonnes,15055213.0,60.249421911201125
Sugar cane,1983,production_quantity,903.684353,megatonnes,15380802.0,58.754046310458975
Vegetables Primary,2009,production_quantity,902.939677,megatonnes,49675346.0,18.176817067363757
Maize,2011,production_quantity,886.6805810000002,megatonnes,171202475.0,5.179134127587818
Vegetables Primary,2008,production_quantity,878.364304,megatonnes,48724372.0,18.027206261375724
"Cereals, Total",1961,production_quantity,876.874886,megatonnes,647997350.0,1.3532075185184014
Maize,2012,production_quantity,875.0391599999998,megatonnes,179791974.0,4.866953404716496
Maize,2010,production_quantity,851.6795189999998,megatonnes,164020015.0,5.192534087989199
Vegetables Primary,2007,production_quantity,845.4016140000001,megatonnes,48076099.0,17.58465498625419
Maize,2008,production_quantity,829.240208,megatonnes,163142954.0,5.082905437644582
Maize,2009,production_quantity,820.072448,megatonnes,158819581.0,5.163547484739933
Vegetables Primary,2006,production_quantity,811.515036,megatonnes,47368451.0,17.131973262119125
Sugar cane,1981,production_quantity,799.604214,megatonnes,13686584.0,58.422482483576616
Maize,2007,production_quantity,792.732888,megatonnes,158672801.0,4.996022525624918
Vegetables Primary,2005,production_quantity,782.071947,megatonnes,46544251.0,16.802761462419923
"Rice, paddy",2018,production_quantity,782.000147,megatonnes,167132623.0,4.678919847982042
Sugar cane,1978,production_quantity,774.416858,megatonnes,13690038.0,56.56791149885778
Wheat,2017,production_quantity,773.476524,megatonnes,218424864.0,3.5411560288301245
Sugar cane,1979,production_quantity,770.245178,megatonnes,13733150.0,56.086562660423866
"Rice, paddy",2017,production_quantity,769.829121,megatonnes,166082745.0,4.635214338491335
Vegetables Primary,2004,production_quantity,762.509059,megatonnes,45456325.0,16.774542574658202
Vegetables Primary,2003,production_quantity,753.14195,megatonnes,45917943.0,16.40190959773612
"Rice, paddy",2016,production_quantity,751.885117,megatonnes,162981535.0,4.6133147353164885
Wheat,2016,production_quantity,748.39215,megatonnes,219096587.0,3.415809256764004
"Rice, paddy",2015,production_quantity,745.905437,megatonnes,162630402.0,4.5865067529009735
"Rice, paddy",2013,production_quantity,742.504938,megatonnes,165216811.0,4.494124620284555
"Rice, paddy",2014,production_quantity,742.454148,megatonnes,164291421.0,4.519129139433276
Wheat,2015,production_quantity,741.6432580000002,megatonnes,223476466.0,3.318663800599031
"Rice, paddy",2012,production_quantity,736.596755,megatonnes,162645204.0,4.528856288931827
Sugar cane,1977,production_quantity,734.858286,megatonnes,13029277.0,56.400542102221024
Sugar cane,1980,production_quantity,734.4892,megatonnes,13284827.0,55.2878257278021
Wheat,2018,production_quantity,734.045174,megatonnes,214291888.0,3.4254454559661167
Maize,2004,production_quantity,729.5179509999998,megatonnes,147531413.0,4.944831315348412
Wheat,2014,production_quantity,728.7301259999998,megatonnes,219750589.0,3.3161691593918765
"Rice, paddy",2011,production_quantity,726.376264,megatonnes,162752574.0,4.463070820618788
Vegetables Primary,2002,production_quantity,723.675252,megatonnes,43810168.0,16.51843133767485
Maize,2005,production_quantity,714.191174,megatonnes,148204682.0,4.818951495742894
Wheat,2013,production_quantity,710.397103,megatonnes,218868997.0,3.245763962631948
Maize,2006,production_quantity,707.937211,megatonnes,148378501.0,4.771157588389439
Vegetables Primary,2001,production_quantity,702.358012,megatonnes,43122690.0,16.287435037099957
"Rice, paddy",2010,production_quantity,701.138548,megatonnes,161699737.0,4.336052494630835
Wheat,2011,production_quantity,696.898368,megatonnes,220263272.0,3.163933603964623
Sugar cane,1976,production_quantity,687.207538,megatonnes,12575275.0,54.647515700451876
"Rice, paddy",2008,production_quantity,687.050383,megatonnes,160077463.0,4.291986955090612
"Rice, paddy",2009,production_quantity,685.6567309999998,megatonnes,157793328.0,4.345283414011014
Vegetables Primary,2000,production_quantity,684.733756,megatonnes,41993624.0,16.305660021149876
Wheat,2009,production_quantity,683.639171,megatonnes,225199134.0,3.035709591139014
Wheat,2008,production_quantity,680.294443,megatonnes,222130344.0,3.062591227968386
Wheat,2012,production_quantity,673.728907,megatonnes,217917551.0,3.091668862413014
"Rice, paddy",2007,production_quantity,656.556273,megatonnes,155314941.0,4.2272576532092945
Sugar cane,1975,production_quantity,655.815792,megatonnes,12198454.0,53.76220560408721
Sugar cane,1974,production_quantity,648.516497,megatonnes,11932313.0,54.34960489219483
Maize,2003,production_quantity,645.055272,megatonnes,144597222.0,4.4610488574946485
Wheat,2010,production_quantity,640.802665,megatonnes,215602999.0,2.972141704763578
"Rice, paddy",2006,production_quantity,640.705012,megatonnes,155559995.0,4.118700389518526
Wheat,2004,production_quantity,634.6660099999998,megatonnes,215679408.0,2.942636090692533
"Rice, paddy",2005,production_quantity,634.225091,megatonnes,155266253.0,4.084758141229827
Wheat,2005,production_quantity,627.020836,megatonnes,221665770.0,2.8286768678808643
Vegetables Primary,1999,production_quantity,617.378304,megatonnes,40189760.0,15.361582253788029
Maize,2001,production_quantity,615.152413,megatonnes,137383603.0,4.477626147277562
Maize,1998,production_quantity,615.081853,megatonnes,138670017.0,4.435579271617166
Wheat,1997,production_quantity,614.65178,megatonnes,227483930.0,2.7019569250452107
Wheat,2006,production_quantity,614.381123,megatonnes,212558985.0,2.890402976848991
"Rice, paddy",1999,production_quantity,611.177579,megatonnes,156833899.0,3.8969736957186787
Sugar cane,1970,production_quantity,608.616105,megatonnes,11113307.0,54.764626316900994
Maize,1999,production_quantity,607.434709,megatonnes,137254885.0,4.425596283877255
"Rice, paddy",2004,production_quantity,607.348698,megatonnes,150702977.0,4.030104183011594
Wheat,2007,production_quantity,606.59514,megatonnes,215449051.0,2.815492280817705
Maize,2002,production_quantity,603.551954,megatonnes,137529459.0,4.388528526095635
"Rice, paddy",2001,production_quantity,600.246617,megatonnes,151951868.0,3.9502417765604565
Sugar cane,1973,production_quantity,600.2271450000002,megatonnes,11149211.0,53.835840491313704
"Rice, paddy",2000,production_quantity,598.668171,megatonnes,154001911.0,3.8874074166521217
Wheat,1998,production_quantity,596.1758150000002,megatonnes,220329076.0,2.7058426687179504
Wheat,2002,production_quantity,592.045286,megatonnes,214893614.0,2.7550622607147366
Maize,2000,production_quantity,592.0386980000002,megatonnes,136927586.0,4.323735744527039
Wheat,1990,production_quantity,591.330111,megatonnes,230752487.0,2.5626164150508157
Wheat,2001,production_quantity,588.243664,megatonnes,214551451.0,2.7417370577465823
"Rice, paddy",2003,production_quantity,586.931423,megatonnes,148447197.0,3.9538060324574533
Maize,1996,production_quantity,586.146163,megatonnes,139350284.0,4.206278926564656
Wheat,2000,production_quantity,584.99916,megatonnes,214932137.0,2.7217854349998856
Wheat,1999,production_quantity,584.763438,megatonnes,212533947.0,2.751388407612832
Maize,1997,production_quantity,584.4118940000002,megatonnes,140779013.0,4.1512714256634276
Sugar cane,1971,production_quantity,582.105426,megatonnes,11055376.0,52.65360725858623
"Rice, paddy",1998,production_quantity,578.8139769999998,megatonnes,151681531.0,3.8159819009210802
Wheat,1996,production_quantity,578.616933,megatonnes,224578033.0,2.576462734447407
"Rice, paddy",1997,production_quantity,577.136893,megatonnes,151216596.0,3.8166240231991466
Vegetables Primary,1998,production_quantity,574.9322599999998,megatonnes,38048788.0,15.110396157691008
"Rice, paddy",2002,production_quantity,571.051228,megatonnes,147826507.0,3.86298262462496
Sugar cane,1972,production_quantity,569.1055700000002,megatonnes,10871074.0,52.35044577932227
Maize,1994,production_quantity,568.663564,megatonnes,138291950.0,4.11205109191099
"Rice, paddy",1996,production_quantity,568.6580309999998,megatonnes,150280654.0,3.783973624442704
Wheat,1992,production_quantity,565.111947,megatonnes,222449642.0,2.540403940052194
Wheat,1993,production_quantity,564.739765,megatonnes,222020134.0,2.543642123015744
Vegetables Primary,1997,production_quantity,553.979171,megatonnes,36505858.0,15.175076038481276
Wheat,2003,production_quantity,549.974473,megatonnes,207427533.0,2.6514053609267
Wheat,1991,production_quantity,547.8207309999998,megatonnes,224195834.0,2.4434920186786333
"Rice, paddy",1995,production_quantity,547.162009,megatonnes,149579331.0,3.6580054566496223
Vegetables Primary,1996,production_quantity,544.875783,megatonnes,35513941.0,15.34258850629954
Wheat,1995,production_quantity,544.357532,megatonnes,216415178.0,2.515338974977069
"Rice, paddy",1994,production_quantity,538.591048,megatonnes,147252079.0,3.6576125217220192
Sugar cane,1969,production_quantity,538.2557370000002,megatonnes,10046924.0,53.574182207409976
Wheat,1989,production_quantity,538.206114,megatonnes,226787295.0,2.373175772478789
Maize,1992,production_quantity,533.789336,megatonnes,136644882.0,3.906398309158773
Sugar cane,1966,production_quantity,531.492823,megatonnes,10375326.0,51.22661427698754
Sugar cane,1965,production_quantity,531.297486,megatonnes,10165125.0,52.26669480208065
"Rice, paddy",1993,production_quantity,529.599553,megatonnes,146454544.0,3.6161360278449264
Wheat,1986,production_quantity,528.685222,megatonnes,227751914.0,2.3213206541921747
"Rice, paddy",1992,production_quantity,527.878059,megatonnes,147258679.0,3.5846991334208558
Wheat,1994,production_quantity,525.435323,megatonnes,214605184.0,2.448381316827836
Sugar cane,1967,production_quantity,518.890895,megatonnes,9949042.0,52.15486023679466
"Rice, paddy",1990,production_quantity,518.568653,megatonnes,146960085.0,3.528636044270116
"Rice, paddy",1991,production_quantity,518.5125730000002,megatonnes,146630312.0,3.536189522668411
Maize,1995,production_quantity,517.2990589999998,megatonnes,135769013.0,3.8101408235176595
Vegetables Primary,1995,production_quantity,514.9230269999998,megatonnes,34672652.0,14.850984776128454
"Rice, paddy",1989,production_quantity,514.42164,megatonnes,148932817.0,3.454051634570237
Wheat,1984,production_quantity,512.330225,megatonnes,230771567.0,2.220075166365708
Sugar cane,1968,production_quantity,506.09188,megatonnes,9586121.0,52.79423032527964
Wheat,1987,production_quantity,505.075847,megatonnes,220554829.0,2.2900239785726932
Wheat,1988,production_quantity,500.656538,megatonnes,218377348.0,2.2926212017191454
Wheat,1985,production_quantity,499.527392,megatonnes,229999646.0,2.1718615688651974
Maize,1991,production_quantity,494.407622,megatonnes,133634353.0,3.6997045363028773
Wheat,1983,production_quantity,489.555281,megatonnes,230291623.0,2.125805857037188
Vegetables Primary,1994,production_quantity,488.580812,megatonnes,32372292.0,15.092561626467473
"Rice, paddy",1988,production_quantity,487.45790199999993,megatonnes,146402560.0,3.3295722561135537
Maize,1985,production_quantity,485.527301,megatonnes,130512431.0,3.720161346163263
Maize,1990,production_quantity,483.620724,megatonnes,131037921.0,3.690692894921616
Sugar cane,1964,production_quantity,480.849768,megatonnes,9330371.0,51.53597515039863
Maize,1986,production_quantity,478.176622,megatonnes,131803709.0,3.627945113441383
Maize,1993,production_quantity,477.221153,megatonnes,131444134.0,3.630600609381321
Maize,1989,production_quantity,476.874503,megatonnes,131782910.0,3.618636915818599
Wheat,1982,production_quantity,476.768609,megatonnes,238480249.0,1.999195367327883
"Rice, paddy",1986,production_quantity,468.675242,megatonnes,144470742.0,3.2440841343501927
"Rice, paddy",1985,production_quantity,468.164572,megatonnes,143739872.0,3.2570264985347976
"Rice, paddy",1984,production_quantity,465.34289800000005,megatonnes,144242554.0,3.226113827684998
Vegetables Primary,1993,production_quantity,464.58749000000006,megatonnes,31261058.0,14.861540834606432
"Rice, paddy",1987,production_quantity,461.439908,megatonnes,141324376.0,3.265111943604124
Maize,1987,production_quantity,453.11579400000005,megatonnes,129972051.0,3.4862556258345117
Maize,1984,production_quantity,450.449992,megatonnes,127763956.0,3.525642177203718
Wheat,1981,production_quantity,449.63398600000005,megatonnes,239165634.0,1.8800108463743586
Maize,1982,production_quantity,448.93228,megatonnes,124390774.0,3.6090480472450475
"Rice, paddy",1983,production_quantity,448.016295,megatonnes,142830035.0,3.1367092712677693
Sugar cane,1961,production_quantity,447.977522,megatonnes,8911879.0,50.26746009455469
Maize,1981,production_quantity,446.772517,megatonnes,127895030.0,3.493275047513574
Wheat,1978,production_quantity,443.84488,megatonnes,229635073.0,1.9328270468509834
Wheat,1980,production_quantity,440.187901,megatonnes,237251982.0,1.8553602683917725
Sugar cane,1963,production_quantity,439.927902,megatonnes,9038405.0,48.67317873009674
Sugar cane,1962,production_quantity,436.8726400000001,megatonnes,9023996.0,48.41232642390357
Vegetables Primary,1992,production_quantity,436.813931,megatonnes,29483853.0,14.815361174131482
Wheat,1979,production_quantity,422.999301,megatonnes,228381779.0,1.8521587092112108
Vegetables Primary,1991,production_quantity,422.276467,megatonnes,29333302.0,14.39580402506339
"Rice, paddy",1982,production_quantity,421.949049,megatonnes,141574291.0,2.980407290190844
Wheat,1976,production_quantity,419.868031,megatonnes,234418092.0,1.7911076206524197
Vegetables Primary,1990,production_quantity,418.772929,megatonnes,28812792.0,14.534271062658558
Maize,1979,production_quantity,418.622993,megatonnes,123679562.0,3.3847386442070357
"Rice, paddy",1981,production_quantity,410.075231,megatonnes,145047250.0,2.8271837694268593
Vegetables Primary,1989,production_quantity,407.863816,megatonnes,28908837.0,14.108620696155988
Maize,1988,production_quantity,403.050234,megatonnes,130010309.0,3.1001405742370785
"Rice, paddy",1980,production_quantity,396.87131,megatonnes,144412384.0,2.7481805853991026
Maize,1980,production_quantity,396.623388,megatonnes,125776355.0,3.153401829779532
Vegetables Primary,1988,production_quantity,394.258435,megatonnes,28113891.0,14.023616830555401
Maize,1978,production_quantity,393.600091,megatonnes,124729622.0,3.1556264236894744
"Rice, paddy",1978,production_quantity,385.208745,megatonnes,143503652.0,2.6843131838902607
Vegetables Primary,1987,production_quantity,384.443935,megatonnes,27886061.0,13.786240193622183
Wheat,1977,production_quantity,382.276677,megatonnes,228577847.0,1.6724134994586768
Vegetables Primary,1986,production_quantity,377.284538,megatonnes,27138338.0,13.90227131816252
"Rice, paddy",1979,production_quantity,375.251758,megatonnes,141118095.0,2.6591328206350857
Potatoes,2017,production_quantity,373.774234,megatonnes,17623660.0,21.20866119750381
Maize,1977,production_quantity,371.593355,megatonnes,125249315.0,2.9668294393466343
Potatoes,2014,production_quantity,369.966532,megatonnes,18029774.0,20.519754268689113
"Rice, paddy",1977,production_quantity,369.481153,megatonnes,143663829.0,2.57184536686684
Wheat,1973,production_quantity,369.334126,megatonnes,219374913.0,1.683575031206964
Potatoes,2018,production_quantity,368.168914,megatonnes,17578672.0,20.944068698704886
Potatoes,2011,production_quantity,367.889898,megatonnes,18694745.0,19.67878663228624
Potatoes,2015,production_quantity,365.748227,megatonnes,17998732.0,20.320777430321204
Potatoes,2013,production_quantity,365.087514,megatonnes,18498639.0,19.73591213926603
