,type,year,kcal_capita_day
0,Grand Total,1961,2196
530,Poultry Meat,1961,11
848,"Fish, Body Oil",1961,1
53,Animal Products,1961,338
477,Pigmeat,1961,46
901,"Fish, Liver Oil",1961,0
954,Eggs,1961,18
424,Mutton & Goat Meat,1961,11
1007,Milk - Excluding Butter,1961,118
371,Bovine Meat,1961,39
1060,Freshwater Fish,1961,3
1537,Aquatic Plants,1961,0
106,Cereals - Excluding Beer,1961,1086
318,Fruits - Excluding Wine,1961,51
1166,Pelagic Fish,1961,7
1431,"Meat, Aquatic Mammals",1961,0
265,Vegetables,1961,44
1219,"Marine Fish, Other",1961,2
1272,Crustaceans,1961,1
1378,"Molluscs, Other",1961,0
212,Treenuts,1961,6
159,Starchy Roots,1961,175
1325,Cephalopods,1961,0
1113,Demersal Fish,1961,4
795,"Fats, Animals, Raw",1961,34
1484,"Aquatic Animals, Others",1961,0
636,"Offals, Edible",1961,5
689,"Butter, Ghee",1961,34
742,Cream,1961,2
583,"Meat, Other",1961,3
1167,Pelagic Fish,1962,7
425,Mutton & Goat Meat,1962,11
478,Pigmeat,1962,48
637,"Offals, Edible",1962,5
1273,Crustaceans,1962,1
584,"Meat, Other",1962,3
319,Fruits - Excluding Wine,1962,52
1485,"Aquatic Animals, Others",1962,0
54,Animal Products,1962,343
1379,"Molluscs, Other",1962,0
1008,Milk - Excluding Butter,1962,117
849,"Fish, Body Oil",1962,1
1432,"Meat, Aquatic Mammals",1962,0
266,Vegetables,1962,43
1220,"Marine Fish, Other",1962,2
902,"Fish, Liver Oil",1962,0
1114,Demersal Fish,1962,4
1538,Aquatic Plants,1962,0
690,"Butter, Ghee",1962,34
743,Cream,1962,2
796,"Fats, Animals, Raw",1962,35
1061,Freshwater Fish,1962,3
1326,Cephalopods,1962,0
1,Grand Total,1962,2243
531,Poultry Meat,1962,11
160,Starchy Roots,1962,174
107,Cereals - Excluding Beer,1962,1118
372,Bovine Meat,1962,40
213,Treenuts,1962,6
955,Eggs,1962,18
373,Bovine Meat,1963,42
744,Cream,1963,2
320,Fruits - Excluding Wine,1963,53
108,Cereals - Excluding Beer,1963,1126
426,Mutton & Goat Meat,1963,11
1009,Milk - Excluding Butter,1963,118
1168,Pelagic Fish,1963,7
1115,Demersal Fish,1963,4
1062,Freshwater Fish,1963,3
638,"Offals, Edible",1963,5
1486,"Aquatic Animals, Others",1963,0
691,"Butter, Ghee",1963,33
1539,Aquatic Plants,1963,0
956,Eggs,1963,18
161,Starchy Roots,1963,166
585,"Meat, Other",1963,3
55,Animal Products,1963,351
1380,"Molluscs, Other",1963,0
532,Poultry Meat,1963,12
1274,Crustaceans,1963,1
479,Pigmeat,1963,53
797,"Fats, Animals, Raw",1963,36
1221,"Marine Fish, Other",1963,2
1433,"Meat, Aquatic Mammals",1963,0
903,"Fish, Liver Oil",1963,0
1327,Cephalopods,1963,1
850,"Fish, Body Oil",1963,0
267,Vegetables,1963,42
2,Grand Total,1963,2254
214,Treenuts,1963,6
268,Vegetables,1964,41
1328,Cephalopods,1964,0
3,Grand Total,1964,2287
162,Starchy Roots,1964,162
1275,Crustaceans,1964,1
1116,Demersal Fish,1964,5
215,Treenuts,1964,6
321,Fruits - Excluding Wine,1964,54
1381,"Molluscs, Other",1964,0
1222,"Marine Fish, Other",1964,2
1169,Pelagic Fish,1964,7
639,"Offals, Edible",1964,5
109,Cereals - Excluding Beer,1964,1153
1434,"Meat, Aquatic Mammals",1964,0
745,Cream,1964,2
1010,Milk - Excluding Butter,1964,117
1487,"Aquatic Animals, Others",1964,0
904,"Fish, Liver Oil",1964,0
851,"Fish, Body Oil",1964,0
1540,Aquatic Plants,1964,0
480,Pigmeat,1964,55
427,Mutton & Goat Meat,1964,10
533,Poultry Meat,1964,12
56,Animal Products,1964,351
586,"Meat, Other",1964,3
798,"Fats, Animals, Raw",1964,35
957,Eggs,1964,18
374,Bovine Meat,1964,41
692,"Butter, Ghee",1964,34
1063,Freshwater Fish,1964,3
587,"Meat, Other",1965,3
481,Pigmeat,1965,59
1382,"Molluscs, Other",1965,0
57,Animal Products,1965,355
1223,"Marine Fish, Other",1965,3
1064,Freshwater Fish,1965,4
852,"Fish, Body Oil",1965,1
216,Treenuts,1965,6
1541,Aquatic Plants,1965,0
1276,Crustaceans,1965,1
534,Poultry Meat,1965,13
163,Starchy Roots,1965,174
799,"Fats, Animals, Raw",1965,35
746,Cream,1965,2
4,Grand Total,1965,2310
1435,"Meat, Aquatic Mammals",1965,0
640,"Offals, Edible",1965,5
1488,"Aquatic Animals, Others",1965,0
1329,Cephalopods,1965,0
905,"Fish, Liver Oil",1965,0
1117,Demersal Fish,1965,5
1011,Milk - Excluding Butter,1965,115
428,Mutton & Goat Meat,1965,10
693,"Butter, Ghee",1965,34
958,Eggs,1965,18
322,Fruits - Excluding Wine,1965,55
110,Cereals - Excluding Beer,1965,1148
269,Vegetables,1965,41
375,Bovine Meat,1965,41
1170,Pelagic Fish,1965,7
1277,Crustaceans,1966,1
800,"Fats, Animals, Raw",1966,35
1065,Freshwater Fish,1966,4
535,Poultry Meat,1966,13
1012,Milk - Excluding Butter,1966,116
747,Cream,1966,2
376,Bovine Meat,1966,43
906,"Fish, Liver Oil",1966,0
217,Treenuts,1966,6
853,"Fish, Body Oil",1966,1
694,"Butter, Ghee",1966,33
482,Pigmeat,1966,60
429,Mutton & Goat Meat,1966,10
959,Eggs,1966,18
641,"Offals, Edible",1966,5
1224,"Marine Fish, Other",1966,3
1171,Pelagic Fish,1966,7
270,Vegetables,1966,41
588,"Meat, Other",1966,3
1118,Demersal Fish,1966,5
1330,Cephalopods,1966,0
323,Fruits - Excluding Wine,1966,56
1436,"Meat, Aquatic Mammals",1966,0
164,Starchy Roots,1966,177
58,Animal Products,1966,359
5,Grand Total,1966,2327
1489,"Aquatic Animals, Others",1966,0
1542,Aquatic Plants,1966,0
1383,"Molluscs, Other",1966,0
111,Cereals - Excluding Beer,1966,1159
377,Bovine Meat,1967,44
