category,product,year,producing_population_Mhd
eggs,"Eggs, hen, in shell",1961,1893.282
eggs,"Eggs, hen, in shell",1962,1947.569
eggs,"Eggs, hen, in shell",1963,1945.34
eggs,"Eggs, hen, in shell",1964,1991.798
eggs,"Eggs, hen, in shell",1965,2061.013
eggs,"Eggs, hen, in shell",1966,2143.234
eggs,"Eggs, hen, in shell",1967,2233.265
eggs,"Eggs, hen, in shell",1968,2294.618
eggs,"Eggs, hen, in shell",1969,2375.499
eggs,"Eggs, hen, in shell",1970,2470.4
eggs,"Eggs, hen, in shell",1971,2557.4
eggs,"Eggs, hen, in shell",1972,2583.485
eggs,"Eggs, hen, in shell",1973,2677.18
eggs,"Eggs, hen, in shell",1974,2732.832
eggs,"Eggs, hen, in shell",1975,2775.08
eggs,"Eggs, hen, in shell",1976,2843.289
eggs,"Eggs, hen, in shell",1977,2899.304
eggs,"Eggs, hen, in shell",1978,2840.525
eggs,"Eggs, hen, in shell",1979,2903.327
eggs,"Eggs, hen, in shell",1980,2923.33
eggs,"Eggs, hen, in shell",1981,2917.545
eggs,"Eggs, hen, in shell",1982,2971.253
eggs,"Eggs, hen, in shell",1983,3027.747
eggs,"Eggs, hen, in shell",1984,3130.617
eggs,"Eggs, hen, in shell",1985,3256.304
eggs,"Eggs, hen, in shell",1986,3324.99
eggs,"Eggs, hen, in shell",1987,3406.849
eggs,"Eggs, hen, in shell",1988,3457.889
eggs,"Eggs, hen, in shell",1989,3497.714
eggs,"Eggs, hen, in shell",1990,3604.338
eggs,"Eggs, hen, in shell",1991,3699.594
eggs,"Eggs, hen, in shell",1992,3688.089
eggs,"Eggs, hen, in shell",1993,3726.72
eggs,"Eggs, hen, in shell",1994,4065.923
eggs,"Eggs, hen, in shell",1995,4207.945
eggs,"Eggs, hen, in shell",1996,4363
eggs,"Eggs, hen, in shell",1997,4495.168
eggs,"Eggs, hen, in shell",1998,4621.816
eggs,"Eggs, hen, in shell",1999,4784.073
eggs,"Eggs, hen, in shell",2000,4973.197
eggs,"Eggs, hen, in shell",2001,5104.308
eggs,"Eggs, hen, in shell",2002,5268.888
eggs,"Eggs, hen, in shell",2003,5362.263
eggs,"Eggs, hen, in shell",2004,5557.018
eggs,"Eggs, hen, in shell",2005,5722.981
eggs,"Eggs, hen, in shell",2006,5918.965
eggs,"Eggs, hen, in shell",2007,6077.78
eggs,"Eggs, hen, in shell",2008,6254.368
eggs,"Eggs, hen, in shell",2009,6348.052
eggs,"Eggs, hen, in shell",2010,6520.831
eggs,"Eggs, hen, in shell",2011,6616.656
eggs,"Eggs, hen, in shell",2012,6819.159
eggs,"Eggs, hen, in shell",2013,6974.713
eggs,"Eggs, hen, in shell",2014,7111.061
eggs,"Eggs, hen, in shell",2015,7223.672
eggs,"Eggs, hen, in shell",2016,7389.729
eggs,"Eggs, hen, in shell",2017,7483.715
eggs,"Eggs, hen, in shell",2018,7466.46
eggs,"Eggs, other bird, in shell",1961,56.115
eggs,"Eggs, other bird, in shell",1962,57.424
eggs,"Eggs, other bird, in shell",1963,57.932
eggs,"Eggs, other bird, in shell",1964,58.222
eggs,"Eggs, other bird, in shell",1965,58.616
eggs,"Eggs, other bird, in shell",1966,59.331
eggs,"Eggs, other bird, in shell",1967,59.826
eggs,"Eggs, other bird, in shell",1968,61.347
eggs,"Eggs, other bird, in shell",1969,62.024
eggs,"Eggs, other bird, in shell",1970,62.214
eggs,"Eggs, other bird, in shell",1971,62.438
eggs,"Eggs, other bird, in shell",1972,62.558
eggs,"Eggs, other bird, in shell",1973,62.676
eggs,"Eggs, other bird, in shell",1974,61.721
eggs,"Eggs, other bird, in shell",1975,67.982
eggs,"Eggs, other bird, in shell",1976,68.11
eggs,"Eggs, other bird, in shell",1977,74.353
