Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1961,1961,1000 Head,1893282,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1962,1962,1000 Head,1947569,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1963,1963,1000 Head,1945340,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1964,1964,1000 Head,1991798,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1965,1965,1000 Head,2061013,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1966,1966,1000 Head,2143234,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1967,1967,1000 Head,2233265,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1968,1968,1000 Head,2294618,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1969,1969,1000 Head,2375499,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1970,1970,1000 Head,2470400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1971,1971,1000 Head,2557400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QL,Livestock Primary,5000,World,5313,Laying,1062,"Eggs, hen, in shell",1972,1972,1000 Head,2583485,A,"Aggregate, may include official, semi-official, estimated or calculated data"
