category,year,volume_km3
agriculture,2016,1265.6100000000001
domestic/municipal,2016,53.7
hydroelectric_power,2016,245.64
livestock,2016,17.3
reservoir,2016,110.36000000000001
thermal_power,2016,19.200000000000003
