,year,others_recycling_pg/yr
0,1900,0.0001597736358642578
1,1901,0.00016976795959472657
2,1902,0.00017684886169433593
3,1903,0.00018486454772949218
4,1904,0.00019308100891113282
5,1905,0.00020111973571777344
6,1906,0.0002119556579589844
7,1907,0.00022011456298828125
8,1908,0.0002311783447265625
9,1909,0.0002415774383544922
10,1910,0.000253887939453125
11,1911,0.0002637000732421875
12,1912,0.0002773937377929688
13,1913,0.0002879834899902344
14,1914,0.00030141305541992185
15,1915,0.00031531832885742185
16,1916,0.00032774514770507815
17,1917,0.00034287066650390627
18,1918,0.0003557265319824219
19,1919,0.0003723497314453125
20,1920,0.0003854620666503906
21,1921,0.00040553121948242187
22,1922,0.00042219769287109375
23,1923,0.00043452157592773437
24,1924,0.0004525347900390625
25,1925,0.00047048526000976565
26,1926,0.00048793374633789065
27,1927,0.000505018798828125
28,1928,0.000524765625
29,1929,0.0005400541381835938
30,1930,0.000557723388671875
31,1931,0.0005767650756835937
32,1932,0.0005897568969726563
33,1933,0.0006078856201171875
34,1934,0.0006262352905273438
35,1935,0.0006449428100585938
36,1936,0.0006593173828125
37,1937,0.0006781438598632812
38,1938,0.0006975240478515625
39,1939,0.0007109207763671875
40,1940,0.00073065625
41,1941,0.0007447544555664062
42,1942,0.0007594467163085937
43,1943,0.0007798882446289063
44,1944,0.0008011906127929687
45,1945,0.000820508056640625
46,1946,0.0008419733276367187
47,1947,0.0008675885009765625
48,1948,0.000893661376953125
49,1949,0.000918076904296875
50,1950,0.0009485914916992187
51,1951,0.000981833740234375
52,1952,0.0010185760498046875
53,1953,0.001057739013671875
54,1954,0.0011041400146484374
55,1955,0.00115052880859375
56,1956,0.0012019737548828126
57,1957,0.001257666748046875
58,1958,0.0013139774169921876
59,1959,0.00137623095703125
60,1960,0.0014397501220703125
61,1961,0.001498520751953125
62,1962,0.001556912841796875
63,1963,0.0016199813232421875
64,1964,0.0016772633056640624
65,1965,0.001738410400390625
66,1966,0.0017918204345703124
67,1967,0.00185823876953125
68,1968,0.0019201922607421874
69,1969,0.001995796630859375
70,1970,0.002076580078125
71,1971,0.0021845751953125
72,1972,0.002287677978515625
73,1973,0.00241466064453125
74,1974,0.002559480712890625
75,1975,0.002721675537109375
76,1976,0.002900256591796875
77,1977,0.00309913818359375
78,1978,0.003307619384765625
79,1979,0.003536668212890625
80,1980,0.003779406982421875
81,1981,0.004046349609375
82,1982,0.004307125
83,1983,0.00458044091796875
84,1984,0.0048660419921875
85,1985,0.00517115869140625
86,1986,0.0054710888671875
87,1987,0.0057666962890625
88,1988,0.0060242265625
89,1989,0.00629861181640625
90,1990,0.00655869677734375
91,1991,0.00682409521484375
92,1992,0.00707611767578125
93,1993,0.007341685546875
94,1994,0.00758444287109375
95,1995,0.00780428271484375
96,1996,0.00803662255859375
97,1997,0.0082747802734375
98,1998,0.008470197265625
99,1999,0.00865025
100,2000,0.0088393203125
101,2001,0.009040345703125
102,2002,0.00913344140625
103,2003,0.0092803408203125
104,2004,0.009456421875
105,2005,0.00959593359375
106,2006,0.00974387890625
107,2007,0.00990737890625
108,2008,0.0100429609375
109,2009,0.010156978515625
110,2010,0.0102181376953125
