,year,sand_gravel_net_pg/yr
0,1901,0.24664650000000066
1,1902,0.2243712500000008
2,1903,0.2579759999999993
3,1904,0.24392500000000084
4,1905,0.25483674999999906
5,1906,0.2730224999999997
6,1907,0.2576804999999993
7,1908,0.24702249999999992
8,1909,0.26689400000000063
9,1910,0.2518785000000001
10,1911,0.25477749999999943
11,1912,0.30833700000000164
12,1913,0.26657200000000003
13,1914,0.2735354999999977
14,1915,0.2604450000000007
15,1916,0.27066699999999955
16,1917,0.26465200000000166
17,1918,0.2414279999999991
18,1919,0.26249500000000126
19,1920,0.2415259999999968
20,1921,0.263793500000002
21,1922,0.299118
22,1923,0.290222
23,1924,0.2941554999999987
24,1925,0.2620560000000012
25,1926,0.3309899999999999
26,1927,0.34135700000000213
27,1928,0.34239349999999646
28,1929,0.34686400000000006
29,1930,0.35508199999999945
30,1931,0.32839650000000375
31,1932,0.3908549999999984
32,1933,0.4102350000000001
33,1934,0.4011400000000016
34,1935,0.40133899999999656
35,1936,0.4705249999999985
36,1937,0.46621350000000206
37,1938,0.4868140000000025
38,1939,0.5672379999999961
39,1940,0.5760400000000025
40,1941,0.6351194999999983
41,1942,0.6922420000000002
42,1943,0.6561769999999996
43,1944,0.7377825000000016
44,1945,0.7582840000000033
45,1946,0.835268499999998
46,1947,0.8885264999999976
47,1948,0.9690009999999987
48,1949,1.0166850000000025
49,1950,1.2023635000000041
50,1951,1.2481620000000007
51,1952,1.3720654999999908
52,1953,1.4437170000000066
53,1954,1.5189854999999994
54,1955,1.6137765000000002
55,1956,1.7754970000000014
56,1957,1.922900999999996
57,1958,1.9490280000000055
58,1959,2.081481999999994
59,1960,2.2126845000000017
60,1961,2.3346480000000014
61,1962,2.490674999999996
62,1963,2.6494399999999985
63,1964,2.889784000000006
64,1965,3.043915499999997
65,1966,3.3027945000000045
66,1967,3.3669344999999993
67,1968,3.673985000000002
68,1969,3.728182999999987
69,1970,4.1265675000000215
70,1971,4.102105499999979
71,1972,4.73327350000001
72,1973,4.790002499999986
73,1974,4.996839500000007
74,1975,4.720535499999997
75,1976,4.36036150000001
76,1977,4.389333499999992
77,1978,4.416374500000003
78,1979,4.6971565000000055
79,1980,4.541694499999991
80,1981,4.169326500000011
81,1982,3.760852
82,1983,3.5725979999999993
83,1984,3.7126030000000014
84,1985,3.7485479999999995
85,1986,3.975946999999991
86,1987,4.079915
87,1988,4.309311999999977
88,1989,4.44020500000002
89,1990,4.4419149999999945
90,1991,5.016702000000009
91,1992,5.217458999999991
92,1993,5.398054999999999
93,1994,5.499746000000016
94,1995,5.874990999999994
95,1996,6.082963000000007
96,1997,6.094761000000005
97,1998,6.370777999999973
98,1999,6.504251000000011
99,2000,6.582126000000017
100,2001,6.5978339999999776
101,2002,6.42270400000001
102,2003,6.538970000000006
103,2004,6.579121999999984
104,2005,6.9375479999999925
105,2006,7.215092000000027
106,2007,7.419925999999975
107,2008,7.495990000000006
108,2009,7.326692000000037
109,2010,7.504437999999993
