,year,sand_gravel_stock_pg
0,1900,16.609406
1,1901,16.8560525
2,1902,17.08042375
3,1903,17.33839975
4,1904,17.58232475
5,1905,17.8371615
6,1906,18.110184
7,1907,18.3678645
8,1908,18.614887
9,1909,18.881781
10,1910,19.1336595
11,1911,19.388437
12,1912,19.696774
13,1913,19.963346
14,1914,20.2368815
15,1915,20.4973265
16,1916,20.7679935
17,1917,21.0326455
18,1918,21.2740735
19,1919,21.5365685
20,1920,21.778094499999998
21,1921,22.041888
22,1922,22.341006
23,1923,22.631228
24,1924,22.9253835
25,1925,23.1874395
26,1926,23.5184295
27,1927,23.859786500000002
28,1928,24.20218
29,1929,24.549044
30,1930,24.904125999999998
31,1931,25.2325225
32,1932,25.6233775
33,1933,26.0336125
34,1934,26.434752500000002
35,1935,26.8360915
36,1936,27.306616499999997
37,1937,27.77283
38,1938,28.259644
39,1939,28.826881999999998
40,1940,29.402922
41,1941,30.0380415
42,1942,30.7302835
43,1943,31.3864605
44,1944,32.124243
45,1945,32.882527
46,1946,33.7177955
47,1947,34.606322
48,1948,35.575323
49,1949,36.592008
50,1950,37.794371500000004
51,1951,39.042533500000005
52,1952,40.414598999999995
53,1953,41.858316
54,1954,43.3773015
55,1955,44.991078
56,1956,46.766575
57,1957,48.689476
58,1958,50.638504000000005
59,1959,52.719986
60,1960,54.9326705
61,1961,57.2673185
62,1962,59.7579935
63,1963,62.407433499999996
64,1964,65.2972175
65,1965,68.341133
66,1966,71.6439275
67,1967,75.010862
68,1968,78.684847
69,1969,82.41302999999999
70,1970,86.53959750000001
71,1971,90.64170299999999
72,1972,95.3749765
73,1973,100.16497899999999
74,1974,105.1618185
75,1975,109.88235399999999
76,1976,114.2427155
77,1977,118.632049
78,1978,123.0484235
79,1979,127.74558
80,1980,132.2872745
81,1981,136.456601
82,1982,140.217453
83,1983,143.790051
84,1984,147.502654
85,1985,151.251202
86,1986,155.227149
87,1987,159.307064
88,1988,163.61637599999997
89,1989,168.056581
90,1990,172.498496
91,1991,177.515198
92,1992,182.732657
93,1993,188.130712
94,1994,193.630458
95,1995,199.505449
96,1996,205.588412
97,1997,211.683173
98,1998,218.05395099999998
99,1999,224.558202
100,2000,231.140328
101,2001,237.738162
102,2002,244.160866
103,2003,250.699836
104,2004,257.278958
105,2005,264.216506
106,2006,271.431598
107,2007,278.851524
108,2008,286.347514
109,2009,293.674206
110,2010,301.178644
