,year,sand_gravel_recycling_pg/yr
0,1900,0.21740286718750002
1,1901,0.219877578125
2,1902,0.2234488984375
3,1903,0.22650115625
4,1904,0.230653328125
5,1905,0.2328781640625
6,1906,0.2383074609375
7,1907,0.2408843203125
8,1908,0.2427507421875
9,1909,0.2484994765625
10,1910,0.250944921875
11,1911,0.254364546875
12,1912,0.25890821875000003
13,1913,0.260044171875
14,1914,0.2651769453125
15,1915,0.26971590624999997
16,1916,0.27281157031250003
17,1917,0.2749317890625
18,1918,0.27872272656249997
19,1919,0.28283815625
20,1920,0.286107734375
21,1921,0.288285140625
22,1922,0.288964859375
23,1923,0.29066873437499996
24,1924,0.29349589062500003
25,1925,0.29465506249999995
26,1926,0.297221765625
27,1927,0.297517
28,1928,0.29903015624999996
29,1929,0.29983253125
30,1930,0.300906390625
31,1931,0.3053046875
32,1932,0.308070328125
33,1933,0.31073009375
34,1934,0.311881609375
35,1935,0.3136173125
36,1936,0.31603635937499996
37,1937,0.31671829687499997
38,1938,0.320229265625
39,1939,0.320464640625
40,1940,0.325048375
41,1941,0.3272963125
42,1942,0.329014640625
43,1943,0.33211864062499996
44,1944,0.33347978125
45,1945,0.33331374999999996
46,1946,0.33779025
47,1947,0.3375151875
48,1948,0.34215828125000003
49,1949,0.34310296875
50,1950,0.342565328125
51,1951,0.3456613125
52,1952,0.350470015625
53,1953,0.3528255625
54,1954,0.356047
55,1955,0.35767264062500004
56,1956,0.361240609375
57,1957,0.365396859375
58,1958,0.36769534375
59,1959,0.37396232812499997
60,1960,0.3758685
61,1961,0.38144942187499997
62,1962,0.38863196875
63,1963,0.39507321875
64,1964,0.39762015625
65,1965,0.404918375
66,1966,0.410794109375
67,1967,0.41684673437499997
68,1968,0.4266919375
69,1969,0.435955546875
70,1970,0.44082129687500005
71,1971,0.46004875
72,1972,0.47778978125
73,1973,0.502370203125
74,1974,0.5306039375
75,1975,0.551166
76,1976,0.577020171875
77,1977,0.6116415625
78,1978,0.634962421875
79,1979,0.672102796875
80,1980,0.7132845
81,1981,0.75410821875
82,1982,0.80458215625
83,1983,0.8496755625
84,1984,0.89941140625
85,1985,0.9575602812499999
86,1986,1.0117785625
87,1987,1.0685121875
88,1988,1.1365072812500001
89,1989,1.2106975625
90,1990,1.274519875
91,1991,1.3516139374999998
92,1992,1.4312986250000002
93,1993,1.5122423125
94,1994,1.6030332500000002
95,1995,1.6914997500000002
96,1996,1.8441431875
97,1997,1.9411619375
98,1998,2.043962
99,1999,2.1597591874999997
100,2000,2.272097
101,2001,2.360017375
102,2002,2.46046625
103,2003,2.562777
104,2004,2.6952142500000003
105,2005,2.812952125
106,2006,2.9351305
107,2007,3.072545125
108,2008,3.22485675
109,2009,3.3809672500000003
110,2010,3.547191625
