,year,Solidwood_stock_pg
0,1900,4.03075625
1,1901,4.05158025
2,1902,4.07354675
3,1903,4.09655725
4,1904,4.1203865
5,1905,4.14495875
6,1906,4.17078775
7,1907,4.1972285
8,1908,4.2247125
9,1909,4.252833
10,1910,4.282411
11,1911,4.3118615
12,1912,4.3430655
13,1913,4.374791
14,1914,4.408068
15,1915,4.441814
16,1916,4.4767145
17,1917,4.5130105
18,1918,4.550471
19,1919,4.5891725
20,1920,4.629305
21,1921,4.670586
22,1922,4.713635
23,1923,4.7570865
24,1924,4.8018855
25,1925,4.846994
26,1926,4.894055
27,1927,4.941957
28,1928,4.9907825
29,1929,5.040007
30,1930,5.090173
31,1931,5.140988
32,1932,5.1918715
33,1933,5.24318
34,1934,5.295092
35,1935,5.347479
36,1936,5.3998195
37,1937,5.452973
38,1938,5.505789
39,1939,5.5589715
40,1940,5.612835
41,1941,5.666866
42,1942,5.722068
43,1943,5.7757385
44,1944,5.8302075
45,1945,5.8852155
46,1946,5.940348
47,1947,5.9947965
48,1948,6.049699
49,1949,6.1040055
50,1950,6.1580735
51,1951,6.213367
52,1952,6.270249
53,1953,6.328906
54,1954,6.388118
55,1955,6.4486985
56,1956,6.510895
57,1957,6.5747295
58,1958,6.639566
59,1959,6.7067445
60,1960,6.7746675
61,1961,6.844401
62,1962,6.9152545
63,1963,6.996352
64,1964,7.089618
65,1965,7.2056405
66,1966,7.3280435
67,1967,7.450724
68,1968,7.585259
69,1969,7.7209375
70,1970,7.8596685
71,1971,8.009136
72,1972,8.1629895
73,1973,8.327303
74,1974,8.475615
75,1975,8.610804
76,1976,8.764707
77,1977,8.925355
78,1978,9.088684
79,1979,9.249838
80,1980,9.401751
81,1981,9.541467
82,1982,9.673457
83,1983,9.819284
84,1984,9.970471
85,1985,10.127277
86,1986,10.293239
87,1987,10.466864
88,1988,10.639713
89,1989,10.81317
90,1990,10.967941
91,1991,11.087048
92,1992,11.174267
93,1993,11.251162
94,1994,11.318778
95,1995,11.385228
96,1996,11.442554
97,1997,11.524994
98,1998,11.569525
99,1999,11.628566
100,2000,11.691743
101,2001,11.745209
102,2002,11.80806
103,2003,11.899908
104,2004,12.006914
105,2005,12.123778
106,2006,12.250946
107,2007,12.382049
108,2008,12.476871
109,2009,12.545815
110,2010,12.64659
