,year,Concrete_stock_pg
0,1900,2.30554875
1,1901,2.366511
2,1902,2.43956925
3,1903,2.5253925
4,1904,2.62248725
5,1905,2.730698
6,1906,2.8505005
7,1907,2.98161725
8,1908,3.122841
9,1909,3.2744135
10,1910,3.4372285
11,1911,3.610379
12,1912,3.79312125
13,1913,3.986007
14,1914,4.15067825
15,1915,4.288657
16,1916,4.3999615
17,1917,4.4856915
18,1918,4.545895
19,1919,4.5817195
20,1920,4.6639815
21,1921,4.7416115
22,1922,4.895784
23,1923,5.0505385
24,1924,5.265524
25,1925,5.5388735
26,1926,5.847199
27,1927,6.184096
28,1928,6.5460165
29,1929,6.9172575
30,1930,7.265046
31,1931,7.5369895
32,1932,7.7164545
33,1933,7.8849625
34,1934,8.1189405
35,1935,8.394746
36,1936,8.649177
37,1937,9.033226
38,1938,9.429104
39,1939,9.864875
40,1940,10.210661
41,1941,10.595641
42,1942,10.923627
43,1943,11.182047
44,1944,11.325648
45,1945,11.43029
46,1946,11.687881
47,1947,12.027086
48,1948,12.472174
49,1949,12.993653
50,1950,13.625688
51,1951,14.351006
52,1952,15.146216
53,1953,16.036811
54,1954,17.021978
55,1955,18.141216
56,1956,19.35345
57,1957,20.624258
58,1958,21.969798
59,1959,23.50649
60,1960,25.159466
61,1961,26.889748
62,1962,28.755084
63,1963,30.71524
64,1964,32.87896
65,1965,35.122624
66,1966,37.534312
67,1967,40.000924
68,1968,42.665776
69,1969,45.449644
70,1970,48.387956
71,1971,51.372728
72,1972,54.786136
73,1973,58.409284
74,1974,61.9654
75,1975,65.446868
76,1976,69.074088
77,1977,73.049536
78,1978,77.327336
79,1979,81.667928
80,1980,85.980088
81,1981,90.212856
82,1982,94.37672
83,1983,98.677368
84,1984,103.048464
85,1985,107.481576
86,1986,112.147232
87,1987,117.031408
88,1988,122.299792
89,1989,126.929
90,1990,131.482456
91,1991,136.905376
92,1992,141.837856
93,1993,147.7988
94,1994,154.17104
95,1995,160.984272
96,1996,167.967152
97,1997,175.155392
98,1998,182.170672
99,1999,189.4624
100,2000,196.990976
101,2001,204.987152
102,2002,213.525984
103,2003,223.054368
104,2004,233.518352
105,2005,244.857424
106,2006,257.782208
107,2007,271.751616
108,2008,285.815808
109,2009,300.970752
110,2010,315.843904
