,year,Bricks_stock_pg
0,1900,11.23299
1,1901,11.332609
2,1902,11.433221
3,1903,11.53709
4,1904,11.642406
5,1905,11.750034
6,1906,11.858735
7,1907,11.971774
8,1908,12.089088
9,1909,12.203698
10,1910,12.320785
11,1911,12.440916
12,1912,12.563233
13,1913,12.68667
14,1914,12.810584
15,1915,12.932639
16,1916,13.056833
17,1917,13.179217
18,1918,13.296363
19,1919,13.413843
20,1920,13.529438
21,1921,13.647981
22,1922,13.76577
23,1923,13.887205
24,1924,14.010595
25,1925,14.135485
26,1926,14.267578
27,1927,14.40705
28,1928,14.542093
29,1929,14.680705
30,1930,14.822471
31,1931,14.964
32,1932,15.097446
33,1933,15.236852
34,1934,15.367874
35,1935,15.505051
36,1936,15.636374
37,1937,15.77218
38,1938,15.903912
39,1939,16.037588
40,1940,16.164743
41,1941,16.29303
42,1942,16.424314
43,1943,16.547446
44,1944,16.671548
45,1945,16.787492
46,1946,16.893612
47,1947,16.997564
48,1948,17.107224
49,1949,17.225518
50,1950,17.342148
51,1951,17.462012
52,1952,17.584986
53,1953,17.709048
54,1954,17.83678
55,1955,17.973768
56,1956,18.110762
57,1957,18.25493
58,1958,18.40455
59,1959,18.55727
60,1960,18.713722
61,1961,18.889898
62,1962,19.087332
63,1963,19.310754
64,1964,19.549148
65,1965,19.820162
66,1966,20.11079
67,1967,20.431766
68,1968,20.777894
69,1969,21.152254
70,1970,21.552634
71,1971,22.013254
72,1972,22.542626
73,1973,23.083162
74,1974,23.637196
75,1975,24.254216
76,1976,24.980166
77,1977,25.674622
78,1978,26.374018
79,1979,27.02587
80,1980,27.730714
81,1981,28.440448
82,1982,29.3137
83,1983,30.255486
84,1984,31.370584
85,1985,32.531628
86,1986,33.70196
87,1987,35.002096
88,1988,36.488488
89,1989,37.971348
90,1990,39.566672
91,1991,40.861516
92,1992,42.303152
93,1993,43.904992
94,1994,45.60712
95,1995,48.2702
96,1996,50.7882
97,1997,53.068492
98,1998,55.73702
99,1999,58.290612
100,2000,60.770472
101,2001,62.93892
102,2002,64.795356
103,2003,66.70848
104,2004,68.340808
105,2005,69.945824
106,2006,71.522856
107,2007,73.07496
108,2008,74.59208
109,2009,76.157384
110,2010,77.645816
