,year,Concrete_net_pg/yr
0,1901,0.06096225000000022
1,1902,0.07305824999999988
2,1903,0.08582325000000024
3,1904,0.09709474999999967
4,1905,0.10821075000000002
5,1906,0.11980250000000003
6,1907,0.13111675000000034
7,1908,0.14122374999999998
8,1909,0.1515724999999999
9,1910,0.1628149999999997
10,1911,0.1731505000000002
11,1912,0.18274225
12,1913,0.19288574999999986
13,1914,0.1646712500000005
14,1915,0.13797874999999937
15,1916,0.11130450000000014
16,1917,0.08572999999999986
17,1918,0.060203500000000076
18,1919,0.03582450000000037
19,1920,0.08226200000000006
20,1921,0.07763000000000009
21,1922,0.1541724999999996
22,1923,0.15475450000000013
23,1924,0.21498550000000005
24,1925,0.27334950000000013
25,1926,0.3083254999999996
26,1927,0.33689700000000045
27,1928,0.3619205000000001
28,1929,0.3712409999999995
29,1930,0.34778850000000006
30,1931,0.2719434999999999
31,1932,0.17946500000000043
32,1933,0.1685080000000001
33,1934,0.23397800000000046
34,1935,0.2758054999999988
35,1936,0.2544310000000003
36,1937,0.384049000000001
37,1938,0.39587799999999973
38,1939,0.435770999999999
39,1940,0.34578600000000037
40,1941,0.38498000000000054
41,1942,0.3279859999999992
42,1943,0.258420000000001
43,1944,0.14360099999999854
44,1945,0.10464200000000012
45,1946,0.25759100000000146
46,1947,0.33920499999999976
47,1948,0.44508800000000015
48,1949,0.5214789999999994
49,1950,0.6320350000000001
50,1951,0.7253179999999997
51,1952,0.7952100000000009
52,1953,0.8905949999999994
53,1954,0.9851670000000006
54,1955,1.1192379999999993
55,1956,1.2122339999999987
56,1957,1.2708080000000024
57,1958,1.3455399999999997
58,1959,1.5366919999999986
59,1960,1.652975999999999
60,1961,1.7302820000000025
61,1962,1.8653359999999992
62,1963,1.9601560000000013
63,1964,2.163719999999998
64,1965,2.2436640000000025
65,1966,2.411687999999998
66,1967,2.466611999999998
67,1968,2.6648520000000033
68,1969,2.7838679999999982
69,1970,2.9383120000000034
70,1971,2.9847719999999995
71,1972,3.413407999999997
72,1973,3.6231480000000005
73,1974,3.556116000000003
74,1975,3.4814679999999925
75,1976,3.6272200000000083
76,1977,3.975448
77,1978,4.277799999999999
78,1979,4.340592000000001
79,1980,4.3121599999999916
80,1981,4.232768000000007
81,1982,4.163864000000004
82,1983,4.300647999999995
83,1984,4.371095999999994
84,1985,4.433112000000008
85,1986,4.6656559999999985
86,1987,4.8841759999999965
87,1988,5.2683839999999975
88,1989,4.6292080000000055
89,1990,4.553456000000011
90,1991,5.422919999999976
91,1992,4.932479999999998
92,1993,5.960944000000012
93,1994,6.372240000000005
94,1995,6.813231999999999
95,1996,6.982879999999994
96,1997,7.1882400000000075
97,1998,7.01527999999999
98,1999,7.291728000000006
99,2000,7.528575999999987
100,2001,7.99617600000002
101,2002,8.538831999999985
102,2003,9.528384000000017
103,2004,10.463983999999982
104,2005,11.339072000000016
105,2006,12.924784000000017
106,2007,13.969407999999987
107,2008,14.064191999999991
108,2009,15.154944
109,2010,14.873152000000005
