Year,Reported value,Value
1959,mean,3.2
1960,mean,1.98
1961,mean,3.01
1962,mean,2.01
1963,mean,2.15
1964,mean,1.74
1965,mean,2.6
1966,mean,1.76
1967,mean,1.74
1968,mean,1.35
1969,mean,3.11
1970,mean,3.64
1971,mean,1.5
1972,mean,2.24
1973,mean,2.17
1974,mean,1.12
1975,mean,1.58
1976,mean,1.39
1977,mean,2.16
1978,mean,1.53
1979,mean,2.27
1980,mean,3.0
1981,mean,1.61
1982,mean,1.95
1983,mean,3.08
1984,mean,1.48
1985,mean,1.56
1986,mean,1.73
1987,mean,3.13
1988,mean,2.0
1989,mean,1.46
1990,mean,1.84
1991,mean,1.86
1992,mean,1.77
1993,mean,1.55
1994,mean,2.27
1995,mean,2.13
1996,mean,1.59
1997,mean,1.61
1998,mean,2.2
1999,mean,1.47
2000,mean,1.46
2001,mean,1.95
2002,mean,2.68
2003,mean,1.99
2004,mean,1.65
2005,mean,2.33
2006,mean,1.83
2007,mean,1.9
2008,mean,1.74
2009,mean,2.0
2010,mean,1.92
2011,mean,1.63
2012,mean,2.18
2013,mean,1.91
2014,mean,1.79
2015,mean,2.34
2016,mean,2.08
2017,mean,1.84
2018,mean,1.88
1959,standard deviation,3.04
1960,standard deviation,1.3
1961,standard deviation,2.78
1962,standard deviation,1.35
1963,standard deviation,1.48
1964,standard deviation,1.0
1965,standard deviation,1.99
1966,standard deviation,0.98
1967,standard deviation,0.95
1968,standard deviation,0.6
1969,standard deviation,2.42
1970,standard deviation,3.07
1971,standard deviation,0.62
1972,standard deviation,1.21
1973,standard deviation,1.11
1974,standard deviation,0.37
1975,standard deviation,0.65
1976,standard deviation,0.51
1977,standard deviation,1.05
1978,standard deviation,0.57
1979,standard deviation,1.1
1980,standard deviation,1.8
1981,standard deviation,0.62
1982,standard deviation,0.86
1983,standard deviation,1.91
1984,standard deviation,0.51
1985,standard deviation,0.55
1986,standard deviation,0.64
1987,standard deviation,1.77
1988,standard deviation,0.77
1989,standard deviation,0.45
1990,standard deviation,0.65
1991,standard deviation,0.66
1992,standard deviation,0.62
1993,standard deviation,0.49
1994,standard deviation,0.94
1995,standard deviation,0.82
1996,standard deviation,0.49
1997,standard deviation,0.47
1998,standard deviation,0.86
1999,standard deviation,0.43
2000,standard deviation,0.4
2001,standard deviation,0.67
2002,standard deviation,1.11
2003,standard deviation,0.63
2004,standard deviation,0.45
2005,standard deviation,0.8
2006,standard deviation,0.51
2007,standard deviation,0.54
2008,standard deviation,0.45
2009,standard deviation,0.57
2010,standard deviation,0.52
2011,standard deviation,0.38
2012,standard deviation,0.62
2013,standard deviation,0.49
2014,standard deviation,0.43
2015,standard deviation,0.67
2016,standard deviation,0.55
2017,standard deviation,0.45
2018,standard deviation,0.46
