Year,Flux into atmosphere,Sink/source type,Reported value,Units,Value
1959,source,fossil fuel and industry,mean,Pg C yr-1,2.42
1960,source,fossil fuel and industry,mean,Pg C yr-1,2.55
1961,source,fossil fuel and industry,mean,Pg C yr-1,2.56
1962,source,fossil fuel and industry,mean,Pg C yr-1,2.65
1963,source,fossil fuel and industry,mean,Pg C yr-1,2.8
1964,source,fossil fuel and industry,mean,Pg C yr-1,2.94
1965,source,fossil fuel and industry,mean,Pg C yr-1,3.08
1966,source,fossil fuel and industry,mean,Pg C yr-1,3.22
1967,source,fossil fuel and industry,mean,Pg C yr-1,3.32
1968,source,fossil fuel and industry,mean,Pg C yr-1,3.51
1969,source,fossil fuel and industry,mean,Pg C yr-1,3.74
1970,source,fossil fuel and industry,mean,Pg C yr-1,4.05
1971,source,fossil fuel and industry,mean,Pg C yr-1,4.21
1972,source,fossil fuel and industry,mean,Pg C yr-1,4.41
1973,source,fossil fuel and industry,mean,Pg C yr-1,4.64
1974,source,fossil fuel and industry,mean,Pg C yr-1,4.62
1975,source,fossil fuel and industry,mean,Pg C yr-1,4.62
1976,source,fossil fuel and industry,mean,Pg C yr-1,4.86
1977,source,fossil fuel and industry,mean,Pg C yr-1,5.0
1978,source,fossil fuel and industry,mean,Pg C yr-1,5.18
1979,source,fossil fuel and industry,mean,Pg C yr-1,5.32
1980,source,fossil fuel and industry,mean,Pg C yr-1,5.29
1981,source,fossil fuel and industry,mean,Pg C yr-1,5.15
1982,source,fossil fuel and industry,mean,Pg C yr-1,5.11
1983,source,fossil fuel and industry,mean,Pg C yr-1,5.16
1984,source,fossil fuel and industry,mean,Pg C yr-1,5.31
1985,source,fossil fuel and industry,mean,Pg C yr-1,5.5
1986,source,fossil fuel and industry,mean,Pg C yr-1,5.58
1987,source,fossil fuel and industry,mean,Pg C yr-1,5.76
1988,source,fossil fuel and industry,mean,Pg C yr-1,5.98
1989,source,fossil fuel and industry,mean,Pg C yr-1,6.07
1990,source,fossil fuel and industry,mean,Pg C yr-1,6.2
1991,source,fossil fuel and industry,mean,Pg C yr-1,6.33
1992,source,fossil fuel and industry,mean,Pg C yr-1,6.13
1993,source,fossil fuel and industry,mean,Pg C yr-1,6.2
1994,source,fossil fuel and industry,mean,Pg C yr-1,6.24
1995,source,fossil fuel and industry,mean,Pg C yr-1,6.38
1996,source,fossil fuel and industry,mean,Pg C yr-1,6.58
1997,source,fossil fuel and industry,mean,Pg C yr-1,6.62
1998,source,fossil fuel and industry,mean,Pg C yr-1,6.59
1999,source,fossil fuel and industry,mean,Pg C yr-1,6.68
2000,source,fossil fuel and industry,mean,Pg C yr-1,6.86
2001,source,fossil fuel and industry,mean,Pg C yr-1,6.92
2002,source,fossil fuel and industry,mean,Pg C yr-1,7.07
2003,source,fossil fuel and industry,mean,Pg C yr-1,7.42
2004,source,fossil fuel and industry,mean,Pg C yr-1,7.76
2005,source,fossil fuel and industry,mean,Pg C yr-1,8.02
2006,source,fossil fuel and industry,mean,Pg C yr-1,8.29
2007,source,fossil fuel and industry,mean,Pg C yr-1,8.54
2008,source,fossil fuel and industry,mean,Pg C yr-1,8.73
2009,source,fossil fuel and industry,mean,Pg C yr-1,8.61
2010,source,fossil fuel and industry,mean,Pg C yr-1,9.05
2011,source,fossil fuel and industry,mean,Pg C yr-1,9.35
2012,source,fossil fuel and industry,mean,Pg C yr-1,9.5
2013,source,fossil fuel and industry,mean,Pg C yr-1,9.54
2014,source,fossil fuel and industry,mean,Pg C yr-1,9.61
2015,source,fossil fuel and industry,mean,Pg C yr-1,9.62
2016,source,fossil fuel and industry,mean,Pg C yr-1,9.66
2017,source,fossil fuel and industry,mean,Pg C yr-1,9.77
2018,source,fossil fuel and industry,mean,Pg C yr-1,9.98
1959,source,land-use change emissions,mean,Pg C yr-1,1.81
1960,source,land-use change emissions,mean,Pg C yr-1,1.65
1961,source,land-use change emissions,mean,Pg C yr-1,1.58
1962,source,land-use change emissions,mean,Pg C yr-1,1.53
1963,source,land-use change emissions,mean,Pg C yr-1,1.47
1964,source,land-use change emissions,mean,Pg C yr-1,1.41
1965,source,land-use change emissions,mean,Pg C yr-1,1.36
1966,source,land-use change emissions,mean,Pg C yr-1,1.32
1967,source,land-use change emissions,mean,Pg C yr-1,1.3
1968,source,land-use change emissions,mean,Pg C yr-1,1.29
1969,source,land-use change emissions,mean,Pg C yr-1,1.3
1970,source,land-use change emissions,mean,Pg C yr-1,1.27
1971,source,land-use change emissions,mean,Pg C yr-1,1.25
1972,source,land-use change emissions,mean,Pg C yr-1,1.22
1973,source,land-use change emissions,mean,Pg C yr-1,1.19
1974,source,land-use change emissions,mean,Pg C yr-1,1.16
1975,source,land-use change emissions,mean,Pg C yr-1,1.14
1976,source,land-use change emissions,mean,Pg C yr-1,1.12
1977,source,land-use change emissions,mean,Pg C yr-1,1.1
1978,source,land-use change emissions,mean,Pg C yr-1,1.07
1979,source,land-use change emissions,mean,Pg C yr-1,1.04
1980,source,land-use change emissions,mean,Pg C yr-1,1.08
1981,source,land-use change emissions,mean,Pg C yr-1,1.1
1982,source,land-use change emissions,mean,Pg C yr-1,1.12
1983,source,land-use change emissions,mean,Pg C yr-1,1.16
1984,source,land-use change emissions,mean,Pg C yr-1,1.2
1985,source,land-use change emissions,mean,Pg C yr-1,1.22
1986,source,land-use change emissions,mean,Pg C yr-1,1.25
1987,source,land-use change emissions,mean,Pg C yr-1,1.29
1988,source,land-use change emissions,mean,Pg C yr-1,1.31
1989,source,land-use change emissions,mean,Pg C yr-1,1.34
1990,source,land-use change emissions,mean,Pg C yr-1,1.31
1991,source,land-use change emissions,mean,Pg C yr-1,1.31
1992,source,land-use change emissions,mean,Pg C yr-1,1.32
1993,source,land-use change emissions,mean,Pg C yr-1,1.31
1994,source,land-use change emissions,mean,Pg C yr-1,1.31
1995,source,land-use change emissions,mean,Pg C yr-1,1.29
1996,source,land-use change emissions,mean,Pg C yr-1,1.27
1997,source,land-use change emissions,mean,Pg C yr-1,1.74
1998,source,land-use change emissions,mean,Pg C yr-1,1.19
1999,source,land-use change emissions,mean,Pg C yr-1,1.16
2000,source,land-use change emissions,mean,Pg C yr-1,1.34
2001,source,land-use change emissions,mean,Pg C yr-1,1.27
2002,source,land-use change emissions,mean,Pg C yr-1,1.46
2003,source,land-use change emissions,mean,Pg C yr-1,1.52
2004,source,land-use change emissions,mean,Pg C yr-1,1.48
2005,source,land-use change emissions,mean,Pg C yr-1,1.37
2006,source,land-use change emissions,mean,Pg C yr-1,1.42
2007,source,land-use change emissions,mean,Pg C yr-1,1.24
2008,source,land-use change emissions,mean,Pg C yr-1,1.3
2009,source,land-use change emissions,mean,Pg C yr-1,1.5
2010,source,land-use change emissions,mean,Pg C yr-1,1.38
2011,source,land-use change emissions,mean,Pg C yr-1,1.34
2012,source,land-use change emissions,mean,Pg C yr-1,1.47
2013,source,land-use change emissions,mean,Pg C yr-1,1.52
2014,source,land-use change emissions,mean,Pg C yr-1,1.66
2015,source,land-use change emissions,mean,Pg C yr-1,1.7
2016,source,land-use change emissions,mean,Pg C yr-1,1.54
2017,source,land-use change emissions,mean,Pg C yr-1,1.47
2018,source,land-use change emissions,mean,Pg C yr-1,1.51
1959,source,atmospheric growth,mean,Pg C yr-1,2.04
1960,source,atmospheric growth,mean,Pg C yr-1,1.51
1961,source,atmospheric growth,mean,Pg C yr-1,1.66
1962,source,atmospheric growth,mean,Pg C yr-1,1.19
1963,source,atmospheric growth,mean,Pg C yr-1,1.21
1964,source,atmospheric growth,mean,Pg C yr-1,1.04
1965,source,atmospheric growth,mean,Pg C yr-1,2.34
1966,source,atmospheric growth,mean,Pg C yr-1,2.34
1967,source,atmospheric growth,mean,Pg C yr-1,1.3
1968,source,atmospheric growth,mean,Pg C yr-1,2.11
1969,source,atmospheric growth,mean,Pg C yr-1,2.81
1970,source,atmospheric growth,mean,Pg C yr-1,2.41
1971,source,atmospheric growth,mean,Pg C yr-1,1.56
1972,source,atmospheric growth,mean,Pg C yr-1,3.13
