locality,element,item,year,value,units
Africa,Production,Nutrient nitrogen N (total),2018,7228875.64,tonnes
Northern America,Production,Nutrient nitrogen N (total),2018,15087436.39,tonnes
Carribean,Production,Nutrient nitrogen N (total),2018,681218.88,tonnes
Central America,Production,Nutrient nitrogen N (total),2018,254458.17,tonnes
South America,Production,Nutrient nitrogen N (total),2018,1850335.94,tonnes
Asia,Production,Nutrient nitrogen N (total),2018,69551378.82,tonnes
Europe,Production,Nutrient nitrogen N (total),2018,24434214.43,tonnes
Oceania,Production,Nutrient nitrogen N (total),2018,527400,tonnes
Africa,Agricultural Use,Nutrient nitrogen N (total),2018,4298893.98,tonnes
Northern America,Agricultural Use,Nutrient nitrogen N (total),2018,14413493.51,tonnes
Carribean,Agricultural Use,Nutrient nitrogen N (total),2018,154429.08,tonnes
Central America,Agricultural Use,Nutrient nitrogen N (total),2018,1836568.79,tonnes
South America,Agricultural Use,Nutrient nitrogen N (total),2018,8169349.01,tonnes
Asia,Agricultural Use,Nutrient nitrogen N (total),2018,63052987.43,tonnes
Europe,Agricultural Use,Nutrient nitrogen N (total),2018,14827326.31,tonnes
Oceania,Agricultural Use,Nutrient nitrogen N (total),2018,1904946.97,tonnes
