Country,Wetland area in 1700 (Mkm2),Wetland area in 2020 (Mkm2),Wetland loss (Mkm2),Percentage loss in country (%),Perc of global losses contributed by country (%)
United States,1.517,0.924,0.593,39.1,15.6
China,0.935,0.459,0.475,50.9,12.5
India,0.613,0.372,0.241,39.3,6.35
Indonesia,0.483,0.319,0.164,33.9,4.31
Pakistan,0.217,0.072,0.145,67.0,3.83
Malaysia,0.182,0.039,0.143,78.6,3.78
Russia,3.006,2.866,0.140,4.7,3.70
Germany,0.156,0.024,0.132,84.6,3.47
Canada,2.176,2.093,0.083,3.8,2.18
Finland,0.104,0.023,0.081,77.5,2.12
Italy,0.097,0.02,0.077,79.7,2.03
United Kingdom,0.099,0.022,0.077,77.4,2.02
Japan,0.093,0.027,0.066,71.1,1.75
Bangladesh,0.108,0.042,0.066,60.8,1.73
Vietnam,0.097,0.039,0.058,59.7,1.52
Brazil,0.786,0.732,0.053,6.8,1.41
Poland,0.082,0.031,0.051,62.5,1.35
Thailand,0.113,0.062,0.051,44.9,1.33
Hungary,0.054,0.008,0.046,85.8,1.21
Mexico,0.155,0.112,0.042,27.4,1.12
Turkey,0.097,0.056,0.042,42.9,1.10
Philippines,0.075,0.034,0.041,54.4,1.07
Ukraine,0.138,0.097,0.041,29.4,1.07
Czech Republic,0.045,0.006,0.039,86.6,1.02
Romania,0.06,0.021,0.039,65.2,1.02
Uzbekistan,0.074,0.037,0.037,49.7,0.97
France,0.059,0.023,0.036,61.1,0.96
Lithuania,0.040,0.006,0.034,84.8,0.90
Belarus,0.067,0.034,0.033,49.9,0.88
Egypt,0.063,0.031,0.032,51.0,0.85
Australia,0.772,0.742,0.03,3.9,0.79
Sweden,0.056,0.029,0.027,47.7,0.71
Ireland,0.027,0.002,0.024,90.8,0.64
Serbia,0.027,0.004,0.023,86.8,0.61
New Zealand,0.039,0.018,0.021,54.5,0.56
South Korea,0.022,0.002,0.020,90.9,0.54
Madagascar,0.058,0.038,0.020,35.0,0.53
Denmark,0.027,0.007,0.020,73.7,0.53
Myanmar,0.078,0.058,0.020,25.2,0.52
Mongolia,0.137,0.119,0.018,13.1,0.47
Latvia,0.025,0.007,0.018,72.2,0.47
Iraq,0.087,0.069,0.018,20.3,0.47
Yemen,0.028,0.012,0.016,58.5,0.43
Iran,0.093,0.077,0.016,17.0,0.42
Kazakhstan,0.575,0.56,0.015,2.6,0.40
Netherlands,0.018,0.004,0.014,76.5,0.37
Nigeria,0.100,0.087,0.013,13.0,0.34
Norway,0.035,0.024,0.011,32.4,0.30
Turkmenistan,0.049,0.039,0.011,21.5,0.28
Venezuela,0.139,0.129,0.01,6.9,0.25
Estonia,0.016,0.007,0.009,57.7,0.25
Sudan,0.156,0.148,0.008,5.4,0.22
Slovakia,0.012,0.003,0.008,73.0,0.22
Croatia,0.011,0.002,0.008,77.8,0.22
Morocco,0.036,0.028,0.008,22.3,0.21
Azerbaijan,0.014,0.006,0.008,55.8,0.21
Angola,0.072,0.064,0.007,10.4,0.20
Colombia,0.154,0.147,0.007,4.8,0.20
Greece,0.013,0.006,0.007,52.7,0.19
Uganda,0.024,0.017,0.007,28.8,0.19
Cambodia,0.046,0.039,0.007,15.2,0.18
Argentina,0.318,0.312,0.006,2.0,0.17
Mali,0.084,0.078,0.006,7.4,0.16
Spain,0.025,0.020,0.006,22.3,0.15
Tanzania,0.069,0.064,0.006,8.0,0.15
Bulgaria,0.013,0.008,0.005,41.5,0.14
Ethiopia,0.073,0.068,0.005,7.4,0.14
Laos,0.013,0.008,0.005,39.0,0.14
Zambia,0.076,0.071,0.005,6.7,0.13
South Africa,0.050,0.046,0.004,8.7,0.11
Syria,0.032,0.028,0.004,13.0,0.11
D.R.  Congo,0.201,0.197,0.004,2.0,0.11
Peru,0.122,0.118,0.004,3.1,0.10
Afghanistan,0.025,0.022,0.004,14.6,0.10
Kyrgyzstan,0.015,0.011,0.004,24.3,0.09
