category,year,population,indiv_mass_kg,biomass_kg
cattle,1961,942175068.9999999,1000,942175068999.9999
cattle,1962,957172513.0000001,1000,957172513000.0001
cattle,1963,970382903.9999999,1000,970382903999.9999
cattle,1964,987575200.0,1000,987575200000.0
cattle,1965,1008908424.0,1000,1008908424000.0
cattle,1966,1027750976.9999999,1000,1027750976999.9999
cattle,1967,1049782778.0,1000,1049782778000.0
cattle,1968,1064668338.0000001,1000,1064668338000.0001
cattle,1969,1069887690.0,1000,1069887690000.0
cattle,1970,1081641464.0,1000,1081641464000.0
cattle,1971,1096646411.0,1000,1096646411000.0
cattle,1972,1119330011.0,1000,1119330011000.0
cattle,1973,1138722624.0,1000,1138722624000.0
cattle,1974,1166767928.9999998,1000,1166767928999.9998
cattle,1975,1187927592.0,1000,1187927592000.0
cattle,1976,1199671280.0,1000,1199671280000.0
cattle,1977,1204693621.0000002,1000,1204693621000.0002
cattle,1978,1206219455.0000002,1000,1206219455000.0002
cattle,1979,1211069690.0,1000,1211069690000.0
cattle,1980,1217018356.0,1000,1217018356000.0
cattle,1981,1228589591.0,1000,1228589591000.0
cattle,1982,1242283701.0,1000,1242283701000.0
cattle,1983,1249419026.0,1000,1249419026000.0
cattle,1984,1255289724.0,1000,1255289724000.0
cattle,1985,1260012902.0,1000,1260012902000.0
cattle,1986,1266650034.0,1000,1266650034000.0
cattle,1987,1266575758.0,1000,1266575758000.0
cattle,1988,1272139326.9999998,1000,1272139326999.9998
cattle,1989,1289183336.0,1000,1289183336000.0
cattle,1990,1296635892.0,1000,1296635892000.0
cattle,1991,1301634570.0,1000,1301634570000.0
cattle,1992,1309824146.0000002,1000,1309824146000.0002
cattle,1993,1310442335.9999998,1000,1310442335999.9998
cattle,1994,1321050350.9999998,1000,1321050350999.9998
cattle,1995,1330208243.0,1000,1330208243000.0
cattle,1996,1332865145.0,1000,1332865145000.0
cattle,1997,1312405246.0,1000,1312405246000.0
cattle,1998,1313257829.0,1000,1313257829000.0
cattle,1999,1316534349.0,1000,1316534349000.0
cattle,2000,1319996200.0,1000,1319996200000.0
cattle,2001,1320997767.0,1000,1320997767000.0
cattle,2002,1332974452.0,1000,1332974452000.0
cattle,2003,1346126810.0,1000,1346126810000.0
cattle,2004,1360275114.0,1000,1360275114000.0
cattle,2005,1375264878.9999998,1000,1375264878999.9998
