produced_mass_kg,category,approx_indiv_mass_kg,approx_res_time_yr,approx_standing_population,approx_standing_biomass_kg,year
2561000.0,shrimp & prawns,0.05,0.5,25610000.0,1280500.0,1958
536244000.0,shells,0.1,2.0,10724880000.0,1072488000.0,1958
354870000.0,other,3.0,1.0,118290000.0,354870000.0,1958
677012000.0,carp,3.0,0.7,157969466.66666666,473908400.0,1959
8629000.0,tilapia,2.0,0.7,3020150.0,6040300.0,1959
2511000.0,shrimp & prawns,0.05,0.5,25110000.0,1255500.0,1959
584030000.0,shells,0.1,2.0,11680600000.0,1168060000.0,1959
379361000.0,other,3.0,1.0,126453666.66666667,379361000.0,1959
605568000.0,carp,3.0,0.7,141299200.0,423897600.0,1960
7737000.0,tilapia,2.0,0.7,2707950.0,5415900.0,1960
2738000.0,shrimp & prawns,0.05,0.5,27380000.0,1369000.0,1960
647180000.0,shells,0.1,2.0,12943600000.0,1294360000.0,1960
392098000.0,other,3.0,1.0,130699333.33333333,392098000.0,1960
484747000.0,carp,3.0,0.7,113107633.33333333,339322900.0,1961
6523000.0,tilapia,2.0,0.7,2283050.0,4566100.0,1961
3011000.0,shrimp & prawns,0.05,0.5,30110000.0,1505500.0,1961
624245000.0,shells,0.1,2.0,12484900000.0,1248490000.0,1961
405871000.0,other,3.0,1.0,135290333.33333334,405871000.0,1961
446015000.0,carp,3.0,0.7,104070166.66666667,312210500.0,1962
6303000.0,tilapia,2.0,0.7,2206050.0,4412100.0,1962
3506000.0,shrimp & prawns,0.05,0.5,35060000.0,1753000.0,1962
705741000.0,shells,0.1,2.0,14114820000.0,1411482000.0,1962
417076000.0,other,3.0,1.0,139025333.33333334,417076000.0,1962
496306000.0,carp,3.0,0.7,115804733.33333333,347414200.0,1963
7193000.0,tilapia,2.0,0.7,2517550.0,5035100.0,1963
2356000.0,shrimp & prawns,0.05,0.5,23560000.0,1178000.0,1963
803479000.0,shells,0.1,2.0,16069580000.0,1606958000.0,1963
452368000.0,other,3.0,1.0,150789333.33333334,452368000.0,1963
547502000.0,carp,3.0,0.7,127750466.66666667,383251400.0,1964
8185000.0,tilapia,2.0,0.7,2864750.0,5729500.0,1964
2437000.0,shrimp & prawns,0.05,0.5,24370000.0,1218500.0,1964
791418000.0,shells,0.1,2.0,15828360000.0,1582836000.0,1964
497707000.0,other,3.0,1.0,165902333.33333334,497707000.0,1964
658046000.0,carp,3.0,0.7,153544066.66666666,460632200.0,1965
9179000.0,tilapia,2.0,0.7,3212650.0,6425300.0,1965
3355000.0,shrimp & prawns,0.05,0.5,33550000.0,1677500.0,1965
800707000.0,shells,0.1,2.0,16014140000.0,1601414000.0,1965
549367000.0,other,3.0,1.0,183122333.33333334,549367000.0,1965
681211000.0,carp,3.0,0.7,158949233.3333333,476847699.99999994,1966
9482000.0,tilapia,2.0,0.7,3318700.0,6637400.0,1966
3316000.0,shrimp & prawns,0.05,0.5,33160000.0,1658000.0,1966
809560000.0,shells,0.1,2.0,16191200000.0,1619120000.0,1966
580166000.0,other,3.0,1.0,193388666.66666666,580166000.0,1966
677012000.0,carp,3.0,0.7,157969466.66666666,473908400.0,1967
9527000.0,tilapia,2.0,0.7,3334450.0,6668900.0,1967
4712000.0,shrimp & prawns,0.05,0.5,47120000.0,2356000.0,1967
839672000.0,shells,0.1,2.0,16793440000.0,1679344000.0,1967
613263000.0,other,3.0,1.0,204421000.0,613263000.0,1967
669288000.0,carp,3.0,0.7,156167200.0,468501600.0,1968
10064000.0,tilapia,2.0,0.7,3522400.0,7044800.0,1968
5185000.0,shrimp & prawns,0.05,0.5,51850000.0,2592500.0,1968
925254000.0,shells,0.1,2.0,18505080000.0,1850508000.0,1968
672115000.0,other,3.0,1.0,224038333.33333334,672115000.0,1968
729379000.0,carp,3.0,0.7,170188433.3333333,510565299.99999994,1969
11437000.0,tilapia,2.0,0.7,4002949.9999999995,8005899.999999999,1969
8473000.0,shrimp & prawns,0.05,0.5,84730000.0,4236500.0,1969
916328000.0,shells,0.1,2.0,18326560000.0,1832656000.0,1969
695626000.0,other,3.0,1.0,231875333.33333334,695626000.0,1969
774902000.0,carp,3.0,0.7,180810466.66666666,542431400.0,1970
13244000.0,tilapia,2.0,0.7,4635400.0,9270800.0,1970
8925000.0,shrimp & prawns,0.05,0.5,89250000.0,4462500.0,1970
980950000.0,shells,0.1,2.0,19619000000.0,1961900000.0,1970
788921000.0,other,3.0,1.0,262973666.66666666,788921000.0,1970
821267000.0,carp,3.0,0.7,191628966.66666666,574886900.0,1971
15613000.0,tilapia,2.0,0.7,5464550.0,10929100.0,1971
11393000.0,shrimp & prawns,0.05,0.5,113930000.0,5696500.0,1971
1042399000.0,shells,0.1,2.0,20847980000.0,2084798000.0,1971
848026000.0,other,3.0,1.0,282675333.3333333,848026000.0,1971
864738000.0,carp,3.0,0.7,201772200.0,605316600.0,1972
17785000.0,tilapia,2.0,0.7,6224750.0,12449500.0,1972
14267000.0,shrimp & prawns,0.05,0.5,142670000.0,7133500.0,1972
1171913000.0,shells,0.1,2.0,23438260000.0,2343826000.0,1972
885490000.0,other,3.0,1.0,295163333.3333333,885490000.0,1972
922700000.0,carp,3.0,0.7,215296666.66666666,645890000.0,1973
24118000.0,tilapia,2.0,0.7,8441300.0,16882600.0,1973
17391000.0,shrimp & prawns,0.05,0.5,173910000.0,8695500.0,1973
1158230000.0,shells,0.1,2.0,23164600000.0,2316460000.0,1973
958406000.0,other,3.0,1.0,319468666.6666667,958406000.0,1973
985098000.0,carp,3.0,0.7,229856200.0,689568600.0,1974
25755000.0,tilapia,2.0,0.7,9014250.0,18028500.0,1974
20633000.0,shrimp & prawns,0.05,0.5,206330000.0,10316500.0,1974
1173721000.0,shells,0.1,2.0,23474420000.0,2347442000.0,1974
1052612000.0,other,3.0,1.0,350870666.6666667,1052612000.0,1974
1067496000.0,carp,3.0,0.7,249082400.0,747247200.0,1975
23976000.0,tilapia,2.0,0.7,8391600.0,16783200.0,1975
22482000.0,shrimp & prawns,0.05,0.5,224820000.0,11241000.0,1975
1404326000.0,shells,0.1,2.0,28086520000.0,2808652000.0,1975
1098880000.0,other,3.0,1.0,366293333.3333333,1098880000.0,1975
1053733000.0,carp,3.0,0.7,245871033.33333334,737613100.0,1976
28451000.0,tilapia,2.0,0.7,9957850.0,19915700.0,1976
31280000.0,shrimp & prawns,0.05,0.5,312800000.0,15640000.0,1976
1438170000.0,shells,0.1,2.0,28763400000.0,2876340000.0,1976
1177969000.0,other,3.0,1.0,392656333.3333333,1177969000.0,1976
1104543000.0,carp,3.0,0.7,257726700.0,773180100.0,1977
37588000.0,tilapia,2.0,0.7,13155800.0,26311600.0,1977
44249000.0,shrimp & prawns,0.05,0.5,442490000.0,22124500.0,1977
1645049000.0,shells,0.1,2.0,32900980000.0,3290098000.0,1977
1290706000.0,other,3.0,1.0,430235333.3333333,1290706000.0,1977
1102764000.0,carp,3.0,0.7,257311600.0,771934800.0,1978
48198000.0,tilapia,2.0,0.7,16869300.0,33738600.0,1978
54302000.0,shrimp & prawns,0.05,0.5,543020000.0,27151000.0,1978
1608624000.0,shells,0.1,2.0,32172480000.0,3217248000.0,1978
1390605000.0,other,3.0,1.0,463535000.0,1390605000.0,1978
1174782000.0,carp,3.0,0.7,274115800.0,822347400.0,1979
52082000.0,tilapia,2.0,0.7,18228700.0,36457400.0,1979
63994000.0,shrimp & prawns,0.05,0.5,639940000.0,31997000.0,1979
1532490000.0,shells,0.1,2.0,30649800000.0,3064980000.0,1979
1518090000.0,other,3.0,1.0,506030000.0,1518090000.0,1979
1279420000.0,carp,3.0,0.7,298531333.3333333,895594000.0,1980
55036000.0,tilapia,2.0,0.7,19262600.0,38525200.0,1980
74169000.0,shrimp & prawns,0.05,0.5,741690000.0,37084500.0,1980
1573326000.0,shells,0.1,2.0,31466520000.0,3146652000.0,1980
1724060000.0,other,3.0,1.0,574686666.6666666,1724060000.0,1980
1449410000.0,carp,3.0,0.7,338195666.6666666,1014586999.9999999,1981
60883000.0,tilapia,2.0,0.7,21309050.0,42618100.0,1981
91521000.0,shrimp & prawns,0.05,0.5,915210000.0,45760500.0,1981
1704467000.0,shells,0.1,2.0,34089340000.0,3408934000.0,1981
1936846000.0,other,3.0,1.0,645615333.3333334,1936846000.0,1981
1659294000.0,carp,3.0,0.7,387168600.0,1161505800.0,1982
64457000.0,tilapia,2.0,0.7,22559950.0,45119900.0,1982
117675000.0,shrimp & prawns,0.05,0.5,1176750000.0,58837500.0,1982
1740606000.0,shells,0.1,2.0,34812120000.0,3481212000.0,1982
2089658000.0,other,3.0,1.0,696552666.6666666,2089658000.0,1982
1892631000.0,carp,3.0,0.7,441613900.0,1324841700.0,1983
82728000.0,tilapia,2.0,0.7,28954800.0,57909600.0,1983
149515000.0,shrimp & prawns,0.05,0.5,1495150000.0,74757500.0,1983
1837990000.0,shells,0.1,2.0,36759800000.0,3675980000.0,1983
2260594000.0,other,3.0,1.0,753531333.3333334,2260594000.0,1983
2305001000.0,carp,3.0,0.7,537833566.6666666,1613500700.0,1984
95463000.0,tilapia,2.0,0.7,33412049.999999996,66824099.99999999,1984
183223000.0,shrimp & prawns,0.05,0.5,1832230000.0,91611500.0,1984
1911808000.0,shells,0.1,2.0,38236160000.0,3823616000.0,1984
2449089000.0,other,3.0,1.0,816363000.0,2449089000.0,1984
2867175000.0,carp,3.0,0.7,669007499.9999999,2007022499.9999995,1985
115585000.0,tilapia,2.0,0.7,40454750.0,80909500.0,1985
223483000.0,shrimp & prawns,0.05,0.5,2234830000.0,111741500.0,1985
2135237000.0,shells,0.1,2.0,42704740000.0,4270474000.0,1985
2680485000.0,other,3.0,1.0,893495000.0,2680485000.0,1985
3452961000.0,carp,3.0,0.7,805690900.0,2417072700.0,1986
132447000.0,tilapia,2.0,0.7,46356450.0,92712900.0,1986
333155000.0,shrimp & prawns,0.05,0.5,3331550000.0,166577500.0,1986
2284714000.0,shells,0.1,2.0,45694280000.0,4569428000.0,1986
2960735000.0,other,3.0,1.0,986911666.6666666,2960735000.0,1986
4002787000.0,carp,3.0,0.7,933983633.3333334,2801950900.0,1987
154948000.0,tilapia,2.0,0.7,54231800.0,108463600.0,1987
517592000.0,shrimp & prawns,0.05,0.5,5175920000.0,258796000.0,1987
2544877000.0,shells,0.1,2.0,50897540000.0,5089754000.0,1987
3345429000.0,other,3.0,1.0,1115143000.0,3345429000.0,1987
4370152000.0,carp,3.0,0.7,1019702133.3333334,3059106400.0,1988
170462000.0,tilapia,2.0,0.7,59661699.99999999,119323399.99999999,1988
602328000.0,shrimp & prawns,0.05,0.5,6023280000.0,301164000.0,1988
2801251000.0,shells,0.1,2.0,56025020000.0,5602502000.0,1988
3737672000.0,other,3.0,1.0,1245890666.6666667,3737672000.0,1988
4385013000.0,carp,3.0,0.7,1023169700.0,3069509100.0,1989
235085000.0,tilapia,2.0,0.7,82279750.0,164559500.0,1989
647942000.0,shrimp & prawns,0.05,0.5,6479420000.0,323971000.0,1989
2826644000.0,shells,0.1,2.0,56532880000.0,5653288000.0,1989
4224114000.0,other,3.0,1.0,1408038000.0,4224114000.0,1989
4683965000.0,carp,3.0,0.7,1092925166.6666667,3278775500.0,1990
280785000.0,tilapia,2.0,0.7,98274750.0,196549500.0,1990
710705000.0,shrimp & prawns,0.05,0.5,7107050000.0,355352500.0,1990
2900402000.0,shells,0.1,2.0,58008040000.0,5800804000.0,1990
4509176000.0,other,3.0,1.0,1503058666.6666667,4509176000.0,1990
4589872000.0,carp,3.0,0.7,1070970133.3333334,3212910400.0,1991
304715000.0,tilapia,2.0,0.7,106650250.0,213300500.0,1991
875368000.0,shrimp & prawns,0.05,0.5,8753680000.0,437684000.0,1991
3004699000.0,shells,0.1,2.0,60093980000.0,6009398000.0,1991
4951799000.0,other,3.0,1.0,1650599666.6666667,4951799000.0,1991
5267425000.0,carp,3.0,0.7,1229065833.3333333,3687197500.0,1992
383004000.0,tilapia,2.0,0.7,134051399.99999999,268102799.99999997,1992
930128000.0,shrimp & prawns,0.05,0.5,9301280000.0,465064000.0,1992
3535797000.0,shells,0.1,2.0,70715940000.0,7071594000.0,1992
5293524000.0,other,3.0,1.0,1764508000.0,5293524000.0,1992
6152928000.0,carp,3.0,0.7,1435683200.0,4307049600.0,1993
432024000.0,tilapia,2.0,0.7,151208400.0,302416800.0,1993
861888000.0,shrimp & prawns,0.05,0.5,8618880000.0,430944000.0,1993
4169090000.0,shells,0.1,2.0,83381800000.0,8338180000.0,1993
6183357000.0,other,3.0,1.0,2061119000.0,6183357000.0,1993
7219909000.0,carp,3.0,0.7,1684645433.3333333,5053936300.0,1994
482681000.0,tilapia,2.0,0.7,168938350.0,337876700.0,1994
914433000.0,shrimp & prawns,0.05,0.5,9144330000.0,457216500.0,1994
5061940000.0,shells,0.1,2.0,101238800000.0,10123880000.0,1994
7160992000.0,other,3.0,1.0,2386997333.3333335,7160992000.0,1994
8438117000.0,carp,3.0,0.7,1968893966.6666667,5906681900.0,1995
595561000.0,tilapia,2.0,0.7,208446350.0,416892700.0,1995
963463000.0,shrimp & prawns,0.05,0.5,9634630000.0,481731500.0,1995
5590771000.0,shells,0.1,2.0,111815420000.0,11181542000.0,1995
8794555000.0,other,3.0,1.0,2931518333.3333335,8794555000.0,1995
9627084000.0,carp,3.0,0.7,2246319600.0,6738958800.0,1996
702430000.0,tilapia,2.0,0.7,245850499.99999997,491700999.99999994,1996
979047000.0,shrimp & prawns,0.05,0.5,9790470000.0,489523500.0,1996
5607406000.0,shells,0.1,2.0,112148120000.0,11214812000.0,1996
9625292000.0,other,3.0,1.0,3208430666.6666665,9625292000.0,1996
9899775000.0,carp,3.0,0.7,2309947500.0,6929842500.0,1997
779162000.0,tilapia,2.0,0.7,272706700.0,545413400.0,1997
992784000.0,shrimp & prawns,0.05,0.5,9927840000.0,496392000.0,1997
5594182000.0,shells,0.1,2.0,111883640000.0,11188364000.0,1997
10055848000.0,other,3.0,1.0,3351949333.3333335,10055848000.0,1997
10111179000.0,carp,3.0,0.7,2359275100.0,7077825300.0,1998
793481000.0,tilapia,2.0,0.7,277718350.0,555436700.0,1998
1067708000.0,shrimp & prawns,0.05,0.5,10677080000.0,533854000.0,1998
6217882000.0,shells,0.1,2.0,124357640000.0,12435764000.0,1998
10222312000.0,other,3.0,1.0,3407437333.3333335,10222312000.0,1998
10540718000.0,carp,3.0,0.7,2459500866.6666665,7378502600.0,1999
902971000.0,tilapia,2.0,0.7,316039850.0,632079700.0,1999
1150763000.0,shrimp & prawns,0.05,0.5,11507630000.0,575381500.0,1999
6759765000.0,shells,0.1,2.0,135195300000.0,13519530000.0,1999
11376943000.0,other,3.0,1.0,3792314333.3333335,11376943000.0,1999
10742970000.0,carp,3.0,0.7,2506692999.9999995,7520078999.999998,2000
1054209000.0,tilapia,2.0,0.7,368973150.0,737946300.0,2000
1354287000.0,shrimp & prawns,0.05,0.5,13542870000.0,677143500.0,2000
6727364000.0,shells,0.1,2.0,134547280000.0,13454728000.0,2000
12538897000.0,other,3.0,1.0,4179632333.3333335,12538897000.0,2000
11517754000.0,carp,3.0,0.7,2687475933.333333,8062427799.999999,2001
1129965000.0,tilapia,2.0,0.7,395487750.0,790975500.0,2001
1568812000.0,shrimp & prawns,0.05,0.5,15688120000.0,784406000.0,2001
7337710000.0,shells,0.1,2.0,146754200000.0,14675420000.0,2001
13059540400.0,other,3.0,1.0,4353180133.333333,13059540400.0,2001
11565253000.0,carp,3.0,0.7,2698559033.333333,8095677099.999999,2002
1230628000.0,tilapia,2.0,0.7,430719800.0,861439600.0,2002
1721691060.0,shrimp & prawns,0.05,0.5,17216910600.0,860845530.0,2002
7871969000.0,shells,0.1,2.0,157439380000.0,15743938000.0,2002
14396702700.0,other,3.0,1.0,4798900900.0,14396702700.0,2002
12073225000.0,carp,3.0,0.7,2817085833.333333,8451257499.999999,2003
1397897000.0,tilapia,2.0,0.7,489263949.99999994,978527899.9999999,2003
2438368100.0,shrimp & prawns,0.05,0.5,24383681000.0,1219184050.0,2003
8379699000.0,shells,0.1,2.0,167593980000.0,16759398000.0,2003
14624029000.0,other,3.0,1.0,4874676333.333333,14624029000.0,2003
11889846000.0,carp,3.0,0.7,2774297399.9999995,8322892199.999998,2004
1577161400.0,tilapia,2.0,0.7,552006490.0,1104012980.0,2004
2764561500.0,shrimp & prawns,0.05,0.5,27645615000.0,1382280750.0,2004
8782334000.0,shells,0.1,2.0,175646680000.0,17564668000.0,2004
16895115400.000002,other,3.0,1.0,5631705133.333334,16895115400.000002,2004
12370635120.000002,carp,3.0,0.7,2886481528.0,8659444584.0,2005
1772543000.0,tilapia,2.0,0.7,620390050.0,1240780100.0,2005
3091214160.0,shrimp & prawns,0.05,0.5,30912141600.0,1545607080.0,2005
8881776000.0,shells,0.1,2.0,177635520000.0,17763552000.0,2005
18181857700.0,other,3.0,1.0,6060619233.333333,18181857700.0,2005
12610852680.0,carp,3.0,0.7,2942532292.0,8827596876.0,2006
2040221990.0,tilapia,2.0,0.7,714077696.5,1428155393.0,2006
3558102010.0,shrimp & prawns,0.05,0.5,35581020100.0,1779051005.0,2006
9231373500.0,shells,0.1,2.0,184627470000.0,18462747000.0,2006
19816277169.999996,other,3.0,1.0,6605425723.333332,19816277169.999996,2006
12923542930.0,carp,3.0,0.7,3015493350.3333335,9046480051.0,2007
2291491200.0,tilapia,2.0,0.7,802021920.0,1604043840.0,2007
3759488710.0,shrimp & prawns,0.05,0.5,37594887100.0,1879744355.0,2007
9526404250.0,shells,0.1,2.0,190528085000.0,19052808500.0,2007
21440109069.999996,other,3.0,1.0,7146703023.333332,21440109069.999996,2007
13736331400.0,carp,3.0,0.7,3205143993.3333335,9615431980.0,2008
2496724500.0,tilapia,2.0,0.7,873853575.0,1747707150.0,2008
3837452260.0,shrimp & prawns,0.05,0.5,38374522600.0,1918726130.0,2008
9306852520.0,shells,0.1,2.0,186137050400.0,18613705040.0,2008
23537642500.000004,other,3.0,1.0,7845880833.333335,23537642500.000004,2008
14607444160.0,carp,3.0,0.7,3408403637.3333335,10225210912.0,2009
2711459900.0000005,tilapia,2.0,0.7,949010965.0000001,1898021930.0000002,2009
3962530449.9999995,shrimp & prawns,0.05,0.5,39625304499.99999,1981265224.9999998,2009
9697360900.000002,shells,0.1,2.0,193947218000.00003,19394721800.000004,2009
24178176040.0,other,3.0,1.0,8059392013.333333,24178176040.0,2009
14842085900.0,carp,3.0,0.7,3463153376.6666665,10389460130.0,2010
3021774590.0000014,tilapia,2.0,0.7,1057621106.5000005,2115242213.000001,2010
4048201460.0,shrimp & prawns,0.05,0.5,40482014600.0,2024100730.0,2010
10151055739.999998,shells,0.1,2.0,203021114799.99994,20302111479.999996,2010
25680823689.999996,other,3.0,1.0,8560274563.333332,25680823689.999996,2010
15176346390.0,carp,3.0,0.7,3541147491.0,10623442473.0,2011
3305470349.9999995,tilapia,2.0,0.7,1156914622.4999998,2313829244.9999995,2011
4419995540.000001,shrimp & prawns,0.05,0.5,44199955400.00001,2209997770.0000005,2011
10064897020.000002,shells,0.1,2.0,201297940400.00003,20129794040.000004,2011
26822029569.999996,other,3.0,1.0,8940676523.333332,26822029569.999996,2011
15508303519.999998,carp,3.0,0.7,3618604154.666666,10855812463.999998,2012
3732566530.0000005,tilapia,2.0,0.7,1306398285.5,2612796571.0,2012
4534562479.999999,shrimp & prawns,0.05,0.5,45345624799.999985,2267281239.9999995,2012
10398910470.000002,shells,0.1,2.0,207978209400.00003,20797820940.000004,2012
29305791340.0,other,3.0,1.0,9768597113.333334,29305791340.0,2012
16559174290.000002,carp,3.0,0.7,3863807334.3333335,11591422003.0,2013
3908585950.0,tilapia,2.0,0.7,1368005082.5,2736010165.0,2013
4668341960.000001,shrimp & prawns,0.05,0.5,46683419600.00001,2334170980.0000005,2013
10663110669.999998,shells,0.1,2.0,213262213399.99994,21326221339.999996,2013
31152457530.0,other,3.0,1.0,10384152510.0,31152457530.0,2013
17514006720.000004,carp,3.0,0.7,4086601568.0000005,12259804704.000002,2014
4197703260.0,tilapia,2.0,0.7,1469196141.0,2938392282.0,2014
5023338349.999999,shrimp & prawns,0.05,0.5,50233383499.999985,2511669174.9999995,2014
11079153280.000002,shells,0.1,2.0,221583065600.00003,22158306560.000004,2014
32691720050.0,other,3.0,1.0,10897240016.666666,32691720050.0,2014
18246873740.0,carp,3.0,0.7,4257603872.6666665,12772811618.0,2015
4503004000.0,tilapia,2.0,0.7,1576051400.0,3152102800.0,2015
5290316060.000001,shrimp & prawns,0.05,0.5,52903160600.00001,2645158030.0000005,2015
11321829260.0,shells,0.1,2.0,226436585200.0,22643658520.0,2015
33409281900.000004,other,3.0,1.0,11136427300.000002,33409281900.000008,2015
18664784450.000004,carp,3.0,0.7,4355116371.666667,13065349115.0,2016
4606986689.999998,tilapia,2.0,0.7,1612445341.4999993,3224890682.9999986,2016
5637456540.000001,shrimp & prawns,0.05,0.5,56374565400.00001,2818728270.0000005,2016
12024766739.999998,shells,0.1,2.0,240495334799.99994,24049533479.999996,2016
35569749160.00001,other,3.0,1.0,11856583053.333336,35569749160.00001,2016
18582931780.0,carp,3.0,0.7,4336017415.333333,13008052246.0,2017
4945803300.000001,tilapia,2.0,0.7,1731031155.0000002,3462062310.0000005,2017
6279630149.999999,shrimp & prawns,0.05,0.5,62796301499.999985,3139815074.9999995,2017
12371520069.999996,shells,0.1,2.0,247430401399.9999,24743040139.999992,2017
37364990700.0,other,3.0,1.0,12454996900.0,37364990700.0,2017
19149063420.0,carp,3.0,0.7,4468114798.0,13404344394.0,2018
4994620060.000001,tilapia,2.0,0.7,1748117021.0000002,3496234042.0000005,2018
6516543109.999998,shrimp & prawns,0.05,0.5,65165431099.99998,3258271554.999999,2018
12605532520.000002,shells,0.1,2.0,252110650400.00003,25211065040.000004,2018
38829294650.0,other,3.0,1.0,12943098216.666666,38829294650.0,2018
