produced_mass_kg,category,approx_indiv_mass_kg,approx_res_time_yr,approx_standing_population,approx_standing_biomass_kg,year
153757000.0,carp,3.0,0.7,35876633.333333336,107629900.0,1950
1590000.0,tilapia,2.0,0.7,556500.0,1113000.0,1950
1180000.0,shrimp & prawns,0.05,0.5,11800000.0,590000.0,1950
271086000.0,shells,0.1,2.0,5421720000.0,542172000.0,1950
176208000.0,other,3.0,1.0,58736000.0,176208000.0,1950
197079000.0,carp,3.0,0.7,45985100.0,137955300.0,1951
2120000.0,tilapia,2.0,0.7,742000.0,1484000.0,1951
1400000.0,shrimp & prawns,0.05,0.5,14000000.0,700000.0,1951
338288000.0,shells,0.1,2.0,6765760000.0,676576000.0,1951
189907000.0,other,3.0,1.0,63302333.333333336,189907000.0,1951
216946000.0,carp,3.0,0.7,50620733.333333336,151862200.0,1952
2629000.0,tilapia,2.0,0.7,920149.9999999999,1840299.9999999998,1952
2670000.0,shrimp & prawns,0.05,0.5,26700000.0,1335000.0,1952
393379000.0,shells,0.1,2.0,7867580000.0,786758000.0,1952
206559000.0,other,3.0,1.0,68853000.0,206559000.0,1952
267254000.0,carp,3.0,0.7,62359266.666666664,187077800.0,1953
3312000.0,tilapia,2.0,0.7,1159200.0,2318400.0,1953
1058000.0,shrimp & prawns,0.05,0.5,10580000.0,529000.0,1953
463117000.0,shells,0.1,2.0,9262340000.0,926234000.0,1953
227549000.0,other,3.0,1.0,75849666.66666667,227549000.0,1953
370019000.0,carp,3.0,0.7,86337766.66666666,259013299.99999997,1954
4499000.0,tilapia,2.0,0.7,1574650.0,3149300.0,1954
1378000.0,shrimp & prawns,0.05,0.5,13780000.0,689000.0,1954
459796000.0,shells,0.1,2.0,9195920000.0,919592000.0,1954
254819000.0,other,3.0,1.0,84939666.66666667,254819000.0,1954
415408000.0,carp,3.0,0.7,96928533.33333333,290785600.0,1955
5140000.0,tilapia,2.0,0.7,1799000.0,3598000.0,1955
1923000.0,shrimp & prawns,0.05,0.5,19230000.0,961500.0,1955
514281000.0,shells,0.1,2.0,10285620000.0,1028562000.0,1955
280811000.0,other,3.0,1.0,93603666.66666667,280811000.0,1955
439389000.0,carp,3.0,0.7,102524100.0,307572300.0,1956
5381000.0,tilapia,2.0,0.7,1883349.9999999998,3766699.9999999995,1956
1710000.0,shrimp & prawns,0.05,0.5,17100000.0,855000.0,1956
466230000.0,shells,0.1,2.0,9324600000.0,932460000.0,1956
296624000.0,other,3.0,1.0,98874666.66666667,296624000.0,1956
650502000.0,carp,3.0,0.7,151783800.0,455351400.0,1957
7891000.0,tilapia,2.0,0.7,2761850.0,5523700.0,1957
1991000.0,shrimp & prawns,0.05,0.5,19910000.0,995500.0,1957
566349000.0,shells,0.1,2.0,11326980000.0,1132698000.0,1957
334039000.0,other,3.0,1.0,111346333.33333333,334039000.0,1957
617524000.0,carp,3.0,0.7,144088933.33333334,432266800.0,1958
8035000.0,tilapia,2.0,0.7,2812250.0,5624500.0,1958
