Year,Reported value,Units,Value
1979,Maximum,Millions of km2 (10^12 m2),1.14
1980,Maximum,Millions of km2 (10^12 m2),3.35
1981,Maximum,Millions of km2 (10^12 m2),3.15
1982,Maximum,Millions of km2 (10^12 m2),10.8
1983,Maximum,Millions of km2 (10^12 m2),11.68
1984,Maximum,Millions of km2 (10^12 m2),14.66
1985,Maximum,Millions of km2 (10^12 m2),18.79
1986,Maximum,Millions of km2 (10^12 m2),14.37
1987,Maximum,Millions of km2 (10^12 m2),22.45
1988,Maximum,Millions of km2 (10^12 m2),13.77
1989,Maximum,Millions of km2 (10^12 m2),21.74
1990,Maximum,Millions of km2 (10^12 m2),21.06
1991,Maximum,Millions of km2 (10^12 m2),22.61
1992,Maximum,Millions of km2 (10^12 m2),24.9
1993,Maximum,Millions of km2 (10^12 m2),25.81
1994,Maximum,Millions of km2 (10^12 m2),25.2
1996,Maximum,Millions of km2 (10^12 m2),26.92
1997,Maximum,Millions of km2 (10^12 m2),25.06
1998,Maximum,Millions of km2 (10^12 m2),27.91
1999,Maximum,Millions of km2 (10^12 m2),25.8
2000,Maximum,Millions of km2 (10^12 m2),29.86
2001,Maximum,Millions of km2 (10^12 m2),26.5
2002,Maximum,Millions of km2 (10^12 m2),21.87
2003,Maximum,Millions of km2 (10^12 m2),28.43
2004,Maximum,Millions of km2 (10^12 m2),22.81
2005,Maximum,Millions of km2 (10^12 m2),27.25
2006,Maximum,Millions of km2 (10^12 m2),29.62
2007,Maximum,Millions of km2 (10^12 m2),25.18
2008,Maximum,Millions of km2 (10^12 m2),26.96
2009,Maximum,Millions of km2 (10^12 m2),24.4
2010,Maximum,Millions of km2 (10^12 m2),22.59
2011,Maximum,Millions of km2 (10^12 m2),26.06
2012,Maximum,Millions of km2 (10^12 m2),21.11
2013,Maximum,Millions of km2 (10^12 m2),24.01
2014,Maximum,Millions of km2 (10^12 m2),24.05
2015,Maximum,Millions of km2 (10^12 m2),28.21
2016,Maximum,Millions of km2 (10^12 m2),22.79
2017,Maximum,Millions of km2 (10^12 m2),19.58
2018,Maximum,Millions of km2 (10^12 m2),24.8
2019,Maximum,Millions of km2 (10^12 m2),16.36
2020,Maximum,Millions of km2 (10^12 m2),24.8
1979,Minimum,Millions of km2 (10^12 m2),0.0
1980,Minimum,Millions of km2 (10^12 m2),0.0
1981,Minimum,Millions of km2 (10^12 m2),0.0
1982,Minimum,Millions of km2 (10^12 m2),0.11
1983,Minimum,Millions of km2 (10^12 m2),0.61
1984,Minimum,Millions of km2 (10^12 m2),2.81
1985,Minimum,Millions of km2 (10^12 m2),7.36
1986,Minimum,Millions of km2 (10^12 m2),3.38
1987,Minimum,Millions of km2 (10^12 m2),10.61
1988,Minimum,Millions of km2 (10^12 m2),6.88
1989,Minimum,Millions of km2 (10^12 m2),10.17
1990,Minimum,Millions of km2 (10^12 m2),16.64
1991,Minimum,Millions of km2 (10^12 m2),13.48
1992,Minimum,Millions of km2 (10^12 m2),17.52
1993,Minimum,Millions of km2 (10^12 m2),22.12
1994,Minimum,Millions of km2 (10^12 m2),22.03
1996,Minimum,Millions of km2 (10^12 m2),20.38
1997,Minimum,Millions of km2 (10^12 m2),19.91
1998,Minimum,Millions of km2 (10^12 m2),22.88
1999,Minimum,Millions of km2 (10^12 m2),20.88
2000,Minimum,Millions of km2 (10^12 m2),19.0
2001,Minimum,Millions of km2 (10^12 m2),23.02
2002,Minimum,Millions of km2 (10^12 m2),3.54
2003,Minimum,Millions of km2 (10^12 m2),19.02
2004,Minimum,Millions of km2 (10^12 m2),16.45
2005,Minimum,Millions of km2 (10^12 m2),19.76
2006,Minimum,Millions of km2 (10^12 m2),22.69
2007,Minimum,Millions of km2 (10^12 m2),18.38
2008,Minimum,Millions of km2 (10^12 m2),21.21
2009,Minimum,Millions of km2 (10^12 m2),17.27
2010,Minimum,Millions of km2 (10^12 m2),12.33
2011,Minimum,Millions of km2 (10^12 m2),22.14
2012,Minimum,Millions of km2 (10^12 m2),11.15
2013,Minimum,Millions of km2 (10^12 m2),15.37
2014,Minimum,Millions of km2 (10^12 m2),16.19
2015,Minimum,Millions of km2 (10^12 m2),18.96
2016,Minimum,Millions of km2 (10^12 m2),17.2
2017,Minimum,Millions of km2 (10^12 m2),15.78
2018,Minimum,Millions of km2 (10^12 m2),19.93
2019,Minimum,Millions of km2 (10^12 m2),6.16
2020,Minimum,Millions of km2 (10^12 m2),21.22
1979,Mean,Millions of km2 (10^12 m2),0.11
1980,Mean,Millions of km2 (10^12 m2),1.39
1981,Mean,Millions of km2 (10^12 m2),0.62
1982,Mean,Millions of km2 (10^12 m2),4.84
1983,Mean,Millions of km2 (10^12 m2),7.92
1984,Mean,Millions of km2 (10^12 m2),10.09
1985,Mean,Millions of km2 (10^12 m2),14.21
1986,Mean,Millions of km2 (10^12 m2),11.34
1987,Mean,Millions of km2 (10^12 m2),19.31
1988,Mean,Millions of km2 (10^12 m2),10.04
1989,Mean,Millions of km2 (10^12 m2),18.73
1990,Mean,Millions of km2 (10^12 m2),19.25
1991,Mean,Millions of km2 (10^12 m2),18.83
1992,Mean,Millions of km2 (10^12 m2),22.32
1993,Mean,Millions of km2 (10^12 m2),24.23
1994,Mean,Millions of km2 (10^12 m2),23.56
1996,Mean,Millions of km2 (10^12 m2),22.75
1997,Mean,Millions of km2 (10^12 m2),22.15
1998,Mean,Millions of km2 (10^12 m2),25.89
1999,Mean,Millions of km2 (10^12 m2),23.25
2000,Mean,Millions of km2 (10^12 m2),24.84
2001,Mean,Millions of km2 (10^12 m2),25.02
2002,Mean,Millions of km2 (10^12 m2),12.0
2003,Mean,Millions of km2 (10^12 m2),25.77
2004,Mean,Millions of km2 (10^12 m2),19.45
2005,Mean,Millions of km2 (10^12 m2),24.35
2006,Mean,Millions of km2 (10^12 m2),26.6
2007,Mean,Millions of km2 (10^12 m2),22.02
2008,Mean,Millions of km2 (10^12 m2),25.15
2009,Mean,Millions of km2 (10^12 m2),21.96
2010,Mean,Millions of km2 (10^12 m2),19.44
