year,stripping_ratio
1925,0.4293002915451895
1926,0.4778129952456418
1927,0.4548540393754243
1928,0.4675324675324675
1929,0.48360128617363346
1930,0.5021246458923514
1931,0.5206349206349206
1932,0.5523049645390071
1933,0.5856164383561645
1934,0.62109375
1935,0.6585919757759273
1936,0.6992376992376993
1937,0.741199478487614
1938,0.7858627858627859
1939,0.8323809523809523
1940,0.9122703023117963
1941,0.964467005076142
1942,1.0190582959641257
1943,1.0984427141268076
1944,1.1795020266357847
1945,1.2773234200743495
1946,1.3794277929155312
1947,1.4690533980582523
1948,1.561061946902655
1949,1.6741308190925164
1950,1.7715540911587042
1951,1.8711846870150026
1952,1.9963730569948188
1953,2.1244263131055585
1954,2.2333840690005076
1955,2.343955014058107
1956,2.4831560283687946
1957,2.599914420196834
1958,2.7179171791717915
1959,2.869047619047619
1960,3.0235562310030395
1961,3.18354175070593
1962,3.347450980392157
1963,3.5150829562594277
1964,3.6883399927351976
1965,3.864835948644793
1966,4.045502645502646
1967,4.216117216117216
1968,4.4222222222222225
1969,4.6165099268547545
1970,4.814877717391305
1971,4.958305084745763
1972,5.104242025649457
1973,5.313866231647634
1974,5.465078854200193
1975,5.618505994466647
1976,5.7414153478650345
1977,5.81965811965812
1978,5.891793142214727
1979,5.9645065877924175
1980,6.024172359432475
1981,6.116545265348595
1982,6.208958958958958
1983,6.3013937282229975
1984,6.3937603403450725
1985,6.4863105924596045
1986,6.578497919859864
1987,6.671021632041122
1988,6.717123144469998
1989,6.763412127440905
1990,6.855869242199108
1991,6.855806525211043
1992,7.1055666444888015
1993,7.3594459582198
1994,7.616917626217893
1995,7.829373650107992
1996,7.9623324111513085
1997,8.14687368862778
1998,8.418730986527597
1999,8.695350451075642
2000,8.974245939675175
2001,9.085597240189736
2002,9.106334371754931
2003,9.126679462571976
2004,9.143232358606198
2005,9.158286470393648
2006,9.077541371158393
2007,8.993000608642726
2008,8.903888481291268
2009,8.811359322528835
2010,8.71298755766811
2011,8.56562854621107
2012,8.415071332764297
2013,8.433017262338925
2014,8.414206981016534
2015,8.369974554707378
