year,flux_km3
1925,2
1926,2
1927,2
1928,2
1929,2
1930,2
1931,2
1932,2
1933,2
1934,2
1935,2
1936,3
1937,3
1938,3
1939,3
1940,3
1941,4
1942,3
1943,3
1944,3
1945,3
1946,3
1947,4
1948,4
1949,4
1950,5
1951,6
1952,6
1953,6
1954,7
1955,7
1956,8
1957,9
1958,9
1959,10
1960,11
1961,11
1962,12
1963,13
1964,14
1965,15
1966,16
1967,16
1968,17
1969,19
1970,20
1971,20
1972,22
1973,24
1974,24
1975,25
1976,27
1977,29
1978,30
1979,32
1980,33
1981,33
1982,34
1983,35
1984,37
1985,39
1986,41
1987,43
1988,45
1989,45
1990,45
1991,46
1992,46
1993,50
1994,53
1995,56
1996,58
1997,60
1998,62
1999,61
2000,64
2001,68
2002,72
2003,78
2004,86
2005,92
2006,100
2007,107
2008,110
2009,115
2010,123
2011,136
2012,142
2013,150
2014,153
2015,150
