,year,type,consumption_EJ_yr,consumption_TW
0,1991,Solar,0.01,0.000160178
1,1993,Solar,0.01,0.000176505
2,1994,Solar,0.01,0.000190239
3,1995,Solar,0.01,0.000203175
4,1996,Solar,0.01,0.000223592
5,1997,Solar,0.01,0.00023988099999999998
6,1998,Solar,0.01,0.000263725
7,1999,Solar,0.01,0.000290487
8,2000,Solar,0.01,0.00035517800000000005
9,2001,Solar,0.01,0.00044125699999999997
10,2002,Solar,0.02,0.000552042
11,2003,Solar,0.02,0.000702267
12,2004,Solar,0.03,0.0009191669999999999
13,2005,Solar,0.04,0.001278946
14,2006,Solar,0.06,0.0017455139999999999
15,2007,Solar,0.07,0.002355879
16,2008,Solar,0.12,0.003809582
17,2009,Solar,0.2,0.006279600000000001
18,2010,Solar,0.32,0.010033731
19,2011,Solar,0.61,0.019263015
20,2012,Solar,0.93,0.029637566
21,2013,Solar,1.28,0.040653352999999996
22,2014,Solar,1.81,0.057473524000000005
23,2015,Solar,2.34,0.074161724
24,2016,Solar,2.97,0.094217405
25,2017,Solar,4.02,0.127537123
26,2018,Solar,5.21,0.165317623
27,2019,Solar,6.45,0.20465383
28,1989,Wind,0.03,0.0008401319999999999
29,1990,Wind,0.04,0.001151703
30,1991,Wind,0.04,0.001295722
31,1993,Wind,0.05,0.0015007010000000001
32,1994,Wind,0.06,0.001806458
33,1995,Wind,0.07,0.00225838
34,1996,Wind,0.08,0.002619506
35,1997,Wind,0.09,0.00291839
36,1998,Wind,0.12,0.0038103409999999996
37,1999,Wind,0.16,0.005047958
38,2000,Wind,0.21,0.0067267509999999996
39,2001,Wind,0.31,0.009962241
40,2002,Wind,0.38,0.012093098
41,2003,Wind,0.52,0.016378093
42,2004,Wind,0.62,0.019564688
43,2005,Wind,0.83,0.026299485
44,2006,Wind,1.01,0.031956879
45,2007,Wind,1.28,0.040534442999999996
46,2008,Wind,1.63,0.051763125
47,2009,Wind,2.1,0.066482492
48,2010,Wind,2.61,0.082662086
49,2011,Wind,3.25,0.103122301
50,2012,Wind,4.11,0.13033083
51,2013,Wind,4.92,0.156070099
52,2014,Wind,5.86,0.185790956
53,2015,Wind,6.47,0.205213786
54,2016,Wind,7.57,0.24011425100000003
55,2017,Wind,8.73,0.276642092
56,2018,Wind,10.27,0.325578358
57,2019,Wind,11.36,0.360324449
58,1965,Geothermal/Biomass/Other,0.18,0.005702356
59,1966,Geothermal/Biomass/Other,0.2,0.006279646999999999
60,1967,Geothermal/Biomass/Other,0.2,0.006336896
61,1968,Geothermal/Biomass/Other,0.22,0.007013330999999999
62,1969,Geothermal/Biomass/Other,0.23,0.0073741169999999995
63,1970,Geothermal/Biomass/Other,0.26,0.008146226
64,1971,Geothermal/Biomass/Other,0.28,0.008839305
65,1972,Geothermal/Biomass/Other,0.3,0.009472765
