,region,year,consumption_exajoules
0,,1965,
1,Canada,1965,2.31414467
2,Mexico,1965,0.6424139230000001
3,US,1965,23.691819519006643
4,Total North America,1965,26.648378112006643
5,,1965,
6,Argentina,1965,0.9365014577248062
7,Brazil,1965,0.6398300739999999
8,Chile,1965,0.1497828874669595
9,Colombia,1965,0.1657583719031627
10,Ecuador,1965,0.028514295000000002
11,Peru,1965,0.16074739394948045
12,Trinidad & Tobago,1965,0.07991245363259117
13,Venezuela,1965,0.40328554658423865
14,Central America,1965,0.16887419645818097
15,Other Caribbean,1965,0.7519479091585335
16,Other South America,1965,0.09762598769156786
17,Total S. & Cent. America,1965,3.5827805735695204
18,,1965,
19,Austria,1965,0.23507090900000002
20,Belgium,1965,0.6784731340000001
21,Bulgaria,1965,0.1573757
22,Croatia,1965,
23,Cyprus,1965,0.016848902000000002
24,Czech Republic,1965,0.169368794
25,Denmark,1965,0.443251605
26,Estonia,1965,
27,Finland,1965,0.24294773700000002
28,France,1965,2.2942851699999998
29,Germany,1965,3.674051199
30,Greece,1965,0.18818362
31,Hungary,1965,0.15938313
32,Iceland,1965,0.020204877000000003
33,Ireland,1965,0.10267979
34,Italy,1965,2.1986578139999997
35,Latvia,1965,
36,Lithuania,1965,
37,Luxembourg,1965,0.03539650900000001
38,Netherlands,1965,1.065256337
39,North Macedonia,1965,
40,Norway,1965,0.217139473
41,Poland,1965,0.23192912999999998
42,Portugal,1965,0.109906248
43,Romania,1965,0.30440307
44,Slovakia,1965,0.09736955600000001
45,Slovenia,1965,
46,Spain,1965,0.598972917
47,Sweden,1965,0.8269316894894868
48,Switzerland,1965,0.346966449
49,Turkey,1965,0.15115948
50,Ukraine,1965,
51,United Kingdom,1965,3.188590372
52,Other Europe,1965,0.17524522897379924
53,Total Europe,1965,17.930048840463286
54,,1965,
55,Azerbaijan,1965,
56,Belarus,1965,
57,Kazakhstan,1965,
58,Russian Federation,1965,
59,Turkmenistan,1965,
60,USSR,1965,7.181458420968224
61,Uzbekistan,1965,
62,Other CIS,1965,0.0
63,Total CIS,1965,7.181458420968224
64,,1965,
65,Iran,1965,0.3029300571930538
66,Iraq,1965,0.05554112808000369
67,Israel,1965,0.16464604607127878
68,Kuwait,1965,0.22977287382288775
69,Oman,1965,0.019050981
70,Qatar,1965,0.002061839
71,Saudi Arabia,1965,0.824887978
72,United Arab Emirates,1965,0.003076319325485639
73,Other Middle East,1965,0.2444851780890548
74,Total Middle East,1965,1.8464524005817644
75,,1965,
76,Algeria,1965,0.05545890700000001
77,Egypt,1965,0.293017652
78,Morocco,1965,0.041565473548302846
79,South Africa,1965,0.242489485
80,Eastern Africa,1965,0.23540332872425007
81,Middle Africa,1965,0.08595566063140825
82,Western Africa,1965,0.15837947144424253
83,Other Northern Africa,1965,0.059882777309348836
84,Other Southern Africa,1965,0.001088599150311503
85,Total Africa,1965,1.173241354807864
86,,1965,
87,Australia,1965,0.6520229419999999
88,Bangladesh,1965,
89,China,1965,0.46462513099999997
90,China Hong Kong SAR,1965,0.08953747892118
91,India,1965,0.529182477
92,Indonesia,1965,0.26115703999999995
93,Japan,1965,3.649573112
94,Malaysia,1965,0.09762585395190002
95,New Zealand,1965,0.11749024200000001
96,Pakistan,1965,0.16171445299999998
97,Philippines,1965,0.17887278399999998
98,Singapore,1965,0.17222934989549918
99,South Korea,1965,0.05444850500000001
100,Sri Lanka,1965,0.019743791918541767
101,Taiwan,1965,0.09247742399999999
102,Thailand,1965,0.09970685900000001
103,Vietnam,1965,0.0648415454840592
104,Other Asia Pacific,1965,0.12345509127560027
105,Total Asia Pacific,1965,6.828704080446781
106,,1965,
107,Total World,1965,65.19106378284413
108,,1966,
109,Canada,1966,2.438144002
110,Mexico,1966,0.6731782780000001
111,US,1966,24.87597626871718
112,Total North America,1966,27.987298548717185
113,,1966,
114,Argentina,1966,0.9668332872630184
115,Brazil,1966,0.697671357
116,Chile,1966,0.1639738379011797
117,Colombia,1966,0.18891895551589769
118,Ecuador,1966,0.029771097999999996
119,Peru,1966,0.20146347736836717
120,Trinidad & Tobago,1966,0.08047308083384296
121,Venezuela,1966,0.39637907294154534
122,Central America,1966,0.17057260529846233
123,Other Caribbean,1966,0.7789429576216945
124,Other South America,1966,0.10114540166132346
125,Total S. & Cent. America,1966,3.7761451314053307
126,,1966,
127,Austria,1966,0.25843989
128,Belgium,1966,0.692137141
129,Bulgaria,1966,0.17954679
130,Croatia,1966,
131,Cyprus,1966,0.019219077
132,Czech Republic,1966,0.186991122
133,Denmark,1966,0.504855738
134,Estonia,1966,
135,Finland,1966,0.2947128
136,France,1966,2.4592428790000005
137,Germany,1966,4.110595753
138,Greece,1966,0.20547570399999998
139,Hungary,1966,0.17505437000000001
140,Iceland,1966,0.021784173000000004
141,Ireland,1966,0.11477358300000001
142,Italy,1966,2.4243648629999996
143,Latvia,1966,
144,Lithuania,1966,
145,Luxembourg,1966,0.040282462000000005
