country,year,energy_type,consumed_EJ_yr,consumed_TW
Canada,1968,nuclear,0.01,0.000291892
Canada,1969,nuclear,0.01,0.000168203
Canada,1970,nuclear,0.01,0.00032973
Canada,1971,nuclear,0.04,0.001356757
Canada,1972,nuclear,0.07,0.002292846
Canada,1973,nuclear,0.15,0.004850238
Canada,1974,nuclear,0.15,0.004672814
Canada,1975,nuclear,0.13,0.00399682
Canada,1976,nuclear,0.17,0.005537679
Canada,1977,nuclear,0.26,0.008375835
Canada,1978,nuclear,0.31,0.009921145
Canada,1979,nuclear,0.35,0.011214944
Canada,1980,nuclear,0.38,0.012092846
Canada,1981,nuclear,0.40,0.012739905
Canada,1982,nuclear,0.38,0.012189825
Canada,1983,nuclear,0.49,0.01545628
Canada,1984,nuclear,0.52,0.016600954
Canada,1985,nuclear,0.61,0.019243561
Canada,1986,nuclear,0.71,0.022660413
Canada,1987,nuclear,0.77,0.024566296
Canada,1988,nuclear,0.83,0.026348808
Canada,1989,nuclear,0.79,0.025219982
Canada,1990,nuclear,0.72,0.023039746
Canada,1991,nuclear,0.84,0.026816835
Canada,1992,nuclear,0.80,0.025444231
Canada,1993,nuclear,0.93,0.029661116
Canada,1994,nuclear,1.07,0.034049034
Canada,1995,nuclear,0.97,0.030894821
Canada,1996,nuclear,0.92,0.029291607
Canada,1997,nuclear,0.82,0.02605874
Canada,1998,nuclear,0.71,0.022573174
Canada,1999,nuclear,0.73,0.023205087
Canada,2000,nuclear,0.72,0.022986863
Canada,2001,nuclear,0.76,0.024059633
Canada,2002,nuclear,0.74,0.023539669
Canada,2003,nuclear,0.73,0.0231928
Canada,2004,nuclear,0.87,0.027812741
Canada,2005,nuclear,0.89,0.02814232
Canada,2006,nuclear,0.94,0.029765372
Canada,2007,nuclear,0.89,0.028229018
Canada,2008,nuclear,0.91,0.028812282
Canada,2009,nuclear,0.84,0.026866376
Canada,2010,nuclear,0.85,0.02686957
Canada,2011,nuclear,0.87,0.027568988
Canada,2012,nuclear,0.87,0.027774697
Canada,2013,nuclear,0.95,0.030103682
Canada,2014,nuclear,0.98,0.031034498
Canada,2015,nuclear,0.92,0.029276303
Canada,2016,nuclear,0.91,0.028994447
Canada,2017,nuclear,0.91,0.028787054
Canada,2018,nuclear,0.90,0.028458365
Canada,2019,nuclear,0.90,0.028482325
Mexico,1990,nuclear,0.03,0.000933863
Mexico,1991,nuclear,0.04,0.001348808
Mexico,1992,nuclear,0.04,0.001246105
Mexico,1993,nuclear,0.05,0.001567886
Mexico,1994,nuclear,0.04,0.001347854
Mexico,1995,nuclear,0.08,0.002684579
Mexico,1996,nuclear,0.08,0.002504928
Mexico,1997,nuclear,0.10,0.003324642
Mexico,1998,nuclear,0.09,0.002945946
Mexico,1999,nuclear,0.10,0.003180286
Mexico,2000,nuclear,0.08,0.00261399
Mexico,2001,nuclear,0.09,0.002756546
Mexico,2002,nuclear,0.10,0.003059096
Mexico,2003,nuclear,0.10,0.003274898
Mexico,2004,nuclear,0.09,0.00284887
Mexico,2005,nuclear,0.10,0.003326861
Mexico,2006,nuclear,0.10,0.003324704
Mexico,2007,nuclear,0.10,0.003168464
Mexico,2008,nuclear,0.09,0.002962424
Mexico,2009,nuclear,0.10,0.003153477
Mexico,2010,nuclear,0.06,0.001754706
Mexico,2011,nuclear,0.09,0.00299284
Mexico,2012,nuclear,0.08,0.002585631
Mexico,2013,nuclear,0.11,0.003458119
Mexico,2014,nuclear,0.09,0.00281906
Mexico,2015,nuclear,0.11,0.003352453
Mexico,2016,nuclear,0.10,0.003041886
Mexico,2017,nuclear,0.10,0.003114332
Mexico,2018,nuclear,0.12,0.003883298
Mexico,2019,nuclear,0.10,0.003189112
USA,1965,nuclear,0.04,0.001223897
USA,1966,nuclear,0.06,0.001847514
USA,1967,nuclear,0.08,0.0025622
