,region,year,consumption_exajoules
0,,1965,
1,Canada,1965,0.0
2,Mexico,1965,0.0
3,US,1965,0.0
4,Total North America,1965,0.0
5,,1965,
6,Argentina,1965,0.0
7,Brazil,1965,0.0
8,Chile,1965,0.0
9,Colombia,1965,0.0
10,Ecuador,1965,0.0
11,Peru,1965,0.0
12,Trinidad & Tobago,1965,0.0
13,Venezuela,1965,0.0
14,Central America,1965,0.0
15,Other Caribbean,1965,0.0
16,Other South America,1965,0.0
17,Total S. & Cent. America,1965,0.0
18,,1965,
19,Austria,1965,0.0
20,Belgium,1965,0.0
21,Bulgaria,1965,0.0
22,Croatia,1965,
23,Cyprus,1965,0.0
24,Czech Republic,1965,0.0
25,Denmark,1965,0.0
26,Estonia,1965,
27,Finland,1965,0.0
28,France,1965,0.0
29,Germany,1965,0.0
30,Greece,1965,0.0
31,Hungary,1965,0.0
32,Iceland,1965,0.0
33,Ireland,1965,0.0
34,Italy,1965,0.0
35,Latvia,1965,
36,Lithuania,1965,
37,Luxembourg,1965,0.0
38,Netherlands,1965,0.0
39,North Macedonia,1965,
40,Norway,1965,0.0
41,Poland,1965,0.0
42,Portugal,1965,0.0
43,Romania,1965,0.0
44,Slovakia,1965,0.0
45,Slovenia,1965,
46,Spain,1965,0.0
47,Sweden,1965,0.0
48,Switzerland,1965,0.0
49,Turkey,1965,0.0
50,Ukraine,1965,
51,United Kingdom,1965,0.0
52,Other Europe,1965,0.0
53,Total Europe,1965,0.0
54,,1965,
55,Azerbaijan,1965,
56,Belarus,1965,
57,Kazakhstan,1965,
58,Russian Federation,1965,
59,Turkmenistan,1965,
60,USSR,1965,0.0
61,Uzbekistan,1965,
62,Other CIS,1965,
63,Total CIS,1965,0.0
64,,1965,
65,Iran,1965,0.0
66,Iraq,1965,0.0
67,Israel,1965,0.0
68,Kuwait,1965,0.0
69,Oman,1965,0.0
70,Qatar,1965,0.0
71,Saudi Arabia,1965,0.0
72,United Arab Emirates,1965,0.0
73,Other Middle East,1965,0.0
74,Total Middle East,1965,0.0
75,,1965,
76,Algeria,1965,0.0
77,Egypt,1965,0.0
78,Morocco,1965,0.0
79,South Africa,1965,0.0
80,Eastern Africa,1965,0.0
81,Middle Africa,1965,0.0
82,Western Africa,1965,0.0
83,Other Northern Africa,1965,0.0
84,Other Southern Africa,1965,0.0
85,Total Africa,1965,0.0
86,,1965,
87,Australia,1965,0.0
88,Bangladesh,1965,0.0
89,China,1965,0.0
90,China Hong Kong SAR,1965,0.0
91,India,1965,0.0
92,Indonesia,1965,0.0
93,Japan,1965,0.0
94,Malaysia,1965,0.0
95,New Zealand,1965,0.0
96,Pakistan,1965,0.0
97,Philippines,1965,0.0
98,Singapore,1965,0.0
