year,type,consumption_EJ_yr,consumption_TW
1991,solar,0.01,0.0003170577045022194
1993,solar,0.01,0.0003170577045022194
1994,solar,0.01,0.0003170577045022194
1995,solar,0.01,0.0003170577045022194
1996,solar,0.01,0.0003170577045022194
1997,solar,0.01,0.0003170577045022194
1998,solar,0.01,0.0003170577045022194
1999,solar,0.01,0.0003170577045022194
2000,solar,0.01,0.0003170577045022194
2001,solar,0.02,0.0006341154090044388
2002,solar,0.02,0.0006341154090044388
2003,solar,0.02,0.0006341154090044388
2004,solar,0.03,0.0009511731135066582
2005,solar,0.04,0.0012682308180088776
2006,solar,0.06,0.0019023462270133164
2007,solar,0.08,0.0025364616360177552
2008,solar,0.13,0.004121750158528852
2009,solar,0.21,0.006658211794546607
2010,solar,0.34,0.01077996195307546
2011,solar,0.65,0.02060875079264426
2012,solar,1.0,0.03170577045022194
2013,solar,1.36,0.04311984781230184
2014,solar,1.92,0.060875079264426125
2015,solar,2.47,0.0783132530120482
2016,solar,3.16,0.10019023462270134
2017,solar,4.27,0.1353836398224477
2018,solar,5.49,0.17406467977171844
2019,solar,6.68,0.21179454660748256
2020,solar,8.0,0.2536461636017755
2021,solar,9.73,0.30849714648065946
1965,coal,58.1,1.8421052631578947
1966,coal,58.77,1.8633481293595435
1967,coal,57.82,1.8332276474318325
1968,coal,58.68,1.8604946100190234
1969,coal,60.48,1.917564996829423
1970,coal,61.41,1.9470513633481294
1971,coal,61.08,1.9365884590995561
1972,coal,61.77,1.9584654407102093
1973,coal,63.6,2.0164870006341156
1974,coal,63.66,2.0183893468611287
1975,coal,64.89,2.0573874445149016
1976,coal,67.28,2.133164235890932
1977,coal,69.27,2.196258719086874
1978,coal,70.05,2.2209892200380468
1979,coal,73.31,2.3243500317057704
1980,coal,75.09,2.3807863031071657
1981,coal,76.14,2.4140773620798988
1982,coal,76.99,2.441027266962587
1983,coal,79.37,2.5164870006341156
1984,coal,82.8,2.6252377932783766
1985,coal,86.36,2.7381103360811667
1986,coal,87.33,2.768864933417882
1987,coal,90.76,2.8776157260621433
1988,coal,93.48,2.963855421686747
1989,coal,94.38,2.9923906150919466
1990,coal,93.26,2.956880152187698
