country,year,power_usage_per_year_EJ,power_usage_TW
Canada,1965,4.92,0.156129266
Canada,1966,5.24,0.16610954
Canada,1967,5.48,0.173754406
Canada,1968,5.84,0.18503666
Canada,1969,6.19,0.196130395
Canada,1970,6.62,0.210037448
Canada,1971,6.83,0.216613584
Canada,1972,7.35,0.232994342
Canada,1973,7.86,0.249131628
Canada,1974,8.10,0.256796256
Canada,1975,7.96,0.25225483
Canada,1976,8.44,0.267596433
Canada,1977,8.94,0.28333057
Canada,1978,9.05,0.287068048
Canada,1979,9.33,0.295713304
Canada,1980,9.52,0.301776451
Canada,1981,9.41,0.298316179
Canada,1982,9.09,0.288226729
Canada,1983,9.03,0.286260877
Canada,1984,9.62,0.304860867
Canada,1985,9.92,0.314554723
Canada,1986,9.95,0.315353528
Canada,1987,10.29,0.326197719
Canada,1988,10.71,0.339513623
Canada,1989,10.82,0.342910371
Canada,1990,10.62,0.33669222
Canada,1991,10.64,0.337372999
Canada,1992,10.91,0.345781693
Canada,1993,11.15,0.353487728
Canada,1994,11.56,0.366594095
Canada,1995,11.81,0.374412827
Canada,1996,12.14,0.384791872
Canada,1997,12.23,0.387757576
Canada,1998,12.06,0.382408625
Canada,1999,12.45,0.394592417
Canada,2000,12.81,0.406099697
Canada,2001,12.50,0.396234777
Canada,2002,12.88,0.408424651
Canada,2003,12.94,0.410231213
Canada,2004,13.09,0.415094769
Canada,2005,13.23,0.419351438
Canada,2006,13.06,0.413940843
Canada,2007,13.52,0.428511088
Canada,2008,13.46,0.426829599
Canada,2009,12.74,0.40380017
Canada,2010,13.01,0.412381133
Canada,2011,13.61,0.431361562
Canada,2012,13.47,0.427028353
Canada,2013,13.88,0.440132863
Canada,2014,14.03,0.444894219
Canada,2015,13.99,0.443679463
Canada,2016,13.94,0.441873119
Canada,2017,14.11,0.447351998
Canada,2018,14.35,0.454963036
Canada,2019,14.21,0.450667646
Mexico,1965,1.05,0.033299071
Mexico,1966,1.11,0.035243233
Mexico,1967,1.13,0.035905842
Mexico,1968,1.23,0.039093106
Mexico,1969,1.35,0.042919763
Mexico,1970,1.44,0.045809577
Mexico,1971,1.52,0.048192251
Mexico,1972,1.68,0.053280468
Mexico,1973,1.81,0.057472877
Mexico,1974,2.00,0.063309201
Mexico,1975,2.13,0.067666175
Mexico,1976,2.27,0.071994881
Mexico,1977,2.39,0.075929875
Mexico,1978,2.70,0.08555625
Mexico,1979,2.98,0.094594486
Mexico,1980,3.25,0.103096338
Mexico,1981,3.59,0.113868219
Mexico,1982,3.74,0.11872109
Mexico,1983,3.70,0.11743373
Mexico,1984,3.88,0.122873823
Mexico,1985,4.07,0.128888172
Mexico,1986,3.95,0.125173036
Mexico,1987,4.08,0.129341957
Mexico,1988,4.11,0.130265982
Mexico,1989,4.34,0.137537827
Mexico,1990,4.56,0.144709624
Mexico,1991,4.74,0.150330356
Mexico,1992,4.82,0.152932689
Mexico,1993,4.85,0.153711301
Mexico,1994,5.13,0.162560933
Mexico,1995,5.05,0.15999328
Mexico,1996,5.21,0.165032745
Mexico,1997,5.29,0.167866667
Mexico,1998,5.53,0.175343956
Mexico,1999,5.60,0.177551688
Mexico,2000,5.86,0.185841525
Mexico,2001,5.79,0.18356772
Mexico,2002,5.98,0.189537306
Mexico,2003,6.03,0.191119793
Mexico,2004,6.35,0.201416026
Mexico,2005,6.76,0.214347754
Mexico,2006,6.97,0.221131085
Mexico,2007,7.01,0.222281958
Mexico,2008,7.16,0.226949436
Mexico,2009,7.10,0.225147339
Mexico,2010,7.31,0.231735928
Mexico,2011,7.66,0.242867498
Mexico,2012,7.71,0.244310666
Mexico,2013,7.74,0.245349037
Mexico,2014,7.70,0.244045093
Mexico,2015,7.69,0.243763475
Mexico,2016,7.79,0.246842719
Mexico,2017,7.90,0.250327865
Mexico,2018,7.83,0.248361498
Mexico,2019,7.72,0.244792088
USA,1965,52.43,1.66245387
USA,1966,55.38,1.75596189
USA,1967,57.31,1.817114005
USA,1968,60.80,1.927682126
USA,1969,64.05,2.030742305
USA,1970,66.22,2.099413686
USA,1971,67.59,2.143054649
USA,1972,71.06,2.253149341
USA,1973,73.98,2.345747476
USA,1974,72.12,2.286650171
USA,1975,70.36,2.230868928
USA,1976,74.19,2.352369653
USA,1977,76.14,2.414208406
USA,1978,76.49,2.425144896
USA,1979,77.39,2.453746306
USA,1980,74.58,2.364708878
USA,1981,72.40,2.295349698
USA,1982,69.38,2.199671083
USA,1983,69.07,2.189935973
USA,1984,72.74,2.306424099
USA,1985,72.56,2.300701128
USA,1986,73.00,2.314668139
USA,1987,75.48,2.392994923
USA,1988,78.93,2.502539336
USA,1989,80.81,2.562148952
USA,1990,80.99,2.567955128
USA,1991,80.88,2.564361857
USA,1992,82.09,2.602793113
USA,1993,83.81,2.65712615
USA,1994,85.37,2.706590084
USA,1995,87.20,2.764749328
USA,1996,90.13,2.857561489
USA,1997,90.81,2.879271757
USA,1998,91.41,2.898185048
USA,1999,93.03,2.949487121
USA,2000,95.14,3.0164487
USA,2001,92.89,2.945292484
USA,2002,94.24,2.98792067
USA,2003,94.54,2.997306063
USA,2004,96.40,3.056332092
USA,2005,96.44,3.057619336
USA,2006,95.66,3.032922076
USA,2007,97.00,3.075347416
USA,2008,94.60,2.99938845
USA,2009,89.92,2.851110271
USA,2010,92.97,2.947767559
USA,2011,92.09,2.919732464
USA,2012,89.69,2.84361969
USA,2013,92.10,2.919958154
USA,2014,93.05,2.950354089
USA,2015,92.15,2.921655184
USA,2016,92.02,2.917495212
USA,2017,92.33,2.927410427
USA,2018,95.60,3.031164204
USA,2019,94.65,3.000913254
Argentina,1965,1.13,0.035752442
Argentina,1966,1.17,0.036940639
Argentina,1967,1.20,0.038038215
Argentina,1968,1.24,0.039354278
Argentina,1969,1.28,0.040707432
Argentina,1970,1.21,0.038451562
Argentina,1971,1.29,0.040849023
Argentina,1972,1.31,0.041580286
Argentina,1973,1.37,0.043370652
Argentina,1974,1.43,0.045261133
Argentina,1975,1.39,0.044123132
Argentina,1976,1.47,0.046526911
Argentina,1977,1.53,0.048607092
Argentina,1978,1.56,0.049588075
Argentina,1979,1.66,0.052591974
Argentina,1980,1.66,0.052543383
Argentina,1981,1.60,0.05065589
Argentina,1982,1.64,0.051871579
Argentina,1983,1.71,0.054191017
Argentina,1984,1.71,0.054096809
Argentina,1985,1.66,0.052784882
Argentina,1986,1.84,0.058263381
Argentina,1987,1.92,0.060893033
Argentina,1988,1.95,0.061709232
Argentina,1989,1.87,0.059192737
Argentina,1990,1.85,0.058577797
Argentina,1991,1.87,0.059249824
Argentina,1992,2.01,0.063731961
Argentina,1993,2.07,0.065787124
Argentina,1994,2.11,0.067005636
Argentina,1995,2.20,0.069716305
Argentina,1996,2.35,0.074667066
Argentina,1997,2.34,0.074254302
Argentina,1998,2.43,0.076974398
Argentina,1999,2.37,0.075274587
Argentina,2000,2.47,0.078314896
Argentina,2001,2.44,0.077451644
Argentina,2002,2.33,0.073738253
Argentina,2003,2.50,0.079109166
Argentina,2004,2.63,0.083326076
Argentina,2005,2.80,0.08886487
Argentina,2006,2.94,0.093368054
Argentina,2007,3.07,0.097488616
Argentina,2008,3.13,0.099148902
Argentina,2009,3.07,0.097235386
Argentina,2010,3.23,0.102318881
Argentina,2011,3.29,0.104282683
Argentina,2012,3.38,0.107256548
Argentina,2013,3.52,0.111749415
Argentina,2014,3.51,0.111187745
Argentina,2015,3.59,0.113690656
Argentina,2016,3.58,0.113386027
Argentina,2017,3.57,0.113091943
Argentina,2018,3.54,0.112265893
Argentina,2019,3.46,0.109789771
Brazil,1965,0.97,0.030737773
Brazil,1966,1.06,0.03353217
Brazil,1967,1.10,0.034738527
Brazil,1968,1.25,0.039722258
Brazil,1969,1.37,0.043368153
Brazil,1970,1.59,0.050279538
Brazil,1971,1.73,0.054986021
Brazil,1972,2.00,0.063344317
Brazil,1973,2.38,0.075523213
Brazil,1974,2.60,0.082502868
Brazil,1975,2.75,0.087166965
Brazil,1976,3.02,0.095728716
Brazil,1977,3.23,0.102301489
Brazil,1978,3.56,0.11274647
Brazil,1979,3.85,0.122062857
Brazil,1980,3.93,0.124537426
Brazil,1981,3.83,0.121411278
Brazil,1982,4.02,0.127433241
Brazil,1983,4.10,0.129954017
Brazil,1984,4.40,0.139525293
Brazil,1985,4.69,0.148571836
Brazil,1986,5.00,0.158414552
Brazil,1987,5.15,0.163149489
Brazil,1988,5.34,0.169380448
Brazil,1989,5.45,0.17278946
Brazil,1990,5.36,0.169939995
Brazil,1991,5.57,0.176465074
Brazil,1992,5.83,0.18471001
Brazil,1993,6.09,0.192966228
Brazil,1994,6.40,0.202789226
Brazil,1995,6.72,0.212925666
Brazil,1996,7.09,0.224824737
Brazil,1997,7.50,0.237668485
Brazil,1998,7.77,0.246345
Brazil,1999,7.91,0.250753263
Brazil,2000,8.04,0.254978195
Brazil,2001,7.88,0.249974333
Brazil,2002,8.07,0.255872189
Brazil,2003,8.21,0.26039836
Brazil,2004,8.61,0.27312493
Brazil,2005,8.86,0.280849913
Brazil,2006,9.08,0.287861596
Brazil,2007,9.63,0.305472658
Brazil,2008,10.06,0.318947882
Brazil,2009,9.98,0.316376598
Brazil,2010,10.98,0.348169658
Brazil,2011,11.48,0.364067995
Brazil,2012,11.69,0.370585331
Brazil,2013,12.13,0.384606302
Brazil,2014,12.40,0.393198029
Brazil,2015,12.23,0.387870065
Brazil,2016,11.92,0.377885847
Brazil,2017,12.06,0.382488941
Brazil,2018,12.13,0.384727701
Brazil,2019,12.40,0.393260442
Chile,1965,0.26,0.008254255
Chile,1966,0.28,0.008849741
Chile,1967,0.28,0.009022178
Chile,1968,0.28,0.009000205
Chile,1969,0.31,0.009692843
Chile,1970,0.32,0.010230385
Chile,1971,0.35,0.011059103
Chile,1972,0.36,0.011418437
Chile,1973,0.35,0.010980684
Chile,1974,0.34,0.010861459
Chile,1975,0.31,0.009781367
Chile,1976,0.32,0.010284188
Chile,1977,0.34,0.010665548
Chile,1978,0.36,0.011292161
Chile,1979,0.37,0.011669326
Chile,1980,0.38,0.012049503
Chile,1981,0.39,0.012363805
Chile,1982,0.36,0.011313867
Chile,1983,0.37,0.011622745
Chile,1984,0.38,0.012160786
Chile,1985,0.39,0.012331331
Chile,1986,0.41,0.01288399
Chile,1987,0.43,0.013517372
Chile,1988,0.48,0.015092138
Chile,1989,0.53,0.016650637
Chile,1990,0.55,0.017541052
Chile,1991,0.62,0.019652991
Chile,1992,0.69,0.021740576
Chile,1993,0.73,0.022989927
Chile,1994,0.76,0.02416327
Chile,1995,0.82,0.026042004
Chile,1996,0.87,0.027633572
Chile,1997,1.00,0.03161032
