Data export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,1986,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,36,0,0,0,0,0,-6.9,0,0,0,0,0,0,0,0,0,
AP,0,0,,0,,,0,0,0,0,0,,0,0,5.8,0,0,0,0,0,0,0,0,0,1.4,2.3,0,0,0,0,0,0,
EE,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LAC,,0,,,,,,,,,,0,,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WEO,,0,,,,,,,,,,,,,44.5,9.4,-58,-192.2,-1,-0.3,-2.3,-72.8,0,14,-15.7,3.5,17.3,-7.2,-3.6,-3.7,13.9,-30.4,
