Data export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,1986,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Baseline
AFR,3.9,9803.8,10220.5,904.4,166.1,984.8,859,926.4,545.5,541.8,377,290.3,285.4,276,245.3,221.4,198.4,25,24.7,4.4,2.3,0.1,0,0,0,0,0,0,0,0,0,0,,317.7
AP,0,121353.1,338.2,25057.8,55154.9,64056.7,22795.9,5707.5,10716.5,10996.8,94599.5,51332,44506.4,26987.2,19399.5,35245.5,15582.2,2658.4,2020.4,1049.7,966.1,160.8,302.6,277,219.5,234.2,231.5,234,238.2,243.3,248.5,168,,138448.1
EE,,111249.3,2980,3528.1,4037.1,-2193.2,7040.5,-1297.2,1140.2,-2333.4,4908.6,-744.7,-190.2,52.3,99.5,342.9,177.2,-43.2,-7.7,0.6,2.3,1.9,0.1,0.6,0,0,0,0,-253,0,0,0,,103323
LAC,48.4,37547.4,37390.1,8159.5,22136.5,23170.7,1196.8,5671.6,-617.8,-6086.5,202.7,4055.5,1210.8,240.9,-356.4,340.6,260.1,110.9,-129.3,144.8,35.9,-330,-17.9,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0
WEO,,69637.4,9786.1,4812.1,11665,41996.6,2782.3,-21817.4,-10242.8,-29586.6,-31747.3,-12936.3,-22853.4,-10058.1,-14459.5,-507.9,-903.3,-3706.3,-2529.6,-6663.4,-12626.4,-1314.6,-1662.8,-1333.2,1234.5,-2507,-414.1,-2084,-2845.3,-3371.1,-904.7,-532.1,,69093.3
