,Observed GMSL [lower],Observed GMSL [mean],Observed GMSL [upper],Sum of contributors [lower],Sum of contributors [mean],Sum of contributors [upper],Steric [lower],Steric [mean],Steric [upper],Glaciers [lower],Glaciers [mean],Glaciers [upper],Greenland Ice Sheet [lower],Greenland Ice Sheet [mean],Greenland Ice Sheet [upper],Antarctic Ice Sheet [lower],Antarctic Ice Sheet [mean],Antarctic Ice Sheet [upper],Terrestrial Water Storage [lower],Terrestrial Water Storage [mean],Terrestrial Water Storage [upper],Reservoir impoundment [lower],Reservoir impoundment [mean],Reservoir impoundment [upper],Groundwater depletion [lower],Groundwater depletion [mean],Groundwater depletion [upper],Natural TWS [lower],Natural TWS [mean],Natural TWS [upper],Altimetry [lower],Altimetry [mean],Altimetry [upper]
1900,-203.5572666,-173.2614421,-141.002807,-199.2279053,-173.0907745,-146.7553711,-58.66630554,-48.27935028,-37.55291748,-95.5,-79.55369568,-62.5,-58.79999924,-48.06442642,-37.40000153,-16.14999962,-9.49485302,-3.299999952,2.799999952,12.3268261,21.79999924,17.10000038,25.66184425,34.34999847,-16.54999924,-12.48212337,-8.199999809,-3.900000095,-2.063471317,0,,,
1901,-201.0185091,-168.8016753,-135.8976091,-195.4607544,-170.2454681,-144.4624329,-58.75514603,-49.14489746,-38.84960175,-94.59999847,-78.70381165,-61.79999924,-58.95000076,-48.17938614,-37.59999847,-16,-9.440324783,-3.299999952,5.75,15.2467041,24.70000076,17.10000038,25.64896202,34.34999847,-16.5,-12.45598602,-8.199999809,-1.25,0.809499085,3,,,
1902,-212.0740442,-180.389967,-148.213824,-193.369812,-168.4218292,-142.7916718,-59.15501785,-49.87755966,-39.88882828,-93.5,-77.84363556,-61.20000076,-58.65000153,-47.86169815,-37.45000076,-15.89999962,-9.385605812,-3.299999952,7.150000095,16.57080841,26.10000038,17.10000038,25.63524055,34.29999924,-16.5,-12.42874908,-8.149999619,0,2.109288692,4.400000095,,,
1903,-202.6975639,-170.2678322,-138.9305182,-193.1898804,-168.5575562,-143.2257996,-60.98501205,-51.10058975,-40.81586075,-92.84999847,-77.27209473,-60.54999924,-58.20000076,-47.45354843,-36.95000076,-15.80000019,-9.331830025,-3.299999952,7.150000095,16.62428856,26.10000038,17.10000038,25.62538528,34.29999924,-16.45000076,-12.39952564,-8.149999619,0,2.142348766,4.599999905,,,
1904,-200.1670151,-168.7200709,-137.4501224,-193.1121826,-168.3723602,-142.7545929,-62.58571243,-52.24017715,-41.37925339,-91.80000305,-76.43074036,-59.79999924,-56.20000076,-46.6265564,-37.40000153,-15.64999962,-9.277635574,-3.299999952,6.699999809,16.22704506,25.70000076,17.10000038,25.61400032,34.29999924,-16.39999962,-12.3705368,-8.100000381,-0.300000012,1.730842948,4,,,
1905,-192.1312551,-160.9814287,-130.3514508,-190.9091644,-167.3253937,-142.6106415,-62.01678085,-53.02521896,-43.17715454,-90.69999695,-75.43510437,-58.84999847,-55.09999847,-46.41720581,-37.95000076,-15.55000019,-9.223115921,-3.299999952,7.300000191,16.79945564,26.39999962,17.10000038,25.59829521,34.25,-16.35000038,-12.33893204,-8.100000381,0.25,2.282714844,4.5,,,
1906,-205.9264836,-175.6052663,-144.4893757,-193.7551575,-168.9960175,-143.6177673,-64.65227509,-54.0007515,-43.22138977,-89.69999695,-74.63530731,-58.04999924,-54.45000076,-45.95628738,-37.5,-15.39999962,-9.168591499,-3.349999905,5.300000191,14.79106712,24.35000038,17.04999924,25.58264732,34.25,-16.35000038,-12.30764389,-8.100000381,-1.850000024,0.280351371,2.599999905,,,
1907,-200.8360812,-169.2692225,-139.9613107,-192.4955444,-168.9296265,-144.4165649,-64.31616211,-54.63808441,-44.81404877,-88.90000153,-73.98326111,-57.65000153,-54.20000076,-45.5907402,-37.25,-15.30000019,-9.114278793,-3.349999905,4.949999809,14.42116356,23.85000038,17.04999924,25.57191277,34.20000076,-16.29999924,-12.27649689,-8.050000191,-2.299999952,-0.105469219,2.200000048,,,
1908,-214.9370657,-184.1125088,-152.5978717,-191.000946,-167.2525635,-142.9986267,-65.63856506,-55.22194672,-44.46862411,-87.94999695,-73.19345093,-57.04999924,-53.45000076,-44.88063049,-36.54999924,-15.14999962,-9.060194969,-3.349999905,5.699999809,15.12818718,24.64999962,17.04999924,25.55630112,34.20000076,-16.25,-12.24306393,-8.050000191,-1.450000048,0.574958086,2.799999952,,,
1909,-208.9868798,-178.7259514,-146.4988601,-189.1483154,-166.1041107,-142.3135834,-66.40546417,-56.30411911,-46.29887772,-86.94999695,-72.4466095,-56.40000153,-51.70000076,-44.30748749,-37.15000153,-15.05000019,-9.005735397,-3.400000095,6.550000191,15.98363686,25.5,17.04999924,25.53594017,34.15000153,-16.20000076,-12.20822144,-8.050000191,-0.800000012,1.404681087,3.75,,,
